,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
MB-0362,0.9017452,-0.51110923,-0.5746354,-0.70721906,-0.6789628,0.056135654,-0.53198093,0.96569055,-0.6877533,0.6937135,-0.43742126,-0.48174214,-0.5618698,-0.61449176,-0.43456155,-0.52373827,-0.6233334,-0.42297563,-0.52522767,0.58722895,-0.37676412,-0.0208956,-0.55391455,-0.7067631,-0.57110924,-0.4401843,0.5015497,-0.41159755,-0.50991714,-0.12940672,-0.7467721,-0.50794566,-0.5245857,-0.477602,0.41127688,-0.5668876,-0.43376532,-0.6415195,-0.422208,-0.539119,-0.2753255,-0.20575118,-0.1984388,1.527488,-0.27786452,-0.6613572,0.35968488,-0.13383365,0.43693185,2.0249302,1.2402443,-0.18232135,-0.52177805,-0.5491717,0.822691,-0.56771255,-0.1328511,-0.4900894,0.5402231,-0.12080103,0.6182605,0.7899757,0.35863286,1.0887612,0.17311656,0.85126334,0.9606253,-0.66036886,-0.6393052,-0.46923754,-0.684563,-0.37292373,2.6892128,0.9730567,-0.44957724,-0.50566924,-0.15710625,-0.1281097,-0.56956303,-0.6315054,-0.6246115,-0.5555227,-0.6061615,-0.72888416,-0.46022224,-0.08011973,-0.57153404,0.37660825,-0.123357356,-0.45958626,-0.7100923,0.814012,-0.7079409,0.27826726,-0.6937386,-0.58702636,-0.500359,-0.5231892,0.11442906,-0.70629466,0.033961475,-0.61534095,-0.62344456,-0.76636153,1.9459665,-0.5401054,0.23323888,-0.12791091,-0.6158518,0.8085761,-0.42428422,-0.100728154,-0.46227342,-0.52695185,-0.64225155,0.94936985,-0.69171077,-0.53257567,-0.7234237,-0.09223282,-0.6324228,1.7914529,-0.21728022,-0.43090835,-0.35233873,-0.4923427,-0.29398596,-0.3787717,-0.49357268,-0.543048,0.88852364,0.6833862,-0.0819,-0.55329376,1.2229981,0.7088682,-0.44311062,0.7055359,-0.6064324,-0.55318975,-0.38706407,2.2531075,-0.6379355,-0.466513,-0.24652568,0.33179563,-0.559731,0.39856642,-0.6274212,-0.56858355
MB-0346,-0.89681137,-0.51110923,4.653075,0.62155145,-0.6789628,1.0805368,-0.53198093,-0.6251194,3.473136,1.5801017,-0.43742126,-0.48174214,1.9387941,-0.61449176,-0.4845206,-0.52373827,4.527121,-0.42297563,1.6891073,-0.54777664,2.086014,-0.6559572,-0.55391455,2.0435596,1.9889045,-0.4401843,-0.6098777,0.060804367,4.330943,-0.017745882,-0.7467721,-0.50794566,-0.5245857,1.4337124,3.2315323,5.148712,-0.43376532,1.0162909,-0.422208,-0.539119,1.5732386,2.7057328,-0.69821095,-0.5568703,-0.68834776,-0.6613572,-0.6294946,-0.4919805,-0.6666744,-0.61207175,-0.6275941,-0.43213287,-0.52177805,-0.5491717,-0.51140374,1.0226009,-0.4408881,-0.4900894,-0.44861004,-0.6530723,-0.63353336,-0.56625044,-0.5279208,2.5529594,-0.6748625,-0.5495191,-0.5225539,2.4618466,1.8595052,1.7544088,-0.684563,0.13605297,-0.667088,-0.7330955,1.5026536,-0.67692685,1.2341416,-0.5876103,1.6175061,-0.6315054,-0.09449834,-0.63593626,-0.4781083,1.8622668,1.0426339,2.3065479,5.9344783,-0.1148656,1.3319136,5.6367803,-0.740092,1.8295848,-0.7079409,-0.4076357,-0.6937386,0.4570638,0.9450285,0.957358,-0.577526,2.8965557,2.7351575,2.9855042,-0.62344456,-0.49793872,-0.73446584,-0.5401054,-0.5214189,-0.17697418,-0.6158518,-0.61747026,-0.5656818,-0.6722238,0.6859352,4.757468,-0.64225155,-0.67108375,-0.69171077,-0.53257567,-0.7234237,-0.69854677,1.8985592,-0.65841955,4.52366,-0.053872645,-0.35233873,0.012065709,-0.5123502,1.8103694,2.908689,0.8534398,-0.5514706,-0.6305566,-0.6612966,-0.55329376,-0.6006605,-0.63820523,-0.21972273,1.8404481,-0.6064324,0.774714,-0.35207847,-0.6047544,-0.6379355,-0.466513,-0.5195281,2.6206646,3.4303763,1.0847459,1.4214623,-0.69199574
MB-0386,0.4551698,-0.10170722,-0.5746354,0.12211913,-0.6789628,-0.56991273,-0.53198093,-0.6251194,-0.6877533,-0.6702311,-0.43742126,-0.48174214,-0.5618698,-0.36365116,-0.37596816,-0.48312363,-0.6233334,-0.42297563,-0.52522767,0.28360885,-0.37676412,0.15010786,0.14172852,-0.7067631,-0.57110924,-0.4401843,-0.13951895,-0.41159755,-0.50991714,-0.049048036,0.17997819,-0.50794566,-0.5245857,-0.087641805,0.21049964,-0.5668876,-0.4255781,-0.6415195,-0.422208,-0.539119,0.017034262,0.55214083,0.3349185,0.089989185,-0.68834776,-0.48409128,-0.5117573,-0.4919805,-0.6666744,0.77088434,-0.10584599,-0.013078541,-0.3424859,-0.5491717,-0.51140374,-0.56771255,-0.19674692,-0.4900894,-0.44861004,0.31414717,1.5239798,0.30077642,-0.31220084,-0.66579795,0.68181455,-0.013485968,-0.050904393,-0.66036886,-0.6393052,-0.46923754,0.3032062,-0.5757505,0.6553661,0.40533495,-0.050144196,-0.67692685,-0.52545476,0.58031183,-0.21872112,-0.6315054,0.647297,-0.16886657,-0.6061615,0.23623872,-0.20385706,-0.64737546,-0.45159358,0.55928725,-0.6749307,-0.45958626,-0.49743325,-0.304084,-0.5379791,-0.50429505,-0.1300615,-0.515235,-0.500359,-0.5231892,-0.577526,-0.55187464,-0.6196221,-0.61534095,-0.52227634,-0.5779874,0.20346606,-0.5401054,-0.5214189,-0.7093335,0.21941155,-0.17337245,-0.5656818,0.16240245,-0.46227342,-0.52695185,0.39662057,-0.3632835,-0.3120498,-0.53257567,-0.6193503,0.34164953,-0.6324228,0.5623669,-0.38409567,-0.43090835,-0.35233873,-0.17176476,-0.5123502,-0.3787717,-0.49357268,-0.543048,0.65804046,-0.6305566,-0.27505103,-0.3675619,-0.3627299,-0.33801618,-0.44311062,-0.23533517,-0.31892926,-0.55318975,-0.2725433,1.0762451,-0.18656227,-0.466513,-0.5195281,0.11853105,-0.559731,-0.53762984,-0.6274212,0.26165748
MB-0574,1.2108611,-0.51110923,-0.5746354,-0.70721906,0.6181283,0.40563357,-0.53198093,2.2422564,-0.6877533,-0.711898,-0.43742126,-0.48174214,-0.5618698,-0.3167255,-0.107898474,-0.52373827,-0.6233334,-0.3425696,-0.52522767,0.20735258,-0.37676412,0.38686478,-0.55391455,-0.7067631,-0.57110924,-0.4401843,-0.5622034,-0.41159755,-0.50991714,-0.46164396,0.35248667,-0.50794566,0.74059534,-0.5264256,-0.66754276,-0.5668876,-0.43376532,-0.6415195,-0.422208,-0.539119,-0.4345248,-0.6135124,1.1163925,1.1464233,0.8674595,0.2130267,1.017415,1.5900869,2.4210906,2.2982209,0.5374255,0.5769665,-0.52177805,-0.33264175,1.5116093,-0.56771255,-0.5196433,-0.4900894,1.5995755,0.3535847,0.56372976,-0.77936476,0.52960545,-0.7349857,-0.6748625,0.22097522,1.030351,-0.66036886,-0.6393052,-0.46923754,-0.684563,-0.5757505,2.3608007,2.2556772,-0.5949994,0.8607092,1.7994051,-0.28787893,-0.56956303,-0.6315054,-0.6246115,0.36552918,-0.6061615,-0.72888416,-0.46022224,-0.62849784,-0.57153404,-0.12694731,-0.6016632,-0.45958626,0.02720964,-0.71289176,-0.7079409,0.67563266,0.24397588,-0.58702636,-0.500359,-0.5231892,-0.3285975,-0.7265242,-0.371562,-0.61534095,-0.62344456,-0.76636153,1.8206604,-0.5401054,-0.04468277,-0.64645034,-0.6158518,0.25281692,0.9208311,1.1745576,-0.46227342,-0.52695185,-0.64225155,2.2304313,-0.69171077,-0.53257567,0.41985393,0.7430805,-0.6324228,2.5032525,-0.38409567,-0.43090835,0.61106294,-0.4923427,1.2610228,-0.3787717,-0.49357268,-0.543048,0.6541247,2.2761128,1.2886329,-0.55329376,1.3308206,2.2369146,-0.32739714,-0.7297566,0.05560422,-0.55318975,0.1313645,1.8026569,-0.6379355,-0.466513,0.3571118,-0.64494026,-0.559731,-0.16149148,-0.6274212,-0.3731958
MB-0503,0.6820251,-0.51110923,-0.5746354,0.8645058,-0.20977822,-0.56991273,-0.53198093,-0.6251194,-0.6877533,-0.711898,-0.43742126,-0.48174214,-0.087295175,0.23962629,0.71384805,-0.33066714,-0.6233334,-0.35921493,-0.52522767,-0.54777664,-0.14043668,2.1183558,-0.55391455,-0.31979364,-0.57110924,-0.4401843,-0.6098777,-0.41159755,-0.50991714,-0.46164396,0.73003405,-0.50794566,0.01995802,-0.40112653,-0.66754276,-0.5668876,-0.43376532,-0.5650576,-0.422208,0.2729392,-0.35322326,0.19386297,1.4581785,-0.5568703,-0.36265883,-0.52768177,-0.6294946,-0.4919805,-0.33183336,-0.6839064,-0.6275941,-0.27774185,0.12525022,-0.5491717,-0.51140374,-0.56771255,0.58847165,-0.1498492,0.029221803,0.5323337,0.6112492,-0.77936476,-0.5279208,-0.7349857,-0.13142377,-0.5495191,-0.5225539,-0.66036886,-0.6393052,-0.46923754,0.10065436,-0.026928961,-0.667088,1.6401256,-0.5949994,-0.67692685,0.75622976,1.4589939,-0.56956303,-0.6315054,-0.36137283,1.3662462,-0.080856144,0.945442,-0.46022224,-0.7103419,-0.57153404,-0.60599,-0.6749307,-0.45958626,0.92354506,-0.71289176,1.6874597,-0.50429505,1.4985632,-0.58702636,-0.500359,-0.5231892,-0.577526,-0.7265242,-0.6196221,-0.61534095,1.8730757,-0.1346482,-0.73446584,-0.5401054,-0.5214189,-0.7093335,-0.4551257,-0.61747026,-0.5656818,1.5555978,-0.46227342,-0.52695185,1.0594544,0.11993796,-0.69171077,-0.53257567,0.19277692,1.533667,-0.6324228,-0.55217487,-0.38409567,-0.43090835,-0.35233873,0.31706262,-0.5123502,-0.3787717,-0.49357268,-0.543048,-0.5514706,-0.6305566,0.7574638,0.5690369,-0.6006605,-0.63820523,-0.44311062,-0.7297566,1.5982201,-0.55318975,0.16389415,-0.6047544,1.596788,-0.466513,-0.043126613,-0.64494026,-0.559731,-0.61491627,-0.6274212,2.3891745
MB-0641,-0.89681137,3.9796457,-0.5746354,1.897372,-0.6789628,-0.56991273,4.928322,-0.6251194,2.88279,-0.711898,5.0926943,3.6255128,-0.5618698,-0.61449176,-0.4845206,-0.52373827,-0.6233334,-0.42297563,0.64058495,-0.54777664,0.622981,-0.6559572,3.7117867,2.4488382,4.549855,-0.4401843,-0.6098777,-0.41159755,0.37336302,3.9775555,-0.1716947,-0.50794566,0.9582112,-0.1547178,-0.66754276,-0.47969753,5.015279,2.7083735,0.6260771,3.8865154,4.041768,-0.6135124,-0.69821095,-0.5568703,-0.68834776,-0.6613572,-0.6294946,-0.4919805,0.73767734,-0.5944469,-0.6275941,5.55552,-0.52177805,4.010186,-0.51140374,0.22406334,-0.5196433,3.7826061,-0.44861004,-0.6530723,-0.63353336,-0.77936476,-0.5279208,-0.7349857,-0.6748625,-0.5495191,-0.5225539,3.3336184,3.2039125,-0.11908445,-0.42488244,-0.5757505,-0.667088,1.6488296,-0.5949994,-0.67692685,0.45242375,-0.5876103,0.21153826,1.867589,-0.6246115,-0.63593626,-0.6061615,3.2835245,-0.46022224,-0.7103419,-0.57153404,1.1117132,-0.6749307,-0.45958626,-0.740092,-0.71289176,-0.7079409,-0.50429505,-0.6937386,4.7200575,-0.500359,2.1789722,-0.577526,2.318881,-0.6196221,3.1270907,-0.45290133,2.2427065,-0.73446584,2.608103,-0.5214189,-0.7093335,3.0031888,-0.61747026,-0.5656818,-0.6722238,1.0317674,-0.52695185,4.7163186,-0.67108375,2.8989172,3.5394883,-0.7234237,-0.69854677,-0.6324228,-0.65841955,-0.38409567,-0.43090835,-0.35233873,-0.4923427,-0.5123502,-0.3787717,-0.49357268,-0.543048,0.94465035,-0.6305566,-0.6612966,2.6578765,-0.6006605,-0.63820523,4.668606,-0.7297566,1.4430656,1.9672935,-0.38706407,-0.6047544,-0.24144107,0.8168473,-0.5195281,3.1233487,-0.559731,-0.61491627,1.2822399,-0.69199574
MB-0201,-0.89681137,-0.51110923,2.9152675,-0.40125772,-0.6789628,1.2350094,0.08605796,-0.6251194,1.0258005,-0.711898,-0.3761186,-0.48174214,-0.062616944,-0.61449176,-0.4845206,0.6158227,2.9956977,-0.42297563,1.3070629,-0.54777664,0.9298844,-0.6559572,0.8849373,2.0592713,1.0595624,-0.4401843,-0.6098777,-0.37541175,1.5392979,-0.37330854,-0.7467721,0.785769,-0.5245857,0.7190038,0.22864753,0.43663144,-0.2081088,1.8831651,-0.422208,0.025782883,0.020715505,1.3521347,-0.69821095,-0.5568703,-0.68834776,-0.6613572,-0.6294946,-0.4919805,-0.6666744,-0.5402628,-0.60881525,-0.43213287,1.4575057,-0.5491717,-0.51140374,2.4123688,-0.2905159,-0.4345594,-0.44861004,-0.22087827,-0.63353336,0.3083852,-0.5279208,0.12342626,-0.6748625,-0.5495191,-0.5225539,1.8421018,2.1135335,1.4207277,2.2801344,-0.10250375,-0.667088,-0.7330955,3.2037027,-0.67692685,-0.52545476,-0.5876103,2.8647575,0.5524729,1.7392598,-0.63593626,1.331428,0.8063219,1.835141,0.8676576,2.9991984,0.79243726,-0.23432729,1.5678352,-0.740092,0.10840684,-0.7079409,-0.50429505,-0.6937386,-0.5710579,1.2484853,2.0258965,-0.577526,2.0777607,-0.4633091,2.0184042,-0.62344456,1.4987481,-0.73446584,1.0406494,-0.5214189,0.09817308,-0.6158518,-0.61747026,-0.5656818,-0.6722238,1.6003296,1.8000398,-0.64225155,-0.67108375,1.8276131,0.50031024,-0.7234237,-0.69854677,0.33723694,-0.65841955,0.048317134,0.4147899,-0.35233873,1.0119983,-0.5123502,0.26772347,0.8053824,0.8649336,-0.5514706,-0.6305566,-0.6612966,-0.55329376,-0.6006605,-0.63820523,-0.44311062,0.047891796,-0.6064324,1.0515769,-0.38706407,-0.6047544,-0.6379355,-0.466513,-0.5195281,-0.027773917,1.343651,-0.61491627,2.2051506,-0.69199574
MB-0218,0.5679376,-0.51110923,-0.5746354,-0.70721906,-0.6789628,-0.5641573,-0.53198093,2.2818303,-0.6877533,1.851933,-0.43742126,0.5190897,-0.5618698,-0.61449176,-0.4845206,-0.52373827,-0.6233334,-0.42297563,-0.52522767,3.0290165,-0.37676412,-0.6559572,-0.55391455,-0.7067631,-0.57110924,-0.053108156,1.0923744,-0.41159755,-0.42770213,-0.46164396,-0.7467721,-0.30019712,-0.5245857,-0.5264256,1.5378094,-0.5668876,-0.43376532,-0.6415195,-0.422208,-0.539119,-0.4345248,-0.6135124,-0.69821095,2.5128076,-0.56813186,0.21361017,2.9974494,1.9030557,0.9320507,1.6825776,2.701951,-0.18546791,-0.52177805,0.9133781,2.897499,-0.56771255,-0.5196433,-0.4900894,0.41011354,-0.6530723,-0.63353336,2.25333,2.498148,1.2522439,1.815276,2.5439394,1.9851086,-0.66036886,-0.6393052,-0.46923754,-0.684563,1.5988724,1.9293811,-0.7330955,-0.5949994,2.8347852,-0.52545476,-0.5876103,-0.56956303,-0.6315054,-0.6246115,-0.63593626,-0.6061615,-0.72888416,-0.46022224,0.3737864,-0.57153404,1.5443923,1.6923889,-0.45958626,-0.740092,2.1041882,-0.7079409,1.7950034,-0.6937386,-0.58702636,0.07677168,-0.5231892,2.42029,-0.7265242,1.0353545,-0.61534095,-0.62344456,-0.76636153,2.5761383,-0.5401054,2.2063465,1.6127789,-0.6158518,2.5475483,1.850242,-0.6722238,-0.46227342,-0.52695185,-0.64225155,-0.48475352,-0.69171077,-0.53257567,-0.24836963,-0.69854677,-0.6324228,1.4752922,-0.38409567,-0.43090835,-0.35233873,-0.4923427,-0.5123502,-0.3787717,-0.49357268,-0.543048,2.4651256,2.345347,-0.6253292,-0.55329376,2.4734924,2.2659273,-0.44311062,2.1259294,-0.6064324,-0.044355094,-0.38706407,3.2527666,-0.6379355,0.097251564,0.28630823,0.518608,-0.559731,1.8688021,-0.6274212,-0.69199574
MB-0316,-0.89681137,2.00529,1.3325357,-0.70721906,-0.6789628,1.249429,1.7540069,-0.6251194,0.90355647,-0.711898,1.7242644,-0.48174214,-0.5618698,-0.61449176,-0.4845206,-0.51443124,1.7711165,-0.42297563,2.3998723,-0.54777664,0.014696032,-0.6559572,2.6300147,2.2146497,2.3980632,-0.4401843,-0.6098777,-0.16778919,1.3240616,0.6427512,-0.7467721,-0.50794566,-0.5245857,0.28940934,-0.66754276,-0.5668876,1.5102454,2.4520354,0.2738933,0.51297593,1.8976867,-0.6135124,-0.69821095,-0.5568703,-0.68834776,-0.6613572,-0.6294946,-0.4919805,-0.6666744,-0.6839064,-0.6275941,0.6484326,0.62147504,-0.04032725,-0.51140374,1.5633163,-0.5196433,1.4512548,-0.44861004,-0.6530723,-0.63353336,-0.77936476,-0.5279208,-0.7349857,-0.6748625,-0.5495191,-0.5225539,2.4079497,2.4044008,1.4190266,0.44690555,-0.5757505,-0.667088,-0.7330955,1.7553635,-0.67692685,-0.52545476,-0.5876103,1.8039542,0.9688744,0.22690642,-0.63593626,1.2859936,0.86141604,1.3812863,1.1541162,2.0311694,0.9651343,-0.6749307,-0.45958626,-0.740092,-0.71289176,-0.7079409,-0.50429505,-0.6937386,0.808185,1.2565145,2.2522569,-0.577526,2.1575346,-0.6196221,2.3054304,-0.62344456,1.5397265,-0.73446584,2.4597476,-0.5214189,0.13273859,-0.6158518,-0.61747026,-0.5656818,-0.6722238,2.8610966,1.0309453,-0.2658274,-0.67108375,1.5432155,1.472626,-0.7234237,-0.69854677,0.33923942,-0.65841955,-0.38409567,0.89260745,-0.35233873,0.8948519,-0.5123502,0.06767619,0.41988167,1.3206732,-0.5514706,-0.6305566,-0.6612966,-0.55329376,-0.6006605,-0.63820523,0.80103076,-0.7297566,-0.5104923,2.0442028,-0.38706407,-0.6047544,-0.6379355,-0.466513,-0.5195281,0.25255114,0.6236278,-0.61491627,2.7823133,-0.69199574
MB-0189,-0.89681137,2.2169428,-0.3147006,2.4004302,-0.6789628,-0.56991273,2.3357315,-0.6251194,2.7568064,-0.711898,1.8306549,1.1618166,-0.48799333,-0.61449176,-0.4845206,-0.52373827,0.2096979,-0.42297563,-0.22948945,-0.085439324,0.34336656,-0.6559572,1.9422007,2.1538773,2.585636,-0.4401843,-0.6098777,-0.41159755,-0.08479458,1.9404707,0.16791517,-0.50794566,-0.11945203,-0.41232723,-0.66754276,0.87423766,2.9743786,1.9484782,0.49812347,2.9975343,1.9458125,-0.6135124,-0.69821095,-0.5568703,-0.68834776,-0.6613572,-0.6294946,-0.4919805,-0.50915426,-0.6352445,-0.6275941,2.4044569,-0.49610066,1.39827,-0.51140374,0.5204276,0.26739103,1.8251252,-0.44861004,-0.6530723,-0.63353336,0.4832297,-0.5279208,-0.7349857,0.4909202,-0.5495191,-0.5225539,1.5128512,1.6175137,0.067403466,1.2468624,-0.503507,-0.667088,-0.6184293,0.11959016,-0.67692685,-0.52545476,-0.5876103,0.21956211,1.2031491,0.19033402,-0.63593626,-0.41511256,2.7891562,-0.42594868,-0.45531803,-0.5281612,1.2729864,-0.6749307,-0.45958626,-0.740092,-0.71289176,-0.7079409,-0.50429505,-0.6937386,2.1846874,-0.500359,1.0691428,-0.577526,1.0811603,-0.6196221,1.9106364,-0.62344456,2.4067278,-0.73446584,1.0948377,-0.5214189,-0.7093335,2.7205882,-0.61747026,-0.5656818,-0.6722238,0.16224092,-0.52695185,3.478188,-0.67108375,2.8693812,1.4591722,-0.7234237,-0.69854677,-0.6324228,-0.65841955,-0.38409567,-0.31552953,-0.35233873,-0.4923427,-0.5123502,-0.3787717,-0.49357268,-0.543048,0.7488949,-0.6305566,-0.6612966,0.93637997,-0.6006605,-0.63820523,2.257442,-0.7297566,0.34498256,0.8070706,-0.38706407,-0.6047544,-0.48662063,0.7496309,-0.5195281,1.3662659,-0.559731,-0.61491627,0.84710544,-0.2795359
