,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MB-0362,-0.54593694,0.6780472,-0.72468585,1.3393279,-0.7422109,0.646467,-0.5022479,1.7286904,-0.7212876,-0.97656435,-0.4794525,-0.72217536,1.373122,-0.78668106,-0.7211792,0.047060907,1.0014778,0.47684026,1.5956928,-0.7841134,1.1686007,-0.8235022,-0.65706813,-0.5183241,-0.94569886
MB-0346,-0.88240117,-1.1498251,-0.72468585,-0.8112837,-0.8057523,2.5773144,3.4650998,-0.66728306,4.496895,-0.97656435,-0.7313867,-0.72217536,-1.1363635,-0.78668106,-0.7211792,4.056412,1.472206,2.5215726,-0.7995881,-0.7841134,-0.84214246,1.4140412,-0.65706813,-0.5183241,3.0346618
MB-0386,0.8955707,1.9356279,1.5534971,-0.71839637,0.8938426,-1.0862778,-0.643354,-0.017212927,-0.7212876,-0.8826715,1.2840066,0.19347835,-0.09570682,-0.78668106,0.09404147,-0.86160535,0.47818565,-1.1285046,0.04721558,-0.7841134,-0.7564895,-0.8235022,-0.65706813,0.08645648,0.11402404
MB-0574,0.93071204,2.2161949,1.2193115,0.97308874,0.94883287,-0.91320235,0.23684144,0.08996993,-0.7212876,0.09210235,1.0883772,0.4375186,0.52549124,-0.78668106,-0.7211792,-0.16251564,0.3013065,-0.44883037,0.6612723,-0.7841134,-0.50438535,-0.8235022,-0.65706813,-0.5183241,0.36960328
MB-0503,1.6815274,1.984792,0.9546785,-0.8112837,0.7011421,-1.0862778,-0.643354,-0.66728306,-0.7212876,1.3282983,1.3627048,1.5442472,0.63895726,-0.78668106,0.3215168,-0.86160535,-0.29097497,-1.1285046,-0.7995881,0.17071676,-0.84214246,-0.8235022,0.18213809,-0.5183241,1.1263291
MB-0641,-0.88240117,-1.1498251,1.8836548,-0.40973827,-0.8057523,1.7887398,1.3507354,-0.66728306,1.6881403,2.4571745,-0.7313867,-0.72217536,1.451026,2.4912987,-0.7211792,-0.86160535,-1.0574118,-1.1285046,-0.7995881,1.6248133,2.042561,2.1347575,-0.65706813,-0.31344408,-0.94569886
MB-0201,-0.88240117,-1.1498251,-0.72468585,1.3449074,-0.8057523,1.2999192,-0.643354,-0.66728306,0.42274976,-0.97656435,-0.7313867,-0.72217536,-1.1363635,0.56104434,0.72042054,2.8521705,-1.0574118,0.6926764,-0.7995881,1.4513977,-0.84214246,1.741083,1.7787853,-0.5183241,1.6029886
MB-0218,-0.098742306,0.731326,-0.72468585,1.4408585,-0.8057523,1.4613014,-0.643354,2.574973,-0.44642946,-0.97656435,-0.7313867,-0.72217536,1.1732719,1.4793085,0.83059496,-0.86160535,1.8883153,0.8448224,2.3604088,-0.7841134,1.5204474,-0.8235022,-0.65706813,-0.17720175,-0.94569886
MB-0316,-0.88240117,-1.1498251,0.6118613,2.058435,-0.2699297,1.2418207,-0.643354,-0.66728306,0.89282393,0.41625923,-0.7313867,-0.72217536,-1.1363635,1.5255557,-0.7211792,0.5408136,-1.0574118,-1.1285046,-0.7995881,2.0855284,0.84559715,1.7176954,1.4136096,-0.5183241,-0.64004064
MB-0189,-0.88240117,-1.1498251,1.5631902,-0.8112837,-0.8057523,1.3357943,1.8150153,-0.66728306,1.3768915,2.3245687,-0.7313867,-0.72217536,1.130784,1.5001899,-0.7211792,-0.86160535,-1.0574118,-1.1285046,-0.559266,1.9121048,2.0074897,1.9529654,-0.65706813,0.7418032,-0.94569886
