,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MB-0362,-0.5585006,-0.7262726,-0.5691869,1.1121411,-0.5666716,-0.49485293,-0.31502947,-0.55815756,-0.8287443,-0.6842122,-0.518791,-0.51565665,-0.70214677,-0.4877696,-0.59320724,1.4710493,-0.5882962,0.4779582,-0.6030388,-0.80296034,-0.763803,-0.026180118,0.36773962,0.84518766,-0.57328403,-0.580621,-0.3645919,-0.5133693,-0.4886482,0.12535882,1.0805295,-0.623361,-0.78077316,-0.7018208,-0.6076721,1.407179,1.0304976,-0.31484932,0.53384244,-0.81893384,-0.51725173,0.9475352,2.0255616,-0.6152484,-0.20597869,-0.12210864,0.9065523,-0.7523954,-0.60825086,-0.52430356
MB-0346,-0.5585006,-0.7262726,3.7464511,-0.560222,-0.61149657,-0.49485293,-0.47062704,5.028495,-0.8287443,-0.6842122,-0.518791,-0.51565665,-0.6059966,-0.4877696,-0.67244315,-0.8436509,-0.5882962,0.48088968,-0.6030388,5.7841854,-0.763803,-0.49798006,-0.49579972,-0.6533296,-0.57328403,3.3946166,0.96897763,-0.5133693,5.4143357,-0.642254,-0.51372105,-0.623361,2.861968,-0.7018208,-0.6076721,-0.606918,2.7462263,-0.3949252,3.1371388,-0.80352765,5.73843,1.5806446,-0.6175285,-0.42091644,-0.30516937,2.6144466,0.43131864,-0.7523954,-0.60825086,1.5865129
MB-0386,-0.09422985,-0.28274468,-0.5691869,-0.14755899,-0.43525866,-0.11133507,-0.5703861,-0.55815756,0.5023842,-0.6842122,-0.2219685,-0.48447135,-0.70214677,-0.4877696,1.2092379,1.1705208,1.3998147,-0.70086503,0.16042775,-0.7368605,0.30948937,-0.49798006,-0.49579972,-0.6533296,-0.24127865,-0.580621,-0.3645919,-0.4854793,-0.4886482,-0.124255896,-0.37469614,0.38756597,-0.78077316,0.04438901,-0.1527046,-0.2879292,-0.32794413,-0.3949252,-0.112722516,0.45878744,-0.51725173,-0.25724953,0.2634005,-0.6152484,0.6186249,-0.8497385,0.65249467,-0.0081563,-0.60825086,-0.52430356
MB-0574,-0.5585006,-0.7262726,-0.5691869,-0.560222,-0.61149657,-0.49485293,-0.5703861,-0.55815756,-0.8287443,-0.6842122,-0.518791,-0.51565665,-0.70214677,0.34939563,0.77997196,0.1343118,-0.5882962,-0.70086503,-0.3621476,-0.80296034,-0.763803,2.6617544,0.75748235,0.6274272,-0.57328403,-0.580621,-0.3645919,-0.5133693,-0.4886482,2.9778476,-0.059096158,-0.623361,-0.78077316,-0.6673215,0.78620744,1.0831932,0.9409979,0.6145861,-0.72142684,1.422561,-0.51725173,-0.7769596,3.3204644,-0.6152484,0.6704618,-0.8497385,-0.19105524,-0.7523954,-0.60825086,-0.52430356
MB-0503,0.25351077,0.7096621,-0.5691869,-0.560222,-0.61149657,-0.49485293,-0.5703861,0.055228412,0.32393777,0.56619275,-0.518791,-0.09493032,-0.70214677,-0.4877696,1.5287795,1.0878174,0.5045475,-0.70086503,1.1195737,-0.3565027,1.6636992,-0.49798006,-0.49579972,-0.6533296,0.2715556,-0.13045341,-0.3645919,-0.5133693,-0.4886482,1.6327859,-0.51372105,1.7053007,-0.78077316,0.3881778,0.503526,-0.606918,-0.608121,0.3225809,-0.72142684,1.4708039,-0.43236208,-0.7769596,-0.48213428,-0.6152484,1.0981833,-0.8497385,-0.6377702,1.2698755,-0.2625739,-0.06891003
MB-0641,4.5395727,-0.7262726,-0.5691869,-0.560222,1.5509254,-0.49485293,3.5892384,-0.55815756,-0.8287443,-0.6842122,3.7001245,-0.09913397,2.3594713,-0.4877696,-0.67244315,-0.8436509,-0.25249574,0.15511501,-0.6030388,-0.80296034,-0.763803,-0.49798006,-0.49579972,-0.6533296,3.124836,-0.580621,-0.3645919,-0.33646843,-0.4886482,-0.642254,-0.51372105,-0.623361,1.089657,3.1310525,3.8389182,-0.606918,-0.608121,-0.2311656,-0.72142684,-0.81893384,0.73944914,-0.7769596,-0.6175285,2.991688,-0.20574182,1.5839227,-0.6377702,-0.7523954,-0.60825086,-0.52430356
MB-0201,-0.5585006,-0.7262726,-0.2693242,-0.560222,-0.07774633,0.13638684,1.4216924,1.6622399,0.8019178,-0.6842122,1.2448978,-0.51565665,1.9356072,1.2336413,-0.67244315,-0.8436509,-0.5882962,0.38475215,-0.6030388,2.32689,1.4925344,-0.079001606,-0.49579972,0.06503302,-0.32185647,1.0675875,-0.13958752,2.1147738,1.6894011,-0.642254,-0.51372105,-0.623361,1.3710558,0.16583484,-0.6076721,-0.606918,0.56757444,-0.3949252,-0.72142684,-0.08050138,-0.057929307,-0.7769596,-0.6175285,1.7512546,-0.30516937,2.5793977,-0.6377702,-0.7523954,-0.08044541,1.6934928
MB-0218,-0.5585006,-0.7262726,-0.5691869,2.8320699,1.4636804,-0.49485293,-0.029001951,-0.55815756,-0.8287443,0.06994915,-0.518791,-0.51565665,-0.70214677,-0.4877696,-0.67244315,0.93004626,-0.5882962,0.9636539,-0.6030388,-0.80296034,-0.763803,-0.49798006,1.618746,1.5743113,-0.57328403,-0.580621,-0.36008614,-0.5133693,-0.4886482,0.55306375,3.3086503,-0.623361,-0.78077316,-0.7018208,-0.6076721,2.135295,0.87687653,-0.3949252,1.7905322,-0.81893384,-0.51725173,3.061229,1.2409563,-0.39926875,0.33278945,0.473446,0.5632616,-0.7523954,-0.60825086,-0.52430356
MB-0316,0.5840432,-0.7262726,-0.5691869,-0.560222,-0.61149657,-0.35491174,1.5043006,0.4013949,1.6069642,-0.6842122,2.301125,-0.38426858,2.6504574,0.21296144,-0.67244315,-0.8436509,-0.5882962,0.16606808,-0.6030388,1.0521159,-0.024436295,0.59627146,-0.49579972,1.039976,1.269309,-0.580621,0.3140775,1.6910212,-0.4886482,-0.642254,-0.51372105,-0.623361,0.7044467,1.4802337,-0.38660717,-0.606918,-0.608121,-0.3949252,-0.72142684,-0.81893384,-0.2246519,-0.7769596,-0.6175285,1.6621523,-0.26125276,0.75997996,-0.6377702,-0.7523954,0.9466759,0.5140028
MB-0189,2.2702582,-0.7262726,-0.5691869,-0.560222,0.41143417,-0.49485293,1.5820773,-0.55815756,0.0027470589,-0.6842122,2.3007803,1.4354496,1.3542826,-0.4877696,-0.67244315,-0.8436509,1.4204717,0.29730546,-0.6030388,-0.34774756,0.100269675,-0.49798006,-0.49579972,-0.6533296,3.267981,-0.580621,-0.3645919,-0.015758485,-0.4886482,-0.642254,-0.51372105,-0.623361,1.4427238,2.5193913,2.545004,-0.606918,-0.608121,-0.3370034,-0.72142684,-0.81893384,1.5188215,-0.7769596,-0.6175285,2.5888608,-0.30516937,0.7392869,-0.6377702,-0.7523954,0.7458606,-0.52430356
