,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MB-0362,2.1399767,5.994383,-0.6478273,-0.60639787,5.760939,-0.62914485,-0.70211136,-0.57840884,1.3938621,-0.72195256,6.9744616,-0.6578974,-0.6501329,-0.7428774,1.403465,-0.8426017,3.2696867,2.7257414,9.851105,11.08703,8.125966,10.401314,-0.7623849,-0.6691504,13.263635
MB-0346,-0.6336326,8.490128,-0.6478273,-0.60639787,7.7325745,-0.62914485,-0.70211136,-0.57840884,11.219599,-0.72195256,6.0645742,-0.6578974,-0.6501329,-0.7428774,0.24864316,-0.8426017,11.746889,0.54105836,-0.6970423,12.056216,-0.58285934,8.0584755,-0.7623849,-0.6691504,18.322136
MB-0386,-0.6336326,5.094848,-0.6478273,8.141765,-0.762171,-0.62914485,-0.70211136,3.4984083,-0.6399554,-0.72195256,3.4017048,11.121453,-0.6501329,-0.7428774,17.356506,4.237635,-0.7419218,-0.7743588,26.42841,5.5967145,26.564867,30.116806,-0.7623849,-0.6691504,7.3496275
MB-0574,10.858534,20.11436,-0.6478273,-0.60639787,16.846567,1.017703,-0.70211136,-0.57840884,5.944949,-0.72195256,-0.66562355,-0.6578974,-0.6501329,-0.7428774,-0.5200021,-0.8426017,6.4899974,11.162232,-0.6970423,19.998343,-0.58285934,4.268516,-0.7623849,-0.6691504,27.198565
MB-0503,0.16108394,2.0011413,-0.6478273,0.79820395,0.4342969,-0.62914485,-0.70211136,-0.57840884,-0.6399554,-0.72195256,7.057749,1.2551978,-0.6501329,-0.7428774,4.522305,-0.8426017,-0.7419218,-0.22314352,15.023427,5.5716963,16.37585,12.531208,-0.7623849,-0.6691504,6.2723494
MB-0641,-0.6336326,9.379325,-0.6478273,14.987721,-0.762171,0.70721406,-0.70211136,5.0032597,-0.6399554,-0.72195256,1.185473,17.636293,-0.6501329,-0.7428774,26.99591,14.148015,-0.7419218,-0.7743588,41.71201,7.6200776,41.34519,44.47996,-0.7623849,-0.6691504,7.8704586
MB-0201,-0.6336326,4.255252,-0.6478273,18.265474,-0.762171,1.7198379,-0.70211136,9.923455,-0.6399554,-0.72195256,2.239523,16.588455,-0.6501329,-0.7428774,32.774178,17.568022,-0.7419218,-0.7743588,37.238068,10.350466,35.439396,42.291553,-0.7623849,-0.6691504,8.179264
MB-0218,11.657947,21.320229,-0.6478273,-0.60639787,14.571423,3.6093347,-0.70211136,-0.57840884,5.3609934,-0.72195256,-0.66562355,-0.6578974,-0.6501329,-0.7428774,-0.6771669,-0.8426017,3.9989557,10.605646,1.5254202,16.794556,-0.58285934,2.8507798,-0.7623849,-0.6691504,25.129736
MB-0316,-0.6336326,-0.6668001,-0.6478273,32.923706,-0.762171,9.818038,-0.70211136,24.447395,-0.6399554,-0.72195256,2.9437714,23.550745,13.994993,-0.7428774,58.69491,30.512913,-0.7419218,-0.7743588,39.512993,19.211582,39.31311,57.417595,-0.7623849,-0.6691504,13.9772625
MB-0189,-0.6336326,6.931855,-0.6478273,10.996784,-0.762171,0.508591,-0.70211136,2.4522848,-0.6399554,-0.72195256,1.7080771,11.78074,-0.6501329,-0.7428774,18.770144,7.8631077,-0.7419218,-0.7743588,33.35322,4.1863565,33.152332,31.346897,-0.7623849,-0.6691504,3.7635825
