,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MB-0362,-0.67127913,-0.6258923,3.8007083,-0.63600206,-0.7302645,26.848463,3.6608377,29.192337,0.6194588,49.92962,17.177813,-0.6169536,36.65468,-0.7973633,-0.7549156,13.2937565,-0.6535641,28.42761,33.356262,-0.6098507,14.780217,28.538729,-0.8247529,-0.69775516,5.7638087,11.035228,56.967876,38.900166,29.914925,-0.65479034,6.8514175,-0.6630918,-0.65817887,-0.1880182,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,4.673679,1.8516047,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0346,-0.67127913,-0.6258923,5.9076266,-0.63600206,-0.7302645,27.118273,-0.6744689,18.459671,-0.6787673,34.334274,10.163424,-0.6169536,2.9334002,-0.7973633,-0.7549156,27.910076,-0.6535641,13.927418,25.751402,-0.6098507,24.205229,33.34794,-0.8247529,-0.69775516,4.6677823,-0.61496204,50.485855,15.401075,-0.1344159,-0.65479034,7.473681,-0.6630918,-0.65817887,-0.62265855,-0.710987,-0.16733074,-0.6196642,-0.7775276,-0.73190945,-0.7581283,-0.647258,-0.691387,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0386,-0.67127913,-0.6258923,5.122705,-0.63600206,-0.7302645,30.738808,-0.6744689,28.413307,-0.6787673,40.63139,22.396309,-0.6169536,35.547924,-0.7973633,-0.7549156,20.33762,-0.6535641,16.754011,38.755554,-0.6098507,21.916945,28.584684,-0.8247529,-0.69775516,-0.6678587,16.772703,59.204987,34.19566,24.858643,-0.65479034,-0.6605144,-0.6630918,-0.65817887,-0.62265855,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,-0.647258,-0.691387,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0574,-0.67127913,-0.6258923,0.7218094,-0.63600206,-0.7302645,21.094002,19.975357,16.60474,13.693827,48.47194,2.1125789,-0.6169536,33.298233,-0.7973633,-0.7549156,1.2716872,-0.6535641,43.14899,19.444616,-0.6098507,5.66063,17.801214,-0.8247529,-0.69775516,8.914571,15.390186,35.876137,47.112225,39.643475,11.493117,17.163946,-0.6630918,-0.65817887,25.463093,-0.710987,-0.6867988,9.024388,-0.7775276,1.6802132,-0.7581283,9.920068,5.4572854,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0503,-0.67127913,-0.6258923,3.9625525,-0.63600206,-0.7302645,19.542704,9.665314,18.55953,2.280919,40.293907,10.216295,-0.6169536,32.800728,-0.7973633,-0.7549156,0.8225604,-0.6535641,31.681627,20.747625,-0.6098507,5.3096056,15.859347,-0.8247529,-0.69775516,5.76861,17.23177,37.44261,42.09413,35.049885,3.0696929,6.3928685,-0.6630918,-0.65817887,18.559357,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,8.983587,2.8553698,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0641,-0.67127913,-0.6258923,10.782743,-0.63600206,-0.7302645,50.656376,-0.6744689,30.4057,-0.6787673,45.038918,38.5087,-0.6169536,36.355732,-0.7973633,-0.7549156,37.87839,-0.6535641,15.621747,56.335133,-0.6098507,42.55407,42.86555,-0.8247529,12.846357,-0.6678587,37.121403,72.04717,40.52552,21.38015,-0.65479034,-0.6605144,-0.6630918,-0.65817887,-0.62265855,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,-0.647258,-0.691387,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0201,-0.67127913,-0.6258923,8.547427,-0.63600206,-0.7302645,39.45421,-0.6744689,27.68508,-0.6787673,41.25779,24.459642,-0.6169536,16.070574,-0.7973633,-0.7549156,33.993725,-0.6535641,13.808093,45.24578,-0.6098507,33.38262,41.95192,-0.8247529,2.1567097,-0.6678587,19.711775,60.65717,31.457159,8.357523,-0.65479034,-0.6605144,-0.6630918,-0.65817887,-0.62265855,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,-0.647258,-0.691387,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0218,-0.67127913,-0.6258923,4.022358,-0.63600206,-0.7302645,15.557491,-0.2107895,16.375095,-0.6787673,22.450722,5.4617434,-0.6169536,8.982812,-0.7973633,-0.7549156,11.941503,-0.6535641,10.512093,14.79116,-0.6098507,9.644531,21.753187,-0.8247529,-0.69775516,4.332751,1.1385653,32.20911,17.946476,5.2459846,-0.65479034,0.5113514,-0.6630918,-0.65817887,-0.62265855,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,2.0701416,-0.691387,-0.5489272,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0316,-0.67127913,-0.6258923,18.680595,-0.63600206,-0.7302645,46.006767,-0.6744689,20.91775,-0.6787673,25.348177,41.48786,-0.6169536,3.5920103,0.108700156,-0.7549156,74.76745,-0.6535641,15.924563,48.30692,4.6110497,42.08943,47.086246,-0.8247529,9.971045,-0.6678587,42.036423,41.9461,28.790764,1.0644947,-0.65479034,-0.6605144,8.058101,-0.65817887,-0.62265855,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,-0.647258,-0.691387,9.102413,0.6360152,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
MB-0189,-0.67127913,-0.6258923,9.010475,-0.63600206,-0.7302645,39.45157,-0.6744689,19.076723,-0.6787673,26.461946,32.289097,-0.6169536,22.158026,-0.7973633,-0.7549156,42.164215,-0.6535641,13.970041,42.38689,-0.6098507,36.8695,37.745758,-0.8247529,10.853195,-0.6678587,35.865578,48.585804,29.97208,12.221478,-0.65479034,-0.6605144,1.3346665,-0.65817887,-0.62265855,-0.710987,-0.6867988,-0.6196642,-0.7775276,-0.73190945,-0.7581283,-0.647258,-0.691387,-0.4537958,-0.66038334,-0.58937436,-0.6790886,-0.66571295,-0.7982894,-0.81525147,-0.7252081
