,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
MB-0362,0.0,62.837154,12.3190365,0.0,0.0,0.0,0.0,10.312801,0.9888178,0.0,0.0,0.0,0.0,1.2606592,0.0,0.0,0.0,0.0,0.0,51.276905,25.42667,33.151497,0.0,6.547091,4.118386,0.0,41.657505,5.5991497,0.0,28.978409,15.556989,25.41798,35.82691,0.0,0.0,2.3449593,0.0,0.0,39.802635,11.229932,0.0,33.898117,9.214164,39.889034,0.0,18.653399,0.0,0.0,0.0,21.612183,0.41975105,0.0,0.0,4.3032684,0.0,27.147585,0.0,0.0,0.0,0.0,9.4656725,0.0,48.977245,0.0,50.464115,33.008392,0.0,0.038762327,0.0,0.0,44.30381,0.0,0.0,9.970072,16.96739,0.0,0.0,4.583002,21.562412,3.19093,38.99422,7.5002584,0.0,0.0,42.496296,16.83955,0.0,0.0,0.0,0.0,0.0,1.4873806,27.368753,0.0,1.7120823,0.0,11.372722,17.459118,0.0,0.0,21.339638,0.0,26.159058,1.3384374,0.0,0.0,0.0,17.401867,0.0,0.0,0.0,0.0,0.0,4.513774,28.195135,0.0,0.0,0.0,9.049702,0.0,0.0,0.0,26.944721,6.6764336,64.5688,0.0,0.0,0.0,0.0,0.0,0.0,0.2160134,28.333643,0.0,0.0,0.0,0.0,4.0124636,0.0,0.0,28.404787,0.0,0.0,0.0,46.773167,7.8980966,0.0,0.0,15.632852,2.951883
MB-0346,0.0,63.216267,15.728253,0.0,3.8319457,0.0,0.0,0.0,0.0,0.0,0.0,8.993317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8164015,37.484337,13.242996,0.0,0.0,0.0,0.0,17.20936,24.465464,0.0,11.77182,2.1751707,23.844662,13.207073,0.0,0.0,0.0,0.0,0.0,24.338264,25.712084,0.0,53.62496,0.0,22.627914,0.0,18.173323,0.0,0.0,0.0,5.4935255,0.0,19.953337,0.0,0.0,0.0,20.437551,0.0,0.0,0.0,0.0,40.209286,17.284487,28.525364,9.468691,31.46785,0.0,9.45685,0.0,0.0,22.76754,17.7873,0.0,0.0,0.0,0.0,6.2717967,2.1431842,17.305052,1.7678028,0.0,0.0,30.43319,0.0,0.0,5.599058,0.0,23.922617,0.0,19.617044,0.0,0.0,26.340961,0.0,0.0,4.60086,0.0,0.0,14.459507,0.870157,0.0,20.500048,0.0,0.0,1.0097493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.875162,0.0,0.0,0.0,0.0,27.116888,23.841545,16.025297,0.7877789,0.0,0.0,6.2732687,8.988251,1.4277325,8.075958,10.522931,0.0,0.0,0.5496503,0.0,4.36621,1.6994741,0.0,0.0,0.0,0.0,66.163246,0.0,12.470624,0.0,40.110836,0.0
MB-0386,5.7176104,57.314358,0.0,0.0,0.0,0.0,0.0,26.706886,22.014359,0.0,0.0,0.0,10.80872,8.444345,0.0,0.0,0.0,0.0,0.0,86.540215,0.0,17.650686,0.0,20.475256,31.414183,0.0,32.698452,0.0,0.0,21.4827,42.576584,19.36811,17.026863,0.0,0.0,30.268349,0.0,0.0,24.207954,0.0,0.0,11.277193,14.292478,25.461586,0.0,0.0,2.7025688,12.158026,0.0,41.760242,6.861853,0.0,16.05186,0.0,0.0,13.054523,0.0,4.9605966,0.0,0.0,0.0,0.0,74.260925,0.0,46.44262,14.760723,0.0,10.280922,0.0,0.0,9.533959,0.0,20.98461,15.85305,26.847336,0.0,0.0,0.0,48.923676,1.8462168,16.323956,0.0,0.0,0.0,55.19581,36.55546,0.0,7.970086,0.0,0.0,0.12675288,0.0,30.126095,0.0,10.271747,9.521108,43.749283,2.831397,0.0,0.0,0.50415814,10.487037,42.4738,17.240154,0.0,17.07032,17.882206,23.228018,0.0,6.284317,0.0,0.0,0.0,23.65713,48.65725,0.0,0.0,0.0,0.0,21.873068,0.0,0.0,26.703484,0.0,76.12967,0.0,0.0,25.400288,0.0,0.0,0.0,14.637313,0.0,0.0,0.0,2.7757866,1.4177235,23.532133,0.0,0.0,48.346863,0.0,0.0,0.0,24.597775,42.131542,0.0,0.0,11.097854,0.0
MB-0574,0.0,56.86165,13.816035,0.0,0.0,0.0,0.0,2.8066688,0.0,0.0,0.0,0.0,0.0,9.352948,0.0,0.0,0.0,0.0,0.0,47.532627,15.804532,31.13302,0.0,14.78004,0.0,0.0,41.510963,7.346425,0.0,20.291275,7.1718183,20.855637,34.26325,0.0,0.0,11.857638,0.0,0.0,38.39179,9.834373,0.0,27.502659,7.807877,38.793144,0.0,21.003523,0.0,0.0,0.0,25.797178,0.0,0.0,0.0,5.1944556,0.0,13.617523,0.0,0.0,6.8524275,0.0,6.9196815,0.0,37.30391,0.0,42.414257,20.154997,0.0,0.0,0.0,0.0,38.396843,0.0,0.0,5.924419,22.105652,0.0,0.0,9.395399,19.78196,0.0,32.792362,11.020192,0.0,0.0,29.62249,13.58057,0.0,0.0,0.8572457,0.0,0.0,9.684518,26.150358,0.0,0.0,0.0,16.11899,19.741676,0.0,0.0,23.882866,0.0,20.69898,0.0,0.0,0.0,0.0,16.8289,0.0,0.0,0.0,0.0,0.0,0.0,13.630848,0.0,0.0,0.0,15.484952,0.0,0.0,0.0,18.037086,12.815601,54.270885,0.0,0.0,4.0935636,0.0,0.0,0.0,0.0,26.938269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.386213,0.0,1.7162946,0.0,45.55412,10.1946745,0.0,0.0,15.626351,0.0
MB-0503,0.0,59.655277,9.79472,0.0,0.0,0.0,1.0731956,13.676948,3.485648,0.0,0.0,0.0,0.0,5.0292044,0.0,0.0,0.0,0.0,0.0,55.018772,20.917349,29.921278,0.0,9.929712,6.780148,0.0,41.317413,2.5825005,0.0,29.15808,18.435205,23.109068,33.40102,0.0,0.0,8.492615,0.0,0.0,37.507683,8.402532,0.0,29.597332,12.712291,39.064747,0.0,12.156329,0.0,0.0,0.0,23.650194,1.4630898,0.0,0.0,0.8092729,0.0,25.075552,0.0,0.0,0.0,0.0,3.7813468,0.0,51.861538,0.0,48.925175,32.34958,0.0,2.821418,0.0,0.0,38.429653,0.0,0.0,10.7748165,18.735525,0.0,0.0,2.7580452,24.789959,2.4786115,36.730602,5.243392,0.0,0.0,43.98292,22.005703,0.0,0.8692149,0.0,0.0,0.0,0.0,30.494753,0.0,1.6398271,0.0,17.051378,13.175347,0.0,0.0,17.474995,0.0,29.436665,4.0597925,0.0,3.108235,0.0,19.765755,0.0,0.0,0.0,0.0,0.0,7.8659616,34.68938,0.0,0.0,0.0,4.7441435,0.0,0.0,0.0,28.52549,3.142332,66.448105,0.0,0.0,2.8715088,0.0,0.0,0.0,2.1587172,23.942827,0.0,0.0,0.0,0.0,6.865436,0.0,0.0,32.344746,0.0,0.0,0.0,39.67377,14.353719,0.0,0.0,13.307935,2.9563687
MB-0641,11.868362,86.075134,0.0,0.0,0.0,0.0,0.0,49.25605,46.89807,0.0,0.0,0.0,30.121199,3.7878466,2.904996,0.0,0.0,0.0,0.0,154.51833,0.0,16.173231,0.0,32.292423,70.092834,0.0,48.294544,0.0,0.0,33.092392,85.09634,29.668274,14.523097,0.0,0.0,52.185253,0.0,0.0,30.742586,0.18635944,0.0,2.4418838,13.721141,32.43767,0.0,0.0,10.104334,30.164438,0.0,69.54737,24.971497,0.0,29.398935,0.0,0.0,14.569384,0.0,18.928242,0.0,0.0,0.0,0.0,129.26874,0.0,70.16198,0.64732915,0.0,36.848427,0.0,0.0,0.44875532,0.0,45.046783,17.370989,40.301598,0.0,0.0,0.0,91.1309,10.359787,8.069024,0.0,0.0,0.0,92.35795,66.12632,0.0,11.306097,0.0,0.0,14.480487,0.0,45.21824,0.0,16.936344,28.402155,72.90943,0.0,0.0,0.0,0.0,30.67911,74.024864,46.138947,0.0,32.392715,35.048317,29.807953,0.0,21.55751,0.0,0.0,0.0,61.0686,75.408516,0.0,0.0,0.0,0.0,47.746128,0.0,0.0,40.46062,0.0,121.789314,0.0,0.0,45.49472,27.210617,0.0,0.0,39.540585,0.0,0.0,0.0,19.572998,15.025402,59.885265,0.0,0.0,74.72396,0.0,0.0,0.0,36.836517,77.529144,0.0,0.0,20.959934,0.0
MB-0201,6.0528574,61.68464,0.0,0.0,0.0,0.0,0.0,34.40922,32.626484,0.0,0.0,0.0,22.586973,0.0,7.314036,0.0,0.0,0.0,0.0,104.76351,0.0,8.76864,0.0,23.833435,50.639576,0.0,28.702574,0.0,0.0,7.646967,53.19536,19.795778,0.0,0.0,0.0,38.814808,0.0,0.0,12.852961,3.4297147,0.0,0.0,5.918703,11.001493,3.1573594,0.0,7.925194,19.973518,0.0,50.02917,11.058937,0.0,32.842842,0.0,0.0,3.039653,0.0,11.946219,0.0,0.0,0.0,0.0,84.33507,0.0,43.119377,0.0,0.0,6.0141325,0.0,0.0,0.0,0.0,24.73404,12.345245,32.298958,0.0,0.0,0.0,68.82112,7.84761,0.0,0.0,0.0,0.0,57.20507,37.550266,0.0,0.0,0.0,0.0,3.9267395,0.0,22.195791,8.60204,11.957844,10.164186,51.63511,0.0,0.0,0.0,0.0,20.834259,36.89022,31.320473,0.0,12.181919,26.918472,9.011426,0.0,3.5583556,0.0,0.0,0.0,38.953354,42.605713,0.0,0.0,0.0,0.0,31.793816,0.0,3.3060348,16.659676,0.0,71.715706,0.0,0.0,37.999924,30.712496,0.0,0.0,28.5727,0.0,0.0,0.0,17.067148,12.9777775,41.248188,0.0,0.0,53.57522,0.0,0.0,0.0,24.130028,50.365482,0.0,0.0,17.04787,0.0
MB-0218,0.0,48.67001,6.8471737,0.0,0.0,0.0,0.077658266,7.726681,2.6777682,0.0,0.0,0.0,0.0,10.242448,0.0,0.0,0.0,0.0,0.0,46.014317,9.215905,22.154554,0.0,15.395344,4.321166,0.0,32.584557,3.8473608,0.0,17.714376,11.976115,16.482416,24.740524,0.0,0.0,15.595312,0.0,0.0,27.87565,5.9671392,0.0,20.263847,10.90304,29.817348,0.0,7.8181167,0.0,0.0,0.0,25.142328,0.0,0.0,0.8390708,0.0,0.0,10.982539,0.0,0.0,2.3616652,0.0,0.0,0.0,39.66641,0.0,35.963043,18.029325,0.0,0.0,0.0,0.0,23.077713,0.0,0.0,8.174267,20.70953,0.0,0.0,4.002225,22.092913,0.27295998,23.558529,6.3772764,0.0,0.0,31.167164,16.664421,0.0,0.34931055,0.0,0.0,0.0,4.5870757,24.20804,0.0,0.0,0.0,21.844698,11.867995,0.0,0.0,14.722135,0.0,20.004545,0.0,0.0,0.32943928,0.0,14.57183,0.0,0.0,0.0,0.0,0.0,0.28423178,21.488882,0.0,0.0,0.0,6.1250257,0.0,0.0,0.0,15.414265,8.264599,49.94666,0.0,0.0,9.040716,0.0,0.0,0.0,1.392869,15.964424,0.0,0.0,0.0,0.0,2.4107387,0.0,0.0,30.490091,0.0,0.0,0.0,30.44165,17.846197,0.0,0.0,14.192203,0.0
MB-0316,0.0,76.7895,0.0,0.0,0.0,0.0,0.0,34.47582,54.95532,16.155233,0.0,0.0,18.817465,0.0,30.388325,21.081816,0.0,0.0,0.0,120.39553,22.876686,0.0,0.0,9.238122,70.91041,0.0,31.654182,0.0,0.0,6.6925826,70.3324,23.962746,0.0,1.5101553,25.443617,16.653536,0.0,0.0,9.452297,33.444504,0.0,0.0,0.0,2.0973585,0.0,0.0,5.230662,30.266226,24.76139,38.1347,33.312202,4.690661,27.799814,0.0,0.0,26.82515,13.127112,32.516235,0.0,0.0,0.0,0.0,105.32512,12.70854,50.559082,0.0,41.554092,29.803051,0.0,0.0,0.0,0.0,34.502262,0.0,25.538364,0.0,0.0,0.0,74.45884,25.490005,0.0,0.0,0.0,0.0,86.21562,31.7925,0.0,0.0,0.0,0.0,3.0685313,0.0,10.3771,0.0,9.426462,18.760254,34.361454,0.0,6.4237895,0.0,0.0,12.068609,31.656847,65.39005,0.0,0.0,15.086509,0.0,0.0,35.893764,0.0,0.0,0.0,77.33629,41.713867,0.0,0.0,0.0,0.0,22.276585,0.0,0.0,3.14028,11.620482,78.31773,0.0,0.0,22.94088,93.36662,27.014755,0.0,79.5605,0.0,0.0,0.0,53.63551,46.960884,88.05852,0.0,0.0,33.27683,0.0,0.0,0.0,34.676617,44.368168,0.0,0.0,48.859142,0.0
MB-0189,22.65121,68.661995,0.0,0.0,0.0,0.0,0.0,40.116573,36.358032,0.0,0.0,0.0,36.637142,16.517006,0.0,0.0,0.0,0.0,0.0,138.95174,0.0,13.27777,0.0,38.97567,57.599205,0.0,45.96687,0.0,0.0,17.774187,71.64162,23.659664,3.5212076,0.0,0.0,64.06277,0.0,0.0,19.810083,0.0,0.0,0.0,12.821643,28.892426,18.289991,0.0,12.353343,23.978365,0.0,67.86589,10.599956,0.0,39.298115,0.0,0.0,0.0,0.0,10.366404,0.0,0.0,0.0,0.0,104.548294,0.0,47.275616,0.0,0.0,14.958078,0.0,0.0,0.0,1.4847264,28.333225,14.194111,48.66165,0.0,0.0,0.0,82.10258,1.969879,0.0,0.0,0.0,0.0,68.36348,63.031807,0.0,16.09279,0.0,0.0,16.605352,0.0,45.93598,9.43564,6.75153,17.050632,77.87425,2.5014253,0.0,0.0,0.0,33.24045,51.71447,31.346928,0.0,33.110664,41.483784,24.560444,0.0,4.2160473,0.0,0.0,0.0,44.31191,53.53428,0.0,0.0,0.0,0.0,50.310825,0.0,21.721567,26.496914,0.0,97.474945,0.0,0.0,52.4818,25.848942,0.0,0.0,31.691238,0.0,0.0,0.0,13.124576,13.206535,48.97299,0.0,0.0,73.23452,0.0,0.0,0.0,22.505388,76.72084,0.0,0.0,16.122723,0.0
