,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
MB-0362,-0.16597715,-0.5310464,-0.63020194,0.41684848,22.846401,16.275373,10.381071,-0.46255797,17.325144,-0.84824437,6.1809425,-0.4856426,-0.68655455,-0.58091867,11.3232355,-0.6097872,-0.52458847,4.4353733,3.3046002,-0.7190388,21.597183,11.333011,25.175388,-0.7490188,-0.5980353,32.927734,-0.5867892,11.192318,0.59091294,38.05084,-0.7037566,35.434143,8.723788,-0.6344915,-0.5173123,-0.697076,49.440266,8.592773,22.907267,-0.7289254,1.5296934,-0.5525034,-0.5344184,15.838919,-0.5682718,2.7728,51.267807,-0.71378314,-0.8290536,18.985268,-0.62507313,-0.48886338,-0.5271721,-0.5772041,20.421396,12.199384,18.506283,-0.5396686,21.878145,-0.45528245,10.86609,14.614787,26.114578,-0.6397742,5.9760995,-0.6560862,28.70693,-0.71220434,6.0362024,0.5932744,14.659763,-0.60461813,0.37250397,-0.74215496,-0.54514265,7.245806,-0.5443376,51.370075,-0.4599536,-0.5914742,-0.70133877,8.565323,-0.7420665,18.92936,3.7720234,12.389487,-0.4998936,-0.67934054,2.2661207,-0.6672306,-0.6088355,-0.6804682,28.47593,1.3444519,-0.6866152,2.005858,-0.70939755,-0.44356796,-0.6258257,33.9664,-0.55688685,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,52.53794,-0.54851943,-0.69078207,25.376331,-0.75401664,-0.67009413,-0.72344565,-0.542231,-0.6783359,-0.683917,2.8477466,44.958084,-0.74809676,4.205629,58.21684,3.9339542,11.28604,20.807522,-0.46897075,-0.51400155,26.869589,14.687314,-0.55724275,5.049085,16.659714,10.1260195,-0.61859614,21.212744,6.8280306,-0.7569095,37.329475,-0.55936235,8.31042,15.801095,-0.5464441,18.67421,-0.45480454,40.931522,-0.7534875,25.247482,-0.77848923,-0.5269736,-0.4857774
MB-0346,-0.61161953,-0.5310464,-0.63020194,33.099754,44.55458,23.89099,-0.70852613,4.5489907,-0.5968872,-0.84824437,2.0495048,21.466877,-0.68655455,36.01221,19.309673,7.40606,24.007658,-0.6841871,-0.752482,-0.7190388,52.70184,15.161428,37.856625,-0.7490188,-0.5980353,-0.62676847,18.674215,22.194426,-0.6352339,28.590075,-0.7037566,45.358337,8.685897,-0.6344915,17.737984,-0.697076,29.76592,17.627766,11.706708,-0.7289254,29.110823,7.5494423,12.735009,25.655346,7.1390195,-0.59232706,16.65617,-0.71378314,-0.8290536,45.453175,-0.62507313,11.426958,14.225828,-0.5772041,3.1269338,35.57636,24.2004,-0.5396686,3.5515375,17.84766,15.73292,10.239617,7.3094263,-0.6397742,-0.7258252,-0.6560862,36.409412,-0.71220434,25.633698,1.9875658,45.00601,-0.60461813,15.610354,-0.74215496,-0.54514265,12.050478,-0.5443376,28.533772,3.3153245,6.2181234,-0.70133877,25.747023,-0.7420665,12.686439,26.901873,38.10496,7.939327,-0.67934054,-0.79884124,-0.6672306,-0.6761789,-0.6804682,18.595888,-0.1915003,-0.6866152,20.082542,-0.70939755,4.6672034,-0.6258257,18.628576,10.241025,17.982405,-0.6243494,-0.74050015,16.998196,-0.6954833,-0.7654934,38.123524,48.558937,-0.69078207,4.137493,-0.75401664,-0.67009413,0.18127888,11.053931,7.6795588,-0.683917,5.151845,41.458324,-0.74809676,-0.63768804,35.41049,25.148972,17.642315,31.525593,9.656357,-0.51400155,-0.5364331,15.362226,-0.55724275,-0.69838315,39.224766,-0.75289834,-0.61859614,38.67956,-0.5380606,4.285436,34.53101,-0.55936235,2.884533,43.207455,28.736483,-0.541969,21.495779,38.51916,-0.7534875,26.189766,15.510062,18.777061,1.0472674
MB-0386,-0.61161953,-0.5310464,-0.63020194,0.26672035,22.356268,15.573789,4.1530285,-0.46255797,11.24622,-0.84824437,-0.6189672,-0.4856426,-0.68655455,-0.58091867,12.615175,-0.6097872,0.7027683,2.765668,5.0962667,-0.7190388,18.901163,4.108981,26.501259,-0.7490188,-0.5980353,26.476503,-0.5867892,5.9292564,2.4491193,31.111681,-0.7037566,32.778526,8.952276,-0.6344915,0.39522874,-0.697076,45.022575,5.124479,20.958263,-0.7289254,4.576051,-0.5525034,4.17986,20.648062,-0.5682718,-0.59232706,40.75569,-0.71378314,-0.8290536,19.354944,-0.62507313,-0.48886338,-0.5271721,-0.5772041,16.494673,14.579938,19.303787,-0.5396686,14.469078,-0.45528245,4.518962,6.635998,19.447317,-0.6397742,2.5370426,-0.6560862,28.340008,-0.71220434,8.969685,-0.6293846,12.3708935,-0.60461813,4.2734165,-0.74215496,-0.54514265,9.258167,-0.5443376,38.006542,-0.4599536,-0.5914742,-0.70133877,7.4867086,-0.7420665,19.370184,9.462524,9.09134,-0.4998936,-0.67934054,5.5868416,-0.6672306,-0.6761789,-0.6804682,27.966883,1.0650704,-0.6866152,-0.59686077,-0.70939755,5.9405203,-0.6258257,30.588306,5.70525,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,45.41273,-0.54851943,-0.69078207,25.980484,-0.75401664,-0.67009413,-0.72344565,-0.542231,-0.6783359,-0.683917,0.3184024,38.000416,-0.74809676,6.1039066,55.287964,9.603345,13.200504,21.57982,-0.46897075,-0.51400155,15.074712,10.723336,-0.55724275,1.8498182,16.183504,3.0038457,-0.61859614,20.785643,8.292544,-0.7569095,37.149567,-0.55936235,13.616791,18.889116,-0.5464441,17.110695,-0.22863132,37.847916,-0.7534875,25.959642,-0.77848923,-0.5269736,-0.4857774
MB-0574,6.2683535,-0.5310464,-0.63020194,-0.5439009,22.563902,10.107429,13.963379,-0.46255797,26.470713,-0.84824437,6.227539,-0.4856426,-0.68655455,-0.58091867,3.8684165,1.1817373,-0.52458847,9.406634,-0.752482,-0.7190388,17.12982,19.585768,20.84148,-0.7490188,-0.5980353,35.377388,-0.5867892,10.374799,-0.6352339,35.23638,-0.7037566,32.182945,10.4053335,-0.6344915,-0.5173123,-0.697076,50.81891,15.737901,13.366554,-0.6580925,-0.5120607,-0.5525034,-0.5344184,10.259359,-0.5682718,7.970216,56.907787,-0.71378314,-0.8290536,15.808273,-0.62507313,-0.48886338,-0.5271721,-0.5772041,19.775694,3.4557834,10.770267,-0.5396686,19.637121,-0.45528245,13.778517,16.45271,33.564117,-0.6397742,3.2272139,-0.6560862,24.896559,-0.71220434,0.89274484,10.542331,17.09917,-0.60461813,-0.40335223,-0.74215496,-0.54514265,6.282061,-0.5443376,55.34689,-0.4599536,-0.5914742,-0.70133877,8.850042,-0.7420665,10.73155,0.29329908,18.883022,-0.4998936,-0.67934054,-0.79884124,-0.6672306,9.343998,-0.6804682,25.203754,-0.5030738,-0.6866152,7.814991,-0.70939755,-0.44356796,-0.6258257,32.065723,-0.55688685,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,49.85823,-0.54851943,-0.69078207,15.788169,-0.75401664,-0.67009413,-0.72344565,-0.542231,-0.6783359,-0.683917,-0.50868803,47.423447,-0.74809676,1.0452507,53.64085,1.034307,4.3408213,18.67241,-0.46897075,1.466728,32.4541,13.082278,-0.55724275,1.5130961,15.776892,16.262426,-0.61859614,19.085726,8.26786,-0.55363154,31.127762,-0.55936235,0.47733903,14.852532,-0.5464441,21.605362,-0.45480454,38.036655,-0.7534875,17.899967,4.6725454,-0.5269736,-0.4857774
MB-0503,-0.61161953,-0.5310464,-0.63020194,2.1144946,21.914612,12.990261,10.751261,-0.46255797,14.971571,-0.84824437,1.3656981,-0.4856426,-0.68655455,-0.58091867,10.449628,-0.6097872,-0.52458847,8.03817,8.095069,-0.7190388,19.68171,6.8771105,24.84017,-0.7490188,-0.5980353,32.987106,-0.5867892,3.0791512,5.5972877,34.996136,-0.7037566,28.56225,3.8363826,-0.6344915,0.9745178,-0.697076,49.272003,4.077851,22.419867,-0.7289254,3.0291593,-0.5525034,4.3975534,19.829294,-0.5682718,0.1362676,47.42194,-0.71378314,-0.8290536,19.22687,-0.62507313,-0.48886338,-0.5271721,-0.5772041,20.642933,12.43855,18.732319,-0.5396686,17.650698,-0.45528245,4.2216144,9.544885,19.716879,-0.6397742,8.534436,-0.6560862,24.0716,-0.71220434,3.250399,-0.6293846,9.02282,-0.60461813,-0.40335223,-0.74215496,-0.54514265,6.6781797,-0.5443376,43.02199,-0.4599536,-0.5914742,-0.70133877,4.352763,-0.7420665,19.077227,5.6296,8.238006,-0.4998936,-0.67934054,9.947812,-0.6672306,-0.6761789,-0.6804682,26.837524,2.9589195,-0.6866152,0.8263936,-0.70939755,1.4255906,-0.6258257,33.272923,-0.55688685,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,50.38142,-0.54851943,-0.69078207,29.700893,-0.75401664,-0.67009413,-0.72344565,-0.542231,-0.6783359,-0.683917,4.480779,38.458908,-0.74809676,13.329804,56.747158,10.983439,12.899148,20.830894,-0.46897075,-0.51400155,23.36934,17.134787,-0.55724275,6.9835835,11.737895,9.938879,-0.61859614,20.424402,3.3756733,-0.7569095,39.552704,-0.55936235,13.513743,16.454964,-0.5464441,23.018688,-0.45480454,34.804756,-0.7534875,24.737381,-0.77848923,-0.5269736,-0.4857774
MB-0201,-0.61161953,-0.5310464,-0.63020194,23.395615,36.43311,26.531063,-0.70852613,9.745473,5.0396852,-0.84824437,-0.6189672,2.761693,-0.68655455,12.46979,22.199005,-0.6097872,14.785892,-0.6841871,-0.752482,-0.7190388,41.31215,3.081204,42.660717,-0.7490188,-0.5980353,7.8175464,7.751361,17.051403,-0.6352339,34.531292,-0.7037566,38.678555,8.222955,-0.6344915,0.8688023,-0.697076,48.380295,4.290187,19.187525,-0.7289254,23.048761,5.721358,6.397668,31.976332,-0.5682718,-0.59232706,21.839487,-0.71378314,-0.8290536,30.533632,-0.62507313,-0.48886338,0.9286568,-0.5772041,7.858955,28.797562,29.605478,-0.5396686,13.411903,-0.45528245,0.90225935,9.591158,10.632763,-0.6397742,-0.7258252,-0.6560862,46.520077,-0.71220434,31.808996,-0.6293846,35.10513,-0.60461813,18.93184,-0.74215496,-0.54514265,19.663929,-0.5443376,32.165756,16.094763,-0.5914742,-0.70133877,12.599411,-0.7420665,10.348599,24.943674,18.323832,-0.4998936,-0.67934054,-0.79884124,-0.6672306,-0.6761789,-0.6804682,38.844242,-0.5030738,-0.6866152,-0.1449177,-0.70939755,15.145686,0.2998644,24.442705,19.381725,3.2760975,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,40.2718,20.068068,-0.69078207,20.566948,-0.75401664,-0.67009413,-0.72344565,13.164846,-0.6783359,-0.683917,-0.50868803,55.678978,-0.74809676,-0.63768804,56.85766,5.76484,27.403856,14.863166,-0.46897075,-0.51400155,4.7487345,11.504372,-0.55724275,-0.31761876,35.27335,-0.75289834,-0.61859614,35.060047,2.8619447,-0.7569095,29.178003,-0.55936235,9.329033,28.91238,14.872572,8.791353,11.81415,38.907524,-0.7534875,33.781994,-0.77848923,9.168795,-0.4857774
MB-0218,7.936688,-0.5310464,-0.63020194,-0.5439009,25.606915,9.641394,10.849335,-0.46255797,33.499138,-0.84824437,12.762085,-0.4856426,-0.68655455,-0.58091867,-0.679662,7.3800116,-0.52458847,9.774839,-0.752482,-0.7190388,17.638767,21.194324,22.837368,-0.7490188,-0.5980353,37.591225,-0.5867892,13.614576,-0.6352339,36.08473,-0.7037566,36.462,13.558068,-0.6344915,-0.5173123,-0.697076,48.738037,22.243391,12.910938,-0.7289254,-0.5120607,-0.5525034,-0.5344184,4.6786585,-0.5682718,6.594284,57.55611,-0.71378314,-0.8290536,17.190893,-0.62507313,-0.48886338,-0.5271721,-0.5772041,19.02053,5.2646303,6.927142,-0.5396686,23.273422,-0.45528245,19.05977,18.756979,35.740597,-0.6397742,1.5232073,-0.4519143,28.426851,-0.71220434,7.059375,14.033698,25.895967,-0.60461813,-0.40335223,-0.74215496,-0.54514265,12.881421,-0.5443376,58.920364,-0.4599536,-0.5914742,-0.70133877,15.147385,-0.7420665,5.8255606,1.3963339,22.847485,0.99227375,-0.67934054,-0.79884124,-0.6672306,13.160208,-0.6804682,24.136015,-0.5030738,-0.6866152,11.494233,-0.70939755,-0.44356796,-0.6258257,31.360199,-0.55688685,1.0282524,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,52.805645,0.59532064,-0.69078207,8.349376,-0.75401664,-0.67009413,0.23143548,-0.542231,-0.6783359,-0.683917,-0.50868803,56.489487,-0.74809676,-0.63768804,52.364483,-0.6137533,0.69605696,23.08536,-0.46897075,4.332634,33.18328,9.885083,-0.55724275,-0.69838315,18.383633,15.479661,-0.61859614,21.811087,8.520146,8.135031,33.928074,-0.55936235,-0.56611085,16.996588,-0.5464441,19.018007,-0.45480454,43.119686,-0.7534875,16.05035,15.195,-0.5269736,-0.4857774
MB-0316,-0.61161953,-0.5310464,-0.63020194,49.90095,30.969202,47.932552,-0.70852613,41.149124,-0.5968872,-0.84824437,-0.6189672,6.7697234,-0.68655455,17.63155,26.75136,-0.6097872,30.780567,-0.6841871,-0.752482,-0.7190388,48.335148,10.98852,58.298588,-0.7490188,-0.5980353,-0.62676847,22.115406,20.782806,-0.6352339,29.012432,-0.7037566,44.166836,7.976573,-0.6344915,-0.5173123,-0.697076,43.512856,-0.67013854,12.826606,-0.7289254,38.118107,22.754349,3.1751835,45.497864,10.51776,-0.59232706,-0.5562265,-0.71378314,-0.8290536,41.62403,-0.62507313,-0.48886338,8.849642,-0.5772041,-0.56642693,45.198704,45.926315,-0.5396686,5.8415365,-0.45528245,-0.6772083,2.8448439,3.362181,-0.6397742,-0.7258252,-0.6560862,65.24949,-0.71220434,44.73557,-0.6293846,37.28986,-0.60461813,40.822155,-0.74215496,-0.54514265,29.778713,18.081131,11.6182165,43.615047,-0.5914742,-0.70133877,12.463843,-0.7420665,3.8135204,38.006115,14.431611,-0.4998936,-0.67934054,-0.79884124,-0.6672306,-0.6761789,-0.6804682,34.444557,0.26735938,-0.6866152,-0.59686077,-0.70939755,36.229,18.126875,20.632423,31.948336,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,29.093164,33.262577,-0.69078207,19.363781,-0.75401664,-0.67009413,-0.72344565,34.19761,-0.6783359,-0.683917,-0.50868803,57.40108,-0.74809676,-0.63768804,48.276787,-0.6137533,47.570763,1.3654547,-0.46897075,-0.51400155,-0.5364331,13.306161,-0.55724275,-0.69838315,46.855865,-0.75289834,8.202502,51.170322,6.599748,3.9413671,9.555579,-0.55936235,9.973352,33.923702,35.593254,-0.541969,18.243198,39.701523,-0.7534875,38.527966,-0.77848923,18.914051,-0.4857774
MB-0891,-0.61161953,-0.5310464,-0.63020194,8.865965,24.68263,12.954797,10.791157,-0.46255797,18.72615,-0.84824437,7.0934453,-0.4856426,-0.68655455,-0.58091867,4.7089453,-0.6097872,-0.52458847,10.768376,11.2941,-0.7190388,21.82962,2.2788892,28.16233,-0.7490188,-0.5980353,37.83705,-0.5867892,4.2680383,1.6030307,41.936848,-0.7037566,29.80288,3.336616,-0.6344915,4.8620825,-0.697076,57.88394,0.94454795,27.805677,-0.7289254,5.681983,-0.5525034,7.211125,21.837152,-0.5682718,-0.59232706,44.77753,-0.71378314,-0.8290536,22.154528,-0.62507313,-0.48886338,-0.5271721,-0.5772041,20.861427,17.446363,21.873325,-0.5396686,22.615673,-0.45528245,4.350138,11.816268,20.387836,0.15159476,15.565982,-0.6560862,28.097866,-0.71220434,12.75551,-0.6293846,12.42405,-0.60461813,1.4760245,-0.74215496,-0.54514265,11.151157,-0.5443376,42.53475,-0.4599536,-0.5914742,-0.70133877,3.3594944,-0.7420665,19.584581,5.1502895,6.7542453,-0.4998936,-0.67934054,11.000748,-0.17190737,-0.6761789,-0.6804682,32.524673,1.4274533,-0.6866152,3.6305423,-0.70939755,3.045939,-0.6258257,32.567333,-0.55688685,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,54.593895,-0.54851943,-0.5386673,31.126385,-0.75401664,-0.67009413,-0.72344565,-0.542231,-0.6783359,-0.683917,3.413633,41.895126,-0.74809676,15.11113,58.972916,11.627902,12.429202,24.558558,-0.46897075,-0.51400155,23.273203,20.639233,-0.55724275,11.9657955,11.243784,11.762544,-0.61859614,24.675962,-0.5380606,-0.7569095,46.792583,-0.55936235,10.738651,19.105398,-0.5464441,30.098429,-0.45480454,41.31388,-0.7534875,24.24983,-0.77848923,-0.5269736,-0.4857774
MB-0899,-0.61161953,-0.5310464,-0.63020194,4.2843556,24.46166,13.527342,6.590915,-0.46255797,17.958298,-0.84824437,4.523776,-0.4856426,-0.68655455,-0.58091867,5.678149,-0.6097872,-0.42253396,6.606603,8.754209,-0.7190388,20.09237,3.842211,26.49484,-0.7490188,-0.5980353,32.662888,-0.5867892,8.51116,-0.6352339,35.268517,-0.7037566,31.628763,7.0081234,-0.6344915,3.6110198,-0.697076,48.08605,5.1519637,24.185654,-0.7289254,4.883005,-0.5525034,5.2357836,17.511364,-0.5682718,-0.59232706,44.401394,-0.71378314,-0.8290536,20.28683,-0.62507313,-0.48886338,-0.5271721,-0.5772041,18.284903,14.9304495,19.400225,-0.5396686,17.832582,-0.45528245,6.8554945,10.869888,21.819742,-0.6397742,7.456148,-0.6560862,27.800695,-0.71220434,9.574504,-0.6293846,13.787137,-0.60461813,1.4587169,-0.74215496,-0.54514265,12.113909,-0.5443376,43.121395,-0.4599536,-0.5914742,-0.70133877,6.66619,-0.7420665,18.165836,5.2778955,10.247924,-0.4998936,-0.67934054,5.840416,-0.6672306,-0.6761789,-0.6804682,29.339792,0.88041425,-0.6866152,1.9059623,-0.70939755,2.1337352,-0.6258257,30.907736,-0.55688685,-0.6106778,-0.6243494,-0.74050015,-0.533646,-0.6954833,-0.7654934,51.661354,-0.54851943,-0.69078207,25.385807,-0.75401664,-0.67009413,-0.72344565,-0.542231,-0.6783359,-0.683917,2.2842956,42.009037,-0.74809676,6.8239927,53.933975,9.704172,10.458284,24.02287,-0.46897075,-0.51400155,20.150923,12.753736,-0.55724275,6.422422,14.375101,7.511978,-0.61859614,22.426357,2.5594985,-0.7569095,43.04791,-0.55936235,8.403146,19.086548,-0.5464441,22.637049,-0.45480454,40.609516,-0.7534875,24.857918,-0.77848923,-0.5269736,-0.4857774
