,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MB-0362,-0.6211618,-0.6397192,21.902004,8.833655,-1.2877164,5.612995,-0.6472064,6.543746,-0.8423011,-0.70234287,-0.55733025,-0.9448971,-0.8549269,-0.8611356,20.305,13.088648,-1.0241588,-0.84536475,-0.8486748,16.808805,3.87059,13.482831,-0.87801385,33.86234,-0.863358
MB-0346,-0.6211618,-0.6397192,35.23173,16.868317,-1.2877164,-0.82912725,-0.6472064,7.6621156,-0.8423011,-0.70234287,47.05716,7.5019965,-0.8549269,4.6462026,21.680237,-0.79662853,-1.0241588,-0.84536475,-0.8486748,25.854158,5.8494134,3.4848428,3.474891,40.20836,-0.863358
MB-0386,-0.6211618,-0.6397192,20.827435,8.121522,-1.2877164,8.535602,-0.6472064,6.079366,-0.8423011,-0.70234287,-0.55733025,2.7628915,-0.8549269,-0.8611356,21.199213,13.713045,-1.0241588,-0.84536475,-0.8486748,13.959553,6.923146,14.058294,-0.87801385,33.652943,-0.863358
MB-0574,0.10264635,-0.6397192,20.493658,13.157509,-1.2877164,2.2518828,-0.6472064,7.7774262,-0.8423011,-0.70234287,0.33549404,0.00058442354,-0.8549269,-0.8611356,21.101057,15.263153,-1.0241588,-0.84536475,-0.8486748,15.730216,2.9898915,11.2639675,4.355563,25.169096,-0.863358
MB-0503,-0.6211618,-0.6397192,17.450926,6.1832314,-1.2877164,12.507755,-0.6472064,-0.53522146,-0.8423011,-0.70234287,-0.55733025,3.9054103,-0.8549269,-0.8611356,19.142609,14.474647,-1.0241588,-0.84536475,-0.8486748,15.119403,1.160845,13.67228,-0.87801385,31.238066,-0.863358
MB-0201,-0.6211618,-0.6397192,36.76341,0.7840548,-1.2877164,18.345,-0.6472064,8.153509,-0.8423011,-0.70234287,4.2413216,9.73118,-0.8549269,5.4081087,17.678947,-0.79662853,-1.0241588,-0.84536475,-0.8486748,12.9967575,14.311555,0.011450291,-0.87801385,50.35025,-0.863358
MB-0218,2.752812,-0.6397192,23.834373,16.598768,-1.2877164,-0.82912725,-0.6472064,10.594894,-0.8423011,0.4689747,4.007249,-0.9448971,-0.8549269,-0.8611356,21.940615,17.568413,-1.0241588,-0.84536475,-0.8486748,15.457244,5.848997,9.004983,10.302639,24.604132,-0.863358
MB-0316,-0.6211618,-0.6397192,60.659218,0.5208779,-1.2877164,30.686607,-0.6472064,-0.74305284,-0.8423011,-0.70234287,-0.55733025,17.165287,-0.8549269,35.992496,15.349314,-0.79662853,-1.0241588,-0.84536475,-0.8486748,12.343812,14.010845,-0.50733286,-0.87801385,72.61408,-0.863358
MB-0891,-0.6211618,-0.6397192,19.277668,5.2148137,-1.2877164,11.84421,-0.6472064,-0.74305284,-0.8423011,-0.70234287,-0.55733025,2.8885906,-0.8549269,-0.8611356,18.036835,13.249807,-1.0241588,-0.84536475,-0.8486748,17.524857,1.6921625,11.223531,-0.87801385,33.151585,-0.863358
MB-0899,-0.6211618,-0.6397192,19.874153,6.7564554,-1.2877164,6.587101,-0.6472064,3.2589602,-0.8423011,-0.70234287,0.0385136,1.0448444,-0.8549269,-0.8611356,18.242094,13.498626,-1.0241588,-0.84536475,-0.8486748,17.065783,3.991628,11.029092,-0.7886616,32.253162,-0.863358
MB-0605,-0.6211618,-0.6397192,19.484674,3.3185954,-1.2877164,14.018093,-0.6472064,-0.74305284,-0.8423011,-0.70234287,-0.55733025,3.8810701,-0.8549269,-0.8611356,17.099707,14.203125,-1.0241588,-0.84536475,-0.8486748,16.456614,0.10105628,11.947247,-0.87801385,34.050987,-0.863358
MB-0258,-0.38823324,-0.6397192,20.336805,12.666943,-1.2877164,0.5788929,-0.6472064,8.219924,-0.8423011,-0.688396,1.3501024,-0.9448971,-0.8549269,-0.8611356,19.839088,13.798569,-1.0241588,-0.84536475,-0.8486748,17.595577,1.4898224,10.721312,4.649583,26.46751,-0.863358
MB-0506,-0.6211618,-0.6397192,33.9338,5.8781953,-1.2877164,13.18016,-0.6472064,3.1741948,-0.8423011,-0.70234287,23.302462,12.409157,-0.8549269,2.2731671,20.410027,-0.79662853,-1.0241588,-0.84536475,-0.8486748,19.796597,10.523488,3.247793,-0.87801385,46.04916,-0.863358
MB-0223,-0.6211618,-0.6397192,19.189857,12.0267725,-1.2877164,1.6572652,-0.6472064,4.4365973,-0.8423011,-0.33851483,3.3682122,-0.9448971,-0.8549269,-0.8611356,20.340252,10.551091,-1.0241588,-0.84536475,-0.8486748,21.400595,0.71600944,13.544072,0.4753871,30.097769,-0.863358
MB-0445,-0.6211618,-0.6397192,19.939594,7.926983,-1.2877164,4.22581,-0.6472064,5.648285,-0.8423011,-0.70234287,-0.55733025,-0.9448971,-0.8549269,-0.8611356,16.390669,13.961436,-1.0241588,-0.84536475,-0.8486748,15.9038725,-0.05364442,9.919783,1.8420956,29.667734,-0.863358
MB-0199,-0.6211618,-0.6397192,17.938536,6.3032312,-1.2877164,7.171383,-0.6472064,0.016223788,-0.8423011,-0.70234287,-0.55733025,1.6929584,-0.8549269,-0.8611356,16.838064,13.129498,-1.0241588,-0.84536475,-0.8486748,17.559608,-0.98380786,10.795229,3.2396505,29.740875,-0.863358
MB-0517,-0.6211618,-0.6397192,14.768537,5.937698,-1.2877164,11.53461,-0.6472064,-0.74305284,-0.8423011,-0.70234287,-0.55733025,2.5902216,-0.8549269,-0.8611356,16.238708,15.043121,-1.0241588,-0.84536475,-0.8486748,14.912102,-0.98380786,12.9152975,-0.12678921,27.487211,-0.863358
MB-0428,-0.6211618,-0.6397192,23.352446,9.375324,-1.2877164,2.1184242,-0.6472064,8.543078,-0.8423011,-0.70234287,7.7621384,1.3204448,-0.8549269,-0.8611356,18.87552,13.839227,-1.0241588,-0.84536475,-0.8486748,16.417826,9.729894,5.246184,3.7896159,27.202726,-0.863358
MB-0117,-0.6211618,-0.6397192,17.521267,10.395472,-1.2877164,7.5566416,-0.6472064,1.2839702,-0.8423011,-0.70234287,0.99141586,-0.9448971,-0.8549269,-0.8611356,21.981438,12.134338,-1.0241588,-0.84536475,-0.8486748,19.554903,0.75418526,16.051022,-0.87801385,30.77666,-0.863358
MB-0249,-0.6211618,-0.6397192,37.349228,3.3738933,-1.2877164,18.81896,-0.6472064,7.704433,-0.8423011,-0.70234287,19.39906,15.561445,-0.8549269,7.7492867,20.548872,-0.79662853,-1.0241588,-0.84536475,-0.8486748,15.067946,13.631635,-0.50733286,-0.87801385,49.300087,-0.863358
MB-0660,-0.6211618,-0.6397192,32.011513,6.3965645,-1.2877164,10.720693,-0.6472064,2.9276748,-0.8423011,-0.70234287,25.881947,14.258451,-0.8549269,-0.38559133,19.58943,1.6166012,-1.0241588,-0.84536475,-0.8486748,19.385046,10.265188,2.412377,-0.87801385,42.93615,-0.863358
MB-0497,-0.6211618,-0.6397192,16.562904,13.438658,-1.2877164,4.8053985,-0.6472064,0.88417256,-0.8423011,1.8632599,2.222877,-0.9448971,-0.8549269,-0.8611356,23.535135,9.964655,-1.0241588,-0.84536475,-0.8486748,21.139305,-0.39763564,17.152637,0.25301874,27.404564,-0.863358
MB-0434,0.539361,-0.6397192,26.159273,13.980243,-1.2877164,7.0061316,-0.6472064,15.618936,-0.8423011,-0.70234287,16.637667,7.2638144,-0.8549269,-0.8611356,23.853651,14.839503,-1.0241588,-0.84536475,-0.8486748,13.455604,17.788465,1.2182052,4.225794,25.322329,-0.863358
MB-0143,1.749875,-0.6397192,19.464867,12.746817,-1.2877164,4.8679647,-0.6472064,5.54028,-0.8423011,-0.3010929,3.1582737,1.8333151,-0.8549269,-0.8611356,20.651333,16.647558,-1.0241588,-0.84536475,-0.8486748,14.035687,2.797386,10.576953,5.4676228,21.821817,-0.863358
MB-0513,1.0509106,-0.6397192,17.627636,4.8591676,-1.2877164,5.634136,-0.6472064,1.1200627,-0.8423011,-0.70234287,-0.55733025,5.629017,-0.8549269,-0.8611356,11.878099,13.7370205,-1.0241588,-0.84536475,-0.8486748,9.61671,-0.98380786,7.082915,4.200921,28.552523,-0.863358
MB-0541,3.63378,-0.6397192,21.6047,14.089393,-1.2877164,0.5450826,-0.6472064,9.672904,-0.8423011,-0.70234287,1.7996892,1.4672344,-0.8549269,-0.8611356,20.682535,16.168432,-1.0241588,-0.84536475,-0.8486748,11.354661,7.577515,6.2815504,8.310135,21.953629,-0.863358
MB-0653,-0.6211618,-0.6397192,26.650732,15.480312,-1.2877164,7.795598,-0.6472064,13.753823,-0.8423011,-0.70234287,20.60644,10.540708,-0.8549269,-0.8611356,26.542599,8.3955,-1.0241588,-0.84536475,-0.8486748,16.88491,17.864733,5.6546454,5.6620064,29.376614,-0.863358
MB-0455,5.0560064,-0.6397192,24.825747,16.649155,-1.2877164,3.8449087,-0.6472064,18.864454,-0.8423011,-0.70234287,14.833926,3.0927782,-0.8549269,-0.8611356,22.515884,13.341923,-1.0241588,-0.84536475,-0.8486748,9.372737,20.729305,-0.50733286,15.070754,20.217611,-0.863358
