,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MB-0362,-0.6575823,-0.6037261,-0.7180717,5.6756363,-0.7906406,2.643104,-0.59559095,-0.9187001,7.1162095,-0.78642064,-0.41068763,-0.55631673,29.835308,23.760036,3.706523,21.988243,-0.78019327,-0.28720576,15.093385,44.508522,9.782477,5.605645,57.047417,3.5629387,2.156417,-0.8959849,10.8940115,-0.7874057,-0.66989857,-0.6416045,-0.5597817,-0.61657983,44.55218,-0.6837653,18.034595,-0.7351171,7.4036107,-0.74241173,-0.6533173,15.494902,24.285067,-0.5945608,-0.7894923,18.827084,23.462177,-0.4920126,-0.72947526,13.859011,-0.5869863,-0.79652643
MB-0346,-0.6575823,-0.6037261,-0.7180717,-0.60593295,30.178082,-0.7033461,-0.59559095,19.92917,9.939529,-0.78642064,-0.41068763,-0.55631673,19.63989,16.625414,-0.59414107,21.726032,-0.78019327,-0.7169766,33.29643,27.34692,12.645481,14.322574,36.502834,14.74425,27.928196,-0.8959849,-0.67208356,-0.7874057,-0.66989857,4.2221465,2.752481,-0.61657983,67.3675,-0.6837653,-0.66588473,-0.7351171,23.29442,-0.74241173,-0.4557864,33.569378,35.28819,19.965742,-0.7894923,35.367752,-0.53344953,-0.4920126,-0.72947526,12.179689,-0.5869863,-0.79652643
MB-0386,-0.6575823,-0.6037261,-0.7180717,6.931549,-0.7906406,-0.7033461,-0.59559095,-0.9187001,5.592881,-0.78642064,-0.41068763,-0.55631673,30.89962,25.559925,0.6685354,16.291151,-0.78019327,-0.7169766,9.842783,39.2047,6.3697863,3.8361506,49.902084,2.2170491,5.1683583,-0.8959849,8.634674,-0.7874057,-0.66989857,1.2637422,-0.5597817,-0.61657983,43.98685,-0.6837653,19.427326,-0.7351171,8.965973,-0.74241173,-0.6533173,15.073456,24.270494,-0.5945608,-0.7894923,13.472612,15.541404,-0.4920126,-0.72947526,14.484905,-0.5869863,-0.79652643
MB-0574,-0.6575823,0.3145231,-0.7180717,0.9894254,-0.7906406,7.661237,-0.59559095,-0.9187001,12.424755,-0.78642064,-0.41068763,-0.55631673,22.550022,17.72348,8.383301,29.74878,-0.78019327,-0.7169766,21.39631,41.033733,7.459808,2.3952599,53.141865,12.18903,1.9693727,-0.8959849,10.927431,-0.7874057,-0.66989857,-0.6416045,-0.5597817,-0.61657983,46.632076,-0.6837653,14.006823,-0.7351171,-0.69695127,-0.74241173,-0.6533173,14.952633,18.56105,-0.5945608,-0.7894923,21.767294,32.772892,-0.4920126,-0.72947526,5.5944123,-0.5869863,-0.7703077
MB-0503,-0.6575823,-0.6037261,-0.7180717,7.8346777,-0.7906406,-0.7033461,-0.59559095,-0.9187001,0.3481589,-0.78642064,-0.41068763,-0.55631673,26.980318,24.313679,0.6477162,18.869652,-0.78019327,4.057884,12.040192,42.73137,8.132834,1.1325638,46.987312,2.115137,4.453291,-0.8959849,9.248418,-0.7874057,-0.66989857,-0.6416045,-0.5597817,-0.61657983,40.152668,-0.6837653,16.263988,-0.7351171,9.244344,-0.74241173,-0.6533173,12.320844,20.124945,-0.5945608,-0.7894923,14.702644,17.544872,-0.4920126,-0.72947526,12.757248,-0.5869863,0.2308873
MB-0201,-0.6575823,-0.6037261,-0.7180717,2.6835446,15.899055,-0.7033461,-0.59559095,4.1631255,15.838051,-0.78642064,-0.41068763,-0.55631673,40.17193,21.149841,-0.59414107,18.333586,-0.78019327,-0.56966937,13.661637,30.368372,14.698029,0.58373463,52.8735,3.7981882,18.384779,-0.8959849,6.16163,-0.7874057,-0.66989857,10.395959,-0.5597817,-0.61657983,58.440456,-0.6837653,5.0655613,-0.7351171,26.809324,-0.74241173,-0.6533173,25.203161,37.146893,-0.5945608,-0.7894923,33.74818,6.311867,-0.4920126,-0.72947526,34.274895,-0.5869863,-0.79652643
MB-0218,-0.6575823,0.8508951,-0.7180717,-0.60593295,-0.7906406,6.6002717,-0.59559095,-0.9187001,18.046587,-0.78642064,-0.41068763,-0.55631673,23.363375,15.90714,11.158774,35.51715,-0.78019327,-0.7169766,29.492853,39.004086,6.2917833,5.961083,56.986244,17.791424,4.288933,-0.8959849,6.3554406,-0.7874057,-0.66989857,-0.6416045,-0.5597817,-0.61657983,50.57806,-0.6837653,16.30389,-0.7351171,-0.69695127,-0.74241173,-0.6533173,17.522991,20.67209,-0.5945608,-0.7894923,25.267952,38.910732,-0.4920126,-0.72947526,2.436409,-0.5869863,-0.79652643
MB-0316,-0.6575823,-0.6037261,-0.7180717,19.360998,45.05379,-0.7033461,-0.59559095,17.347338,31.596706,-0.78642064,-0.41068763,-0.55631673,54.32793,19.47217,-0.59414107,9.598045,-0.78019327,-0.7169766,26.559973,29.149115,39.474274,-0.475894,56.199825,-0.50844014,41.674824,-0.8959849,-0.67208356,-0.7874057,-0.66989857,23.566154,22.06864,-0.61657983,65.81835,-0.6837653,-0.66588473,-0.7351171,48.51551,-0.74241173,-0.6533173,29.119379,48.879963,-0.5945608,-0.7894923,47.44023,-0.5863828,-0.4920126,-0.72947526,56.67888,-0.5869863,-0.79652643
MB-0891,-0.6575823,-0.6037261,-0.7180717,7.5095596,-0.7906406,-0.7033461,-0.59559095,-0.9187001,0.45288092,-0.78642064,-0.41068763,-0.55631673,28.890478,24.901268,-0.59414107,24.172363,-0.78019327,3.1031396,14.780574,42.29251,7.1952014,2.429206,51.240326,1.8955387,6.731552,-0.8959849,8.166995,-0.7874057,-0.66989857,-0.6416045,-0.5597817,-0.61657983,41.290966,-0.6837653,18.343042,-0.7351171,12.004971,-0.74241173,-0.6533173,12.703385,19.628656,-0.5945608,-0.7894923,17.434004,17.911194,-0.4920126,-0.72947526,11.990835,-0.5869863,0.025173724
MB-0899,-0.6575823,-0.6037261,-0.7180717,5.683961,-0.7906406,-0.7033461,-0.59559095,-0.9187001,3.9017262,-0.78642064,-0.41068763,-0.55631673,29.01484,23.609552,-0.59414107,22.387056,-0.78019327,1.722111,15.38466,39.09144,7.529803,5.203357,51.263958,3.4310822,4.42049,-0.8959849,8.162611,-0.7874057,-0.66989857,-0.6416045,-0.5597817,-0.61657983,41.860847,-0.6837653,17.182909,-0.7351171,9.112532,-0.74241173,-0.6533173,13.567463,21.887054,-0.5945608,-0.7894923,16.943539,18.32537,-0.4920126,-0.72947526,10.447678,-0.5869863,-0.79652643
