,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
MB-0362,0.0,20.296259,0.0,0.0,37.519093,0.0,6.912119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.690182,0.0,2.2244415,16.328484,0.0,0.0,12.733831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.719131,0.0,0.28819177,3.8688307,0.0,0.0,0.0,25.24786,0.0,0.0,15.606389,29.715677,0.0,0.0,18.594713,8.29331,3.2197106,4.5802593,24.02066,0.0,11.497071,0.0,0.0,0.0,0.0,0.0,4.2087812,13.382934,0.0,41.89238,8.127591,9.792303,0.0,3.6616912,0.0,0.0,0.0,0.0,0.0,11.253467,0.0,4.381476,0.0,0.0,25.165945,0.0,3.7194562,14.704815,14.158319,18.460608,0.0,0.0,3.083005,0.0,0.0,22.175352,0.0,0.0,0.0,9.931146,17.67659,2.2352862,0.0,0.0,34.432713,0.0,10.084921,4.5527177,0.0,0.0,0.0,0.0,6.273132,4.3638315,22.379494,8.948217,0.0,0.6192731,0.0,0.0,0.0,0.0,0.0,0.0,23.70311,16.927975,0.0,2.4048443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98246527,29.924685,0.0,25.510721,11.809351,0.0,14.878486,26.49647,16.12044,2.1611073,0.0,6.4267306,0.0,8.412183,11.40916,0.0,0.0,0.0,0.0,19.873774,0.0,0.0,0.0
MB-0346,0.8286893,1.9148406,0.0,25.144295,22.59638,3.0300405,0.99894667,0.0,2.8073924,8.213519,0.0,11.612636,0.0,0.0,0.0,0.0,0.0,4.590264,0.0,15.862355,0.0,0.0,26.28429,0.0,0.0,0.0,7.461988,0.0,0.0,2.0505493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.612822,0.0,1.1037738,5.9404054,0.0,0.0,0.0,26.914919,0.0,6.4820123,0.0,19.383722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.88286,25.901712,24.275475,0.0,0.0,9.423424,0.0,18.978298,0.0,0.0,0.0,0.0,0.9397567,2.0937634,0.0,0.0,29.805758,0.0,0.0,7.1827216,24.267818,7.057095,0.0,0.0,0.0,0.0,0.0,1.1291772,0.0,5.92194,15.347422,0.0,5.743746,0.0,0.0,0.0,16.349768,15.006287,11.95512,27.67635,0.0,0.0,0.0,9.350678,11.165566,0.0,0.0,7.4797845,0.0,3.0132143,0.0,0.0,0.0,0.0,5.1086674,10.903696,10.407092,7.1878343,0.0,0.0,0.0,0.0,0.0,0.0,11.451581,0.0,0.0,7.367919,0.0,13.728734,0.0,11.745827,25.30219,0.0,4.519733,15.417955,28.236132,0.0,0.0,16.568012,3.8326995,26.74614,0.0,9.779858,0.0,9.612901,0.0,19.246101,8.806052,0.0,0.0
MB-0386,2.406984,16.757353,0.0,0.0,29.19193,0.0,18.307032,0.0,0.0,0.0,0.0,5.128478,0.0,0.0,0.0,0.0,34.24066,0.0,11.308808,17.346956,0.0,0.0,18.530529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.342032,0.0,1.2165916,14.935905,1.0608985,0.0,0.0,22.369978,0.0,0.0,21.524412,33.10157,0.0,0.0,23.027712,14.158456,6.96794,12.536857,18.018461,0.0,9.575189,0.0,0.0,0.0,0.0,0.0,5.2680635,6.598244,0.0,52.599617,1.6543398,21.484251,2.3044806,9.735489,0.0,0.0,0.0,0.0,0.0,16.343916,0.0,9.750088,0.0,0.0,26.10978,0.0,0.0,11.1403,18.6175,7.9791036,0.0,0.0,6.544998,3.4600863,0.0,22.351635,0.0,0.0,0.0,5.805025,14.720661,0.0,0.9391091,0.0,42.268463,0.0,9.3840885,10.828028,0.0,0.0,0.0,1.8638265,5.635661,6.8246107,23.387058,6.7460213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8214412,34.203533,20.401438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.528131,0.0,25.192253,14.590829,0.0,13.387312,27.20513,16.499899,3.2132876,0.0,0.22081456,0.0,11.765539,12.509487,0.0,0.0,0.0,0.0,24.423443,0.0,0.0,0.0
MB-0574,0.0,15.155947,0.0,0.0,36.66091,0.0,1.4129124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7204204,0.0,14.076045,0.0,0.0,14.183702,0.0,0.0,10.564572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5302105,0.0,0.0,0.0,0.0,0.0,0.0,25.194141,0.0,0.0,8.976801,14.1540365,0.0,0.0,12.607652,3.306331,0.0,0.0,20.764505,0.0,13.516686,0.0,0.0,0.0,0.0,0.0,4.115691,11.808803,0.0,31.977203,15.494465,2.2881262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.729765,0.0,0.0,0.0,0.0,18.0229,0.0,5.146847,12.7502,12.186063,20.301735,0.0,0.0,0.0,0.0,0.0,15.519855,0.0,0.0,0.0,9.473963,17.864906,2.9098186,0.0,0.0,24.619589,0.0,7.841438,4.171376,0.0,0.0,0.0,0.0,11.293761,1.3568785,18.816597,8.380399,0.0,5.569582,0.0,2.6144974,0.0,0.0,0.0,0.0,13.140646,12.240325,0.0,0.0,0.0,0.26920563,0.0,0.0,0.0,0.0,0.0,0.0,6.8763523,28.276161,0.0,22.23901,11.538095,0.0,12.239835,21.087925,15.100469,5.3508105,0.0,10.695939,0.0,7.364391,5.497883,0.0,0.0,0.0,0.0,15.414261,0.0,0.0,0.0
MB-0503,0.7363183,21.506647,0.0,0.0,35.154144,0.0,11.681494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.401134,0.0,8.737592,17.760998,0.0,0.0,11.679023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.861996,0.0,3.3982491,8.716124,0.0,0.0,0.0,25.880524,0.0,0.0,16.709244,34.245396,0.0,0.0,20.509941,8.652846,7.7294264,10.556987,20.105137,0.0,13.229379,0.0,0.0,0.0,0.0,0.0,9.091322,8.99817,0.0,50.652485,5.8661704,17.872187,0.0,3.6537004,0.0,0.0,0.0,0.0,0.0,16.783669,0.0,4.5563293,0.0,0.0,22.848755,0.0,0.0,13.188973,11.532569,13.244087,0.0,0.0,8.198101,0.0,0.0,26.794138,0.0,0.0,0.0,8.461881,14.723154,0.0,2.6932335,0.0,40.360146,0.0,9.037777,3.9561982,0.0,0.0,0.0,0.0,5.327064,9.617523,23.910595,5.772002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.771152,21.726568,0.0,1.7634706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.991613,0.0,26.428242,12.856491,0.0,11.899944,25.520596,12.215508,4.02861,0.0,0.12630686,0.0,7.5785394,14.99311,0.0,0.0,0.0,0.0,20.097454,0.0,0.0,0.0
MB-0201,10.337687,9.0902405,0.0,0.0,19.403814,10.5822315,23.27016,0.0,0.0,0.9522721,0.0,19.87954,0.0,0.2567187,0.0,0.0,17.97903,1.376593,9.350903,22.650528,0.0,0.0,27.697325,0.0,0.0,0.0,0.0,5.266041,0.0,0.0,1.606694,0.0,0.0,0.0,7.8856997,5.9051213,0.0,0.0,24.318764,0.0,0.0,27.453838,18.30282,0.0,3.5970755,34.601883,18.911867,0.0,7.074792,15.114484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.440254,1.9588361,24.217724,1.7714225,16.488844,0.30830786,0.0,3.9136796,0.0,0.0,15.893172,0.0,13.336309,0.0,0.0,31.658756,0.0,0.0,5.8355846,32.25199,2.7455978,0.0,0.0,0.0,3.7860801,0.0,11.043268,0.0,0.0,0.0,0.0,10.55946,0.0,0.0,0.0,40.68546,0.110861234,9.3462,26.309315,0.0,0.0,3.1186814,4.2734833,0.0,0.0,4.2186484,7.6165814,0.0,0.0,0.0,0.0,0.0,0.0,6.267468,10.585454,31.161322,12.852541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4929166,0.0,0.0,13.67202,0.0,17.196442,17.826445,0.0,9.337387,24.445326,19.808397,0.0,0.0,2.079486,0.29860783,15.418697,0.0,0.0,0.0,4.500138,0.0,22.690168,0.0,0.0,0.0
MB-0218,0.0,8.012837,0.0,0.0,32.05905,0.0,4.258207,0.0,0.0,4.445047,0.0,0.47180948,0.0,0.0,7.7346063,0.0,3.9936569,0.0,0.0,11.231399,0.0,0.0,14.701411,0.0,1.1611482,0.0,0.0,0.0,0.0,0.0,1.3450172,1.3994511,0.0,0.0,0.0,2.2055776,0.0,0.0,23.45258,0.0,2.4730911,10.324494,14.218215,0.0,0.0,17.650047,5.4833426,0.0,2.5932732,14.41536,0.0,5.7513986,0.0,0.0,0.0,0.0,0.0,11.653898,2.6839259,4.2601895,28.372122,20.127718,6.8164015,0.0,4.6146665,5.484635,0.0,0.0,0.0,0.0,11.092294,0.0,0.727656,0.0,0.0,16.067099,0.0,0.0,10.1822815,9.172698,6.85016,0.0,0.0,0.0,0.0,0.0,11.2880125,0.0,0.0,0.0,0.0,6.3431177,0.0,0.0,0.0,21.553942,2.9617143,1.1938653,5.0700865,0.0,0.0,0.0,0.0,8.8981085,0.0,4.4926033,1.2011219,0.0,0.0,0.0,0.0,0.0,0.0,1.0055118,0.0,4.409536,18.824865,0.0,0.0,0.0,0.0,0.0,0.0,9.318641,0.0,0.0,0.0,0.0,12.748937,8.320201,14.515193,22.72721,0.0,8.119721,20.569412,14.939515,3.4386804,0.0,6.330127,0.0,8.51731,0.0,0.0,0.0,2.1120744,0.0,6.8753695,0.0,0.0,0.0
MB-0316,11.204801,5.419002,0.0,19.00582,18.300093,15.863483,28.729385,0.0,3.8501637,6.7744155,0.0,27.382767,0.0,10.313772,0.0,0.0,1.2526873,14.365079,0.07480454,27.599598,0.0,0.0,41.607403,0.0,0.0,0.0,0.0,0.0,5.6224837,5.6696053,0.0,0.0,0.0,0.0,0.0,0.0,6.2723937,0.0,38.060036,0.0,0.0,34.17819,5.24527,0.0,0.0,50.873253,4.8520327,10.271648,0.0,19.825909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.738173,41.373688,13.329952,11.710758,0.0,15.094868,0.0,16.736143,14.209789,0.0,0.0,0.0,0.0,14.070042,0.0,0.0,58.656063,0.0,0.0,6.4943085,48.621883,3.598315,0.0,0.0,0.0,1.7296346,0.0,1.6762893,0.0,18.131481,6.771216,0.0,8.370335,0.0,0.0,0.0,44.130543,8.820663,6.584157,52.229557,0.0,0.0,25.810265,15.434258,0.0,0.0,0.0,8.415188,0.0,4.4194045,0.0,0.0,0.0,0.0,16.930798,25.628717,34.585773,11.651065,0.0,0.0,0.0,0.0,14.684383,0.0,0.29785016,0.0,0.0,0.0,0.0,12.186952,0.0,11.487932,23.2839,0.0,0.0,18.630114,30.625174,0.0,0.0,0.99247175,20.255331,35.24899,0.0,14.817511,0.0,10.866239,0.0,29.212814,21.535658,0.0,0.0
MB-0891,0.0,20.436441,0.0,0.0,34.831932,0.0,24.027794,0.0,0.0,0.0,0.0,2.1425622,0.0,0.0,0.0,0.0,42.71144,0.0,8.8110485,18.001919,0.0,0.0,15.54511,0.0,0.0,0.0,0.0,3.2563405,0.0,0.0,6.602515,11.408657,0.0,7.279919,18.755703,0.0,0.0,0.0,27.03891,2.2312455,0.0,32.814384,48.493298,0.0,0.0,31.154652,20.561659,1.3188766,21.162653,20.743519,0.0,7.7123446,0.0,0.0,0.0,0.0,0.0,14.934932,14.948293,0.0,53.483475,0.0,28.313347,8.110205,7.662215,0.02319835,0.0,0.0,0.0,0.0,22.80524,0.0,8.452473,0.0,0.0,26.303968,0.0,0.98245215,13.35618,13.51414,10.3048115,0.0,0.0,15.571624,4.729394,0.0,26.962496,0.0,0.0,0.0,5.292355,8.03133,0.16746145,0.0,0.0,50.04736,0.0,8.302127,5.8175235,0.0,0.0,0.0,0.0,0.0,15.418003,27.157442,5.091996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.144966,31.432478,0.0,7.17803,0.0,0.0,0.0,0.0,0.0,0.0,12.887654,0.0,2.398932,19.884745,0.0,20.48798,18.028904,0.0,14.098438,29.11403,10.023372,9.476802,0.0,0.0,0.0,2.2198572,15.651402,0.0,0.0,0.0,0.0,12.600867,0.0,0.0,0.0
MB-0899,0.0,14.420996,0.0,0.0,29.434761,0.0,18.468971,0.0,0.0,0.0,0.0,2.1952002,0.0,0.0,0.0,0.0,28.39224,0.0,3.5844488,17.003336,0.0,0.0,15.940503,0.0,0.0,0.0,0.0,0.031695303,0.0,0.0,1.2638894,5.0524716,0.0,0.21747611,9.619047,0.0,0.0,0.0,25.012733,0.0,0.0,26.54106,33.6489,0.0,0.0,25.399916,13.676851,0.0,12.048432,20.22102,0.0,2.2790673,0.0,0.0,0.0,0.0,0.0,8.938366,10.066857,0.0,42.273365,6.628257,19.46933,1.4177184,7.991975,0.0,0.0,0.0,0.0,0.0,14.646403,0.0,5.8020854,0.0,0.0,26.196218,0.0,0.10273077,14.347988,17.146397,8.619415,0.0,0.0,5.5716715,0.0,0.0,17.726576,0.0,0.0,0.0,0.0,6.997275,0.0,0.0,0.0,40.916355,0.0,8.104955,7.064738,0.0,0.0,0.0,0.0,2.6279383,9.549859,14.840981,5.022679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.265053,22.334375,0.0,0.7869644,0.0,0.0,0.0,0.0,0.0,0.0,5.8056207,0.0,1.8307471,18.254112,0.0,19.072212,19.642548,0.0,11.458619,25.504654,13.532695,6.6908712,0.0,0.0,0.0,7.2261457,6.1568146,0.0,0.0,0.0,0.0,11.181021,0.0,0.0,0.0
