,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
MB-0362,8.277632,0.0,13.76648,0.0,0.0,0.0,4.0901637,0.0,3.230499,0.0,0.0,3.8285127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4794762,3.2927098,0.0,3.777616,0.0,3.9198182
MB-0346,0.0,0.0,4.1302953,0.0,0.0,0.0,7.87892,0.0,0.0,0.0,0.0,3.334552,0.0,0.0,0.0,2.69732,0.89583683,0.0,4.6847687,3.4331572,0.0,0.763982,1.6642873,0.0,0.9726315
MB-0386,8.263614,0.0,14.661262,4.224769,0.0,0.0,2.1221123,0.0,5.561635,0.0,0.0,0.0,0.0,0.0,0.7130242,0.0,0.0,0.0,0.18517406,0.0,1.9416606,0.0,7.759119,0.0,8.04798
MB-0574,6.09537,0.0,9.977021,0.0,0.0,0.0,5.142368,0.0,0.7575807,0.0,0.0,5.8060865,0.0,0.0,0.0,0.0,0.0,3.4093335,0.0,4.5815625,2.3233268,0.0,2.0081642,0.0,0.0
MB-0503,10.346683,0.0,14.927727,2.0146043,0.0,0.0,2.7152002,0.0,5.956558,0.0,0.0,1.1128699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.898911,0.0,5.61358,0.0,7.3194523
MB-0201,4.6449723,0.0,12.772507,6.633516,0.0,0.0,0.83417034,0.1503098,0.9309862,0.0,0.0,0.0,1.5646211,0.0,0.0,0.0,1.9247509,0.0,2.1252024,0.0,0.0,0.0,8.79446,0.0,5.729056
MB-0218,6.681128,0.0,6.835072,0.0,0.0,0.0,5.8952575,0.0,0.9437271,0.0,0.0,3.005103,0.0,0.0,0.81257695,0.0,0.0,0.0,0.0,0.40894946,0.0,0.0,3.6387267,0.0,0.0
MB-0316,5.3765316,0.0,11.970908,2.902084,0.0,0.0,2.6072962,0.0,0.0,0.0,0.0,0.0,3.445344,0.09441542,0.0,5.151849,7.2498107,0.0,3.7967222,0.8068826,0.0,0.0,7.37784,0.0,7.693978
MB-0891,11.228259,0.0,16.411728,5.2064743,0.0,0.0,2.4403634,0.0,10.853562,0.0,0.0,0.0,0.0,0.0,0.042987335,0.0,0.0,0.0,0.0,0.0,1.9023631,0.0,8.959638,0.0,9.775047
MB-0899,8.733084,0.0,12.682143,3.0784647,0.0,0.0,3.887081,0.0,5.040723,0.0,0.0,0.0,0.0,0.0,0.3037923,0.0,0.0,0.0,0.0,0.0,1.4963582,0.0,6.72912,0.0,5.7520766
