,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
MB-0362,0.0,0.0,5.7608457,0.0,3.7917223,0.0,6.015208,0.0,3.25312,0.0,0.38539204,0.0,2.4697216,5.923593,1.12124,3.330671,16.772514,0.0,5.801005,0.0,10.667483,0.0,19.97139,0.733738,10.08988,1.9289497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9173336,20.21757,0.062953256,0.0,0.0,3.202859,0.4924777,4.1903844,0.0,7.7849326,16.106043,0.0,0.0,0.0,0.0,0.0
MB-0346,0.0,0.0,0.0,7.3486023,0.0,0.0,1.5481447,0.0,12.689038,0.0,0.0,2.1172903,0.0,0.0,0.0,0.0,12.6848955,6.019205,14.227825,0.0,0.8392959,0.0,4.135892,0.0,4.418182,2.7933934,0.0,0.0,0.97686034,0.0,0.0,0.0,0.0,0.0,0.0,11.029256,0.0,4.500883,0.0,0.0,2.8291953,0.0,0.0,0.7948176,13.170698,0.0,0.0,0.0,0.0,0.0
MB-0386,0.0,0.0,5.58612,0.5076865,8.693606,0.0,4.072517,0.0,2.9407754,0.0,0.0,0.0,4.480653,2.104125,0.0,9.588251,11.385258,0.0,2.3548913,0.0,8.367362,0.0,19.529001,2.4658504,11.452972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.381797,16.884306,0.0,0.0,0.0,8.058465,0.0,0.51874626,0.0,14.2699585,20.441992,0.0,0.0,0.0,1.4262245,0.0
MB-0574,0.0,0.0,3.518013,0.0,0.17527287,0.0,5.3297887,0.0,4.031971,0.0,3.0248456,0.0,2.0403032,9.809013,0.4066608,0.0,20.411974,0.0,7.197489,0.0,8.891188,0.0,16.470003,0.9796344,7.5519595,5.647772,0.0,0.0,0.70552564,0.0,0.0,0.0,0.0,0.0,3.7476177,17.818497,0.0,0.0,0.0,0.0,3.2122679,5.382992,0.0,3.4492676,10.698347,0.0,0.0,0.0,0.0,0.0
MB-0503,0.0,0.0,7.170176,0.0,6.7274256,0.0,6.695471,0.0,2.0392156,0.0,0.0069486685,0.0,5.46079,6.9946823,2.239615,7.9755497,13.938443,0.0,3.435064,0.0,10.767152,0.0,21.645313,1.4867345,11.931168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.296269,16.411003,0.9484849,0.0,0.0,6.348593,0.0,0.83358234,0.0,11.978095,18.280283,0.0,0.0,0.0,1.7813376,0.0
MB-0201,0.0,3.4862814,0.4157538,2.1009607,6.2225204,5.524394,0.43831173,0.0,3.9609623,2.0856829,0.0,0.0,0.0,0.0,0.0,6.034191,4.4826612,0.0,1.255609,0.0,3.6934333,0.0,8.61829,3.4773152,13.5511055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0248876,12.921612,0.0,0.0,0.0,6.011587,0.0,1.6559136,0.0,14.362692,23.905602,0.0,0.0,0.0,0.0,0.0
MB-0218,0.0,0.0,3.1769361,0.0,0.0,0.0,0.0,0.0,3.3424504,0.0,4.17911,0.0,0.32478225,2.7439785,0.0,0.0,12.465897,0.0,9.059486,0.0,6.7848477,0.0,12.16376,2.46025,5.6631594,3.4179213,0.0,0.0,2.1745098,0.0,0.0,0.0,0.0,0.0,6.448196,9.836315,0.0,0.33571944,0.0,0.0,2.977586,0.6742156,0.0,5.7922726,12.089095,0.0,0.0,0.0,0.0,0.0
MB-0316,0.0,8.452668,0.0,6.4700427,5.4003716,0.0,1.6541169,0.0,12.263048,6.629321,0.0,1.8197803,0.0,0.0,0.0,10.509742,5.707401,12.293295,4.4771934,0.0,0.0,0.0,5.0220838,2.451834,18.98425,0.0,0.0,2.8914478,0.0,0.0,0.0,0.0,0.0,0.0,0.92105573,13.282678,0.0,10.052486,0.0,0.0,0.0,0.50997514,0.0,7.3205786,34.117188,0.0,0.0,0.0,0.0,0.0
MB-0891,0.0,0.0,9.6059,0.0,8.999475,0.0,1.7388246,0.0,0.0,0.0,1.5579504,0.0,5.39683,0.3803552,0.0,8.98643,9.630139,0.0,5.6167927,0.0,13.1977005,0.0,24.526571,1.4844294,12.856996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.166196,15.506144,6.1554785,0.0,0.0,11.641009,0.0,0.0,0.0,19.992556,20.877985,0.0,0.0,3.7920537,0.0,0.0
MB-0899,0.0,0.0,5.532937,0.0,4.6363444,0.0,0.0,0.0,1.7271276,0.0,2.084173,0.0,2.7531137,0.0,0.0,5.2599144,10.19062,0.0,6.0706286,0.0,10.760459,0.0,18.098427,1.8817611,10.93816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.718453,15.149225,2.5340734,0.0,0.0,6.66152,0.0,0.0,0.0,12.457868,17.85686,0.0,0.0,0.0,0.0,0.0
