,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
TCGA-3C-AAAU-01,-0.3660495,0.8171274,-0.5156698,-0.6684619,0.8189581,-0.4852695,-0.53032416,0.604645,-0.5009774,-0.12858114,-0.587436,-0.5233255,-0.49680156,-0.6239345,-0.34616482,-0.48754305,-0.43522945,-0.46644098,-0.5588296,-0.60324615,1.1217625,0.17675322,-0.5452902,-0.59037393,0.93123186,-0.48578492,-0.5717096,-0.4510402,-0.5071892,-0.30390176,-0.52289057,0.509881,-0.69170237,-0.5055957,0.34460562,-0.53136444,-0.5581772,-0.49279082,0.4325199,-0.59657234,0.37593532,0.26154286,-0.5302219,-0.66864663,-0.47882274,-0.6603519,-0.6309563,-0.5515711,-0.71763307,-0.64802366,-0.5549955,-0.50211203,-0.44708985,-0.5362796,-0.14969662,-0.47036457,-0.5359202,-0.5202341,-0.625005,-0.39372993,-0.4389321,-0.61172485,-0.6724501,-0.54653347,-0.4719479,-0.15771621,-0.6237031,0.7035812,1.1331359,-0.31165695,-0.53206676,-0.64265954,-0.13345242,-0.55472094,0.33896822,-0.006434351,-0.5247392,-0.5964376,-0.5169924,1.2698992,-0.51922107,0.8177291,-0.61223876,-0.46541414,-0.62800485,0.09240627,-0.040280282,2.543303,0.5449754,-0.56911147,-0.46264413,-0.54717046,0.23954135,-0.45726553,-0.5810739,-0.5541135,-0.51698947,-0.60837936,-0.53700894,-0.58133364,0.9365614,-0.58682466,-0.4966218,-0.5805681,-0.16309604,0.08244759,-0.11379206,0.67504174,-0.5553612,-0.49313653,-0.4990934,-0.5046317,-0.5839127,-0.22007543,-0.54498786,1.2447323,0.91365564,-0.6184187,1.8689116,-0.6542283,-0.15700063,-0.5669092,-0.44312823,-0.4639143,-0.45014575,0.07622379,-0.4835162,0.98172075,0.16479278,1.0068347,-0.4943571,-0.49232057,0.25955564,1.8563266,0.9371679,-0.68901,2.7065856,-0.68723404,-0.36328608,1.5759094,-0.1288028,-0.67543125,-0.56084275,-0.63557833,-0.59034467,-0.4715782,-0.49236426,2.47275,-0.59396684,-0.12400609
TCGA-3C-AALI-01,2.2647529,-0.66839916,2.2365131,-0.6684619,2.0736485,0.049198806,4.4308143,0.5616391,-0.5009774,-0.60166055,-0.81261605,-0.78324497,-0.49680156,-0.6239345,-0.42452565,0.9867771,1.4128871,-0.46644098,1.5110304,0.73489374,-0.82878095,-0.6352292,0.89327794,-0.57820785,2.6113334,4.390656,3.0058584,0.22669971,0.2752785,0.82135403,3.0849159,-0.74882245,3.0064473,-0.5055957,2.5158052,3.4210503,1.4978726,0.29681593,-0.7514864,-0.59657234,4.5039577,-0.62125295,4.856312,-0.66864663,-0.47882274,0.78470063,-0.6309563,2.924884,3.9069226,1.2628102,-0.5549955,-0.50211203,3.2778625,-0.18993205,2.9603665,-0.47036457,1.5263271,1.1004966,1.622755,-0.39372993,-0.4389321,4.166954,4.6119037,2.4455714,-0.4719479,4.8085785,1.5663742,-0.594134,-0.5688174,1.5033991,1.5560439,3.819641,-0.65384245,2.858013,-0.78812104,-0.46284705,1.860661,1.391857,-0.5169924,-0.6971731,-0.51922107,-0.62468386,-0.06453049,-0.46541414,1.9621413,-0.58264315,-0.8230611,2.5451744,0.66434944,-0.4772129,-0.46264413,-0.54717046,4.1404862,-0.45726553,-0.5810739,0.52728117,0.34296602,2.6525598,-0.53700894,-0.58133364,2.5046384,1.3126147,2.5228965,2.7568548,5.0325813,-0.6305786,1.5224525,-0.5921429,-0.5553612,2.9967136,-0.4990934,-0.5046317,3.9422348,-0.6743977,-0.24539569,0.33530256,0.56361485,-0.6184187,1.9258248,-0.6542283,0.019999266,-0.5669092,-0.44312823,1.7850767,1.3956745,-0.73200464,0.20621815,-0.029496133,-0.54746217,-0.4854505,-0.4067021,-0.44727573,-0.52482206,-0.63817173,3.2372537,-0.68901,-0.6181918,-0.68723404,-0.36328608,-0.04654783,-0.46278885,-0.67543125,3.758756,2.542311,-0.59034467,0.8986527,0.48030528,-0.6825058,0.5124519,3.733896
TCGA-3C-AALJ-01,15.833716,-0.66839916,-0.52855515,-0.6684619,5.405707,-0.4852695,-0.53032416,-0.5285325,-0.5009774,4.214305,-0.81261605,-0.78324497,-0.49680156,-0.6239345,11.645828,7.8926477,11.464807,-0.46644098,-0.18157887,-0.60324615,-0.82878095,7.0024314,-0.5452902,-0.59037393,-0.45408896,8.187349,-0.5717096,0.9553608,-0.5071892,11.213155,0.93208647,-0.74882245,0.6342882,-0.5055957,-0.5260668,-0.53136444,-0.5581772,-0.49279082,-0.7514864,5.3958607,-0.23297471,-0.62125295,-0.5302219,-0.66864663,-0.4332773,-0.6603519,4.1120224,1.515091,-0.71763307,-0.64802366,-0.5549955,-0.50211203,0.07660782,3.695068,6.0846467,-0.47036457,-0.5359202,-0.5202341,0.6161572,10.8087225,-0.4389321,-0.61172485,3.3062222,4.769913,6.1395473,3.3494194,-0.6237031,-0.594134,5.888032,7.5127974,4.387559,-0.64265954,-0.65384245,-0.55472094,1.1115284,-0.46284705,-0.5247392,-0.5964376,-0.5169924,-0.6971731,2.1474373,-0.62468386,-0.61223876,4.5401464,-0.62800485,-0.58264315,-0.8230611,-0.5925202,-0.586254,-0.56911147,9.219459,-0.54717046,-0.26407996,12.741753,-0.5810739,3.8307705,-0.11258981,4.904861,-0.53700894,-0.58133364,2.0381665,-0.58682466,5.174046,-0.5805681,-0.64148766,-0.6305786,11.011852,-0.5921429,7.3577785,2.357041,-0.25441664,-0.5046317,0.6183228,-0.6743977,0.79460484,6.604985,-0.7041335,-0.6184187,-0.53989637,-0.6542283,-0.4546763,-0.5669092,-0.44312823,8.683479,7.985343,0.94722664,5.193049,-0.6705534,7.239926,-0.26877636,-0.092867404,-0.49232057,8.129765,-0.63817173,-0.42350674,-0.68901,-0.6181918,-0.68723404,12.477018,-0.61414856,-0.46278885,4.5216265,4.201377,-0.28597745,7.0109825,7.7713275,11.206776,-0.6825058,-0.59396684,3.8027318
TCGA-3C-AALK-01,-0.3660495,2.4810925,-0.52855515,0.21456558,-0.5085406,-0.4852695,-0.53032416,-0.5285325,0.99732614,0.68071145,1.0364058,2.2371268,-0.49680156,0.018114388,0.8480227,-0.3687604,-0.43522945,0.21905541,-0.5588296,-0.60324615,3.4387705,4.067578,-0.5452902,-0.59037393,-0.45408896,-0.52345073,-0.5717096,-0.52603185,-0.5071892,0.55306745,-0.52289057,4.0990686,-0.69170237,-0.5055957,-0.5260668,-0.53136444,-0.5581772,-0.49279082,2.7318559,0.8720792,-0.53332883,1.8369606,-0.5302219,0.9631364,-0.47882274,-0.6603519,1.7790078,-0.5515711,-0.71763307,-0.64802366,-0.5549955,-0.50211203,-0.62441707,-0.5362796,-0.55292326,-0.47036457,-0.5359202,-0.5202341,-0.625005,-0.39372993,-0.4389321,-0.61172485,-0.6724501,-0.54653347,2.4735975,-0.53886706,-0.6237031,2.684351,1.8723004,0.39273414,-0.53206676,-0.64265954,1.5417743,-0.55472094,2.9387784,-0.46284705,-0.5247392,-0.5964376,-0.5169924,1.2953602,-0.51922107,2.1227286,-0.61223876,0.4126716,-0.62800485,-0.27572754,2.8602014,-0.5925202,-0.586254,-0.56911147,0.017784417,-0.54717046,-0.5327434,0.47550938,-0.5810739,1.0042275,-0.51698947,-0.60837936,-0.53700894,-0.58133364,-0.53778464,-0.58682466,0.2645777,-0.5805681,-0.64148766,0.9650138,0.66869926,0.3581915,0.56655616,-0.49313653,-0.4990934,-0.5046317,-0.5839127,2.6050386,-0.54498786,3.3873284,-0.7041335,-0.5068481,3.0147457,-0.6542283,-0.4546763,-0.5669092,-0.44312823,-0.4639143,-0.45014575,2.4800196,-0.4835162,-0.6705534,1.6985092,3.299354,-0.4943571,3.0484297,2.8965855,3.7759128,-0.62671304,-0.3074269,3.4121003,-0.48949885,1.0914316,-0.50926334,0.40940073,0.49341643,-0.56084275,-0.63557833,-0.013416886,-0.4715782,0.4514762,3.7341197,-0.59396684,-0.55036145
TCGA-4H-AAAK-01,-0.34528854,3.4901912,-0.52855515,1.3399092,-0.5085406,-0.4852695,-0.53032416,-0.3755832,1.4682574,0.6250885,1.9022048,2.5098333,-0.49680156,0.9958303,0.20870015,-0.48754305,-0.43522945,-0.3074702,-0.5588296,-0.60324615,3.4486063,3.4101448,-0.5452902,-0.59037393,-0.45408896,-0.52345073,-0.36363763,-0.52603185,-0.5071892,0.09497556,-0.52289057,2.5809379,-0.69170237,-0.5055957,-0.5260668,-0.53136444,-0.5581772,-0.49279082,3.5679965,0.69922477,-0.53332883,2.9379554,-0.5302219,1.6055641,-0.47882274,-0.6603519,1.5899094,-0.5515711,-0.71763307,-0.64802366,-0.5549955,-0.50211203,-0.62441707,-0.5362796,-0.55292326,-0.47036457,-0.5359202,-0.5202341,-0.625005,-0.39372993,-0.4389321,-0.61172485,-0.6724501,-0.54653347,1.2380917,-0.53886706,-0.6237031,3.6276913,1.4495025,-0.45333073,-0.53206676,-0.64265954,1.43942,-0.55472094,3.1563168,-0.46284705,-0.5247392,-0.5964376,-0.5169924,1.7659385,-0.51922107,2.8978798,-0.61223876,0.35698226,-0.62800485,-0.31669188,2.1157775,-0.5925202,-0.586254,-0.56911147,-0.46264413,-0.54717046,-0.5327434,-0.45726553,-0.5810739,1.7624758,-0.51698947,-0.60837936,-0.53700894,-0.58133364,-0.53778464,-0.58682466,0.92157334,-0.5805681,-0.64148766,0.05321467,-0.42254898,1.5634851,1.7618034,-0.49313653,-0.4990934,-0.5046317,-0.5839127,3.364763,-0.54498786,2.4130406,-0.7041335,-0.6184187,1.8691388,0.68739665,-0.4546763,-0.5669092,-0.44312823,-0.4639143,-0.45014575,3.3387642,-0.4835162,-0.6705534,0.8819589,1.4500234,-0.4943571,1.6297305,1.6407669,3.2767224,-0.62671304,-0.5746151,1.7799232,0.7186483,0.16194719,-0.13117284,-0.2749001,0.21944553,-0.56084275,-0.63557833,0.15127558,-0.4715782,-0.49236426,2.5821633,-0.59396684,-0.55036145
TCGA-5L-AAT0-01,0.5592053,3.0071867,-0.52855515,-0.31428874,-0.5085406,-0.4852695,-0.53032416,-0.5285325,2.5661755,0.8467929,1.6848445,2.8410149,-0.49680156,-0.46653143,1.4103804,-0.44713163,-0.43522945,-0.2868502,-0.5588296,-0.60324615,3.6764452,4.0459304,-0.5452902,-0.59037393,-0.45408896,-0.52345073,0.0011068583,-0.52603185,-0.5071892,0.67536163,-0.52289057,4.230728,-0.69170237,-0.5055957,-0.5260668,-0.53136444,-0.5581772,-0.49279082,2.9023128,1.2735214,-0.53332883,1.5195167,-0.5302219,1.9240408,-0.47882274,-0.6603519,1.74712,-0.5515711,-0.71763307,-0.64802366,-0.5549955,-0.50211203,-0.62441707,-0.5362796,-0.55292326,-0.47036457,-0.5359202,-0.5202341,-0.625005,-0.39372993,-0.4389321,-0.61172485,-0.6724501,-0.54653347,2.666699,-0.53886706,-0.6237031,3.4221454,3.0428958,0.492622,-0.53206676,-0.64265954,1.7081997,-0.55472094,3.8495462,-0.46284705,-0.5247392,-0.5964376,-0.5169924,0.91447353,-0.51922107,3.0287807,-0.61223876,1.6033655,-0.62800485,-0.31493008,2.9226274,-0.5925202,-0.586254,-0.56911147,-0.1341803,-0.54717046,-0.5327434,1.312757,-0.5810739,2.7195897,-0.51698947,-0.60837936,-0.53700894,-0.58133364,-0.53778464,-0.58682466,0.9233642,-0.5805681,-0.64148766,0.49500734,0.8585651,-0.5921429,0.99467486,-0.49313653,-0.4990934,-0.5046317,-0.5839127,2.9946692,-0.54498786,3.5091467,-0.7041335,-0.6184187,3.0988936,-0.36211014,-0.4546763,-0.5669092,-0.44312823,-0.4639143,-0.45014575,2.858653,-0.4835162,-0.6705534,2.1677654,2.6987765,-0.4943571,2.6932845,3.3090441,3.589695,-0.62671304,-0.048053622,3.6257863,0.58628476,1.0851984,-0.33161378,0.40237573,0.62797976,-0.56084275,-0.63557833,1.3075485,-0.4715782,0.72474146,3.8764384,-0.59396684,-0.55036145
TCGA-5T-A9QA-01,5.7174525,-0.66839916,1.751888,-0.6684619,6.0504313,-0.13588747,-0.53032416,0.68183935,-0.5009774,1.0046208,-0.81261605,-0.78324497,-0.49680156,-0.6239345,1.580228,2.6898823,3.349638,-0.46644098,1.6649475,-0.60324615,-0.82878095,1.3531237,-0.5452902,-0.59037393,5.0166073,7.7608337,-0.5717096,3.162815,-0.5071892,1.6240786,4.0050516,-0.74882245,5.4549127,-0.5055957,2.745826,3.5498457,-0.5581772,-0.49279082,-0.7514864,-0.19032648,5.3424783,-0.62125295,1.6558654,-0.66864663,-0.47882274,-0.6603519,1.7398647,-0.5515711,0.63722366,-0.64802366,-0.5549955,-0.50211203,5.1238346,-0.5362796,4.909289,-0.47036457,-0.46799424,-0.5202341,-0.05040568,2.2447462,-0.4389321,-0.46564114,4.2201986,2.2178411,-0.4719479,6.256895,1.4508508,-0.594134,1.0384952,5.7869177,-0.53206676,-0.64265954,-0.65384245,-0.55472094,-0.78812104,2.0017254,-0.5247392,-0.5964376,-0.5169924,-0.6971731,-0.51922107,-0.62468386,-0.61223876,-0.46541414,1.5715117,-0.58264315,-0.8230611,3.0812838,-0.1094611,-0.56911147,-0.19996938,-0.54717046,7.0862474,3.0789669,-0.5810739,0.55531836,-0.51698947,4.1199584,-0.53700894,-0.58133364,4.365288,-0.58682466,-0.4966218,-0.5805681,6.7401075,-0.6305786,4.8886595,-0.5921429,-0.5553612,2.268681,-0.4990934,-0.5046317,-0.5839127,-0.6743977,-0.54498786,4.743298,-0.7041335,-0.6184187,4.4830894,-0.6542283,0.72646546,-0.5669092,-0.44312823,3.2161846,3.4050736,-0.73200464,0.27983943,-0.6705534,-0.54746217,0.4371016,-0.4943571,-0.49232057,2.7059536,2.0301502,8.742843,-0.68901,2.8469837,-0.68723404,0.592985,-0.61414856,0.13812068,-0.67543125,1.5316238,-0.63557833,-0.59034467,-0.4715782,1.7080928,-0.6825058,-0.59396684,7.218226
TCGA-A1-A0SB-01,0.343106,-0.66839916,-0.52855515,-0.6684619,-0.5085406,2.5475998,-0.53032416,-0.4402098,-0.5009774,-0.60166055,-0.81261605,-0.78324497,3.7421944,-0.6239345,0.74666667,0.5893944,2.9099123,3.9855998,1.0943348,3.0487413,-0.82878095,-0.6352292,1.5503337,5.5991106,-0.45408896,-0.52345073,-0.5717096,-0.52603185,3.357905,-0.30390176,3.018063,-0.74882245,-0.3925232,1.3441573,-0.13591293,-0.53136444,1.7762942,1.3617111,-0.7514864,-0.59657234,-0.53332883,-0.62125295,-0.5302219,-0.66864663,2.4439127,1.7519573,-0.6309563,-0.5515711,0.4695019,-0.53045183,6.0659966,4.221205,3.2757266,3.8114524,-0.55292326,1.635359,-0.5359202,2.0415516,0.94724524,1.3601004,7.2104716,4.047343,3.238284,5.5172157,-0.4719479,-0.53886706,2.3578386,-0.594134,-0.5688174,0.8571472,2.3401897,-0.47185355,1.4156752,-0.55472094,-0.78812104,8.706164,1.0153666,0.5122709,6.596203,-0.6971731,6.5355864,-0.62468386,-0.61223876,0.23625252,3.1001856,1.1351267,-0.8230611,-0.5925202,-0.586254,0.2691521,2.9152668,6.7818356,-0.42329544,-0.45726553,3.4479184,-0.5541135,0.36548853,-0.60837936,3.1726758,1.463525,-0.53778464,5.5731373,-0.4966218,-0.06407863,-0.64148766,-0.6305786,2.7415283,4.7807684,-0.5553612,0.98786366,1.3998044,-0.5046317,-0.5839127,-0.6743977,5.5323586,-0.46085528,-0.7041335,1.9889781,-0.53989637,-0.6542283,2.9717276,6.0649176,9.452219,0.18003604,-0.45014575,-0.73200464,3.816524,-0.6705534,-0.54746217,-0.4854505,5.311911,-0.49232057,-0.52482206,-0.63817173,3.6666653,4.9061766,-0.6181918,-0.68723404,-0.36328608,-0.61414856,-0.45203426,-0.6656335,-0.56084275,-0.63557833,2.1330533,-0.4715782,1.6007024,-0.6825058,4.8799086,1.2835572
TCGA-A1-A0SD-01,1.5246435,1.7612991,-0.52855515,2.5720882,-0.5085406,-0.4852695,-0.53032416,0.999426,4.362062,3.2175422,2.1244023,4.030639,-0.49680156,2.4133787,1.7134243,-0.48754305,-0.43522945,-0.46644098,-0.5588296,-0.60324615,4.414125,1.6240926,-0.5452902,-0.59037393,-0.45408896,-0.52345073,-0.30891716,-0.52603185,-0.5071892,-0.30390176,-0.52289057,2.93502,-0.69170237,-0.5055957,-0.5260668,-0.53136444,-0.5581772,-0.49279082,3.7374024,2.912722,-0.53332883,0.67072207,-0.5302219,3.4889977,0.6487601,-0.6603519,1.7286814,-0.5515711,-0.71763307,-0.64802366,0.22310656,-0.50211203,-0.62441707,-0.5362796,-0.55292326,-0.47036457,-0.5359202,-0.5202341,-0.625005,-0.39372993,-0.4389321,-0.61172485,-0.6724501,-0.54653347,2.2864661,-0.53886706,-0.6237031,2.340777,4.2667046,-0.45333073,-0.53206676,-0.64265954,1.1193316,-0.55472094,3.63122,-0.46284705,-0.5247392,-0.5964376,-0.5169924,3.9131174,-0.51922107,2.8241608,-0.61223876,2.0126233,-0.62800485,1.0703863,2.6164355,-0.5925202,-0.586254,-0.56911147,-0.26945412,-0.54717046,-0.5327434,1.5790905,-0.5810739,4.547611,-0.51698947,-0.60837936,-0.53700894,-0.58133364,-0.53778464,-0.58682466,-0.4966218,-0.5805681,-0.64148766,2.0672848,-0.42254898,-0.5921429,2.5606797,-0.49313653,-0.4990934,-0.5046317,-0.5839127,1.0264453,-0.54498786,0.060102135,-0.7041335,-0.6184187,1.2861323,4.8580656,-0.4546763,-0.5669092,-0.44312823,-0.4639143,-0.45014575,3.402474,-0.4835162,-0.6705534,3.501157,0.011577636,-0.4943571,-0.043349773,3.0384843,0.8194614,-0.62671304,0.24132979,0.9806431,3.89228,0.6806163,-0.61414856,-0.46278885,-0.5966308,-0.56084275,-0.63557833,1.9798858,-0.4715782,-0.22751895,3.532984,-0.59396684,-0.55036145
TCGA-A1-A0SE-01,0.63923025,3.047918,-0.52855515,2.161635,-0.5085406,-0.4852695,-0.53032416,0.97164834,2.9706535,1.6792293,2.0266268,3.2708292,-0.49680156,1.9332252,0.56035936,-0.48754305,-0.43522945,-0.46644098,-0.5588296,-0.60324615,4.134633,2.344167,-0.5452902,-0.59037393,-0.45408896,-0.52345073,-0.5717096,-0.52603185,-0.5071892,-0.30390176,-0.52289057,2.9879823,-0.69170237,-0.5055957,-0.5260668,-0.53136444,-0.5581772,-0.49279082,3.82309,1.5552659,-0.53332883,2.6583333,-0.5302219,2.8012195,0.3822814,-0.6603519,1.3976375,-0.5515711,-0.71763307,-0.64802366,-0.33297348,-0.50211203,-0.62441707,-0.5362796,-0.55292326,-0.47036457,-0.5359202,-0.5202341,-0.625005,-0.39372993,-0.4389321,-0.61172485,-0.6724501,-0.54653347,1.2329835,-0.53886706,-0.6237031,2.858213,3.048697,-0.45333073,-0.53206676,-0.64265954,1.6361389,-0.55472094,3.496157,-0.46284705,-0.5247392,-0.5964376,-0.5169924,3.509171,-0.51922107,3.2737875,-0.61223876,0.7021793,-0.62800485,0.4592873,2.2724528,-0.5925202,-0.586254,-0.56911147,-0.46264413,-0.54717046,-0.5327434,-0.08828065,-0.5810739,2.9025264,-0.51698947,-0.60837936,-0.53700894,-0.58133364,-0.53778464,-0.58682466,0.062983334,-0.5805681,-0.64148766,0.7449451,-0.42254898,0.08465314,3.0994847,-0.49313653,-0.4990934,-0.5046317,-0.5839127,1.8488023,-0.54498786,0.84164,-0.7041335,-0.6184187,1.3959378,3.0508614,-0.4546763,-0.5669092,-0.44312823,-0.4639143,-0.45014575,3.5132442,-0.4835162,-0.6705534,2.2816315,0.35151607,-0.4943571,0.44513884,2.0388143,2.1156342,-0.62671304,0.20054239,0.9176627,2.2465768,0.30243605,-0.61414856,-0.46278885,-0.5442251,-0.56084275,-0.63557833,0.613734,-0.4715782,-0.49236426,3.3662984,-0.59396684,-0.55036145
