,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TCGA-3C-AAAU-01,-0.5923597,-0.5151035,-0.20240185,-0.6017725,-0.6663911,-0.50954396,-0.77568305,2.3983016,0.34164655,-0.83024603,-0.5778888,1.3554147,-0.61801887,-0.5671055,-0.64247394,-0.71605325,-0.7613768,-0.29920906,0.7024542,0.48204482,-0.602931,0.4890986,-0.5982693,0.081161976,-0.2668599
TCGA-3C-AALI-01,0.44267172,3.331319,1.7936777,3.1202433,2.239465,-0.50954396,2.7078948,-0.717415,-0.80818355,1.8035743,-0.5778888,-0.6836473,2.5257702,0.41968036,1.4630108,3.3031409,0.77286774,-0.43442425,-0.75283563,-0.86230004,0.902779,-0.8428531,-0.5982693,-0.92987394,-0.56663615
TCGA-3C-AALJ-01,-0.5923597,-0.5151035,1.9348949,-0.16545531,-0.6663911,-0.50954396,-0.77568305,-0.717415,0.6598071,1.4153137,-0.5778888,4.769832,1.2196956,-0.5671055,-0.64247394,-0.71605325,-0.7613768,-0.43442425,0.20218366,3.323461,-0.602931,-0.8428531,0.5212931,-0.4806716,-0.56663615
TCGA-3C-AALK-01,-0.5923597,-0.5151035,-0.07002157,-0.6017725,-0.6663911,-0.50954396,-0.77568305,-0.38836038,0.34189236,-0.83024603,0.46504492,3.4883056,-0.61801887,-0.5671055,-0.64247394,-0.71605325,-0.7613768,-0.026269972,3.1910424,2.5914612,-0.602931,1.1297598,1.3596225,2.745025,-0.56663615
TCGA-4H-AAAK-01,-0.5923597,-0.5151035,1.1940107,-0.6017725,-0.6663911,0.15461582,-0.77568305,-0.16186857,-0.058689296,-0.83024603,0.76107424,2.6339307,-0.61801887,-0.5671055,-0.64247394,-0.71605325,-0.7613768,-0.13162589,2.3327017,2.1895971,-0.602931,0.6996872,0.86203223,2.5404987,-0.56663615
TCGA-5L-AAT0-01,-0.5923597,-0.5151035,0.39778197,-0.6017725,-0.6663911,-0.50954396,-0.77568305,-0.5000957,0.10609496,-0.83024603,0.64529306,3.8603163,-0.61801887,-0.5671055,-0.64247394,-0.71605325,-0.7613768,-0.20647666,3.1109867,2.4272594,-0.602931,1.1257324,1.2823308,2.9600794,-0.56663615
TCGA-5T-A9QA-01,1.0220175,3.144408,6.466843,4.0306635,1.483216,0.28300577,4.021409,-0.57093585,-0.80818355,4.0932355,-0.5778888,-0.6836473,6.7595406,-0.5671055,0.5257977,2.9002764,1.1846871,-0.43442425,-0.75283563,-0.86230004,-0.602931,-0.8428531,-0.5982693,-0.92987394,-0.2742017
TCGA-A1-A0SB-01,4.366667,5.158272,-0.58796155,1.5864213,-0.6663911,3.2762833,-0.77568305,-0.717415,-0.80818355,1.5101912,6.261946,-0.6836473,3.164291,2.9358182,1.8638408,2.2802322,3.3895297,6.771179,-0.75283563,-0.13562512,2.1947792,0.14539444,5.292061,1.8875339,-0.56663615
TCGA-A1-A0SD-01,-0.5923597,-0.5151035,0.7891575,-0.20097443,-0.6663911,-0.50954396,-0.77568305,-0.026023448,0.2792337,-0.83024603,-0.4555946,2.4417152,-0.61801887,-0.5671055,-0.64247394,-0.71605325,-0.7613768,0.10300687,2.4744782,2.218873,-0.602931,0.6879435,0.36045605,3.0089006,-0.56663615
TCGA-A1-A0SE-01,-0.5923597,-0.5151035,1.4274203,-0.33238372,-0.6663911,-0.50954396,-0.77568305,-0.6139804,-0.019520879,-0.83024603,0.05376309,2.3340821,-0.61801887,-0.5671055,-0.64247394,-0.71605325,-0.7613768,-0.33940184,1.7096876,1.8530995,-0.602931,0.72956234,0.27418017,3.1110625,-0.56663615
