,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-3C-AAAU-01,0.04625827,-0.28716394,-0.50109667,-0.766852,-0.4307368,-0.54081684,-0.36540648,0.31336227,0.24828517,-0.6373291,-0.5226119,0.48013502,-0.25099704,-0.53480923,0.5131836,0.33428603,-0.56100243,-0.53863335,-0.5209988,-0.54953843,1.8024323,0.31040204,1.1472288,-0.44775757,-0.45708054,-0.41792333,-0.23280501,0.10517907,0.5307693,0.8850957,-0.5379894,-0.11307898,-0.62909114,-0.5019469,-0.49635828,1.9662038,-0.49923384,-0.7073668,0.58208346,-0.50121826,-0.5101471,0.976515,-0.5869089,-0.4316876,0.07856971,-0.5101228,0.42910415,-0.5218647,0.6894433,-0.4855901
TCGA-3C-AALI-01,1.2754834,3.9513528,-0.19414371,3.3601365,-0.24227127,5.3788166,-0.36540648,0.53623235,-0.80320215,-0.0065454245,0.8317072,-0.641754,-0.7034998,-0.43798858,-0.6785245,3.4106512,1.9224157,-0.53863335,-0.5209988,-0.54953843,-0.39960742,-0.6052943,-0.28968278,4.296927,-0.55480665,-0.41792333,-0.5575005,-0.5223826,-0.7660108,-0.7635741,0.8698938,-0.6105234,1.4167777,3.8917823,0.8523389,-0.60694826,-0.49923384,1.6178392,-0.63530564,-0.50121826,1.522516,-0.5875638,2.135785,2.152397,-0.6411148,0.43785363,-0.5248044,0.93848675,0.02935648,1.9204315
TCGA-3C-AALJ-01,0.8751933,-0.44093683,-0.50109667,-0.766852,-0.4307368,-0.54081684,2.2539425,1.5906937,-0.80320215,-0.6373291,4.245812,4.8034797,-0.7034998,0.8510567,6.207178,-0.49858898,-0.56100243,-0.53863335,1.7759666,6.0055866,1.3187424,-0.6052943,5.975879,3.5323434,1.5127785,-0.41792333,4.796519,-0.5223826,-0.7660108,-0.7635741,-0.5379894,3.8885467,-0.62909114,4.3021383,-0.49635828,-0.60694826,-0.49923384,-0.7073668,-0.1530109,0.32408047,-0.5101471,0.19273353,-0.5869089,2.7698123,6.0154576,-0.5101228,-0.5248044,-0.3015685,-0.4152311,-0.4855901
TCGA-3C-AALK-01,-0.45546025,-0.44093683,-0.3314079,-0.766852,1.0008718,-0.54081684,-0.36540648,1.4119858,3.9910402,-0.6373291,-0.5226119,4.6842904,2.4239712,-0.53480923,3.7511573,-0.49858898,-0.56100243,-0.53863335,-0.5209988,1.3622997,1.3663924,-0.6052943,-0.5723691,-0.5362559,1.7227747,-0.41792333,-0.5575005,-0.5223826,0.009393811,0.2481085,-0.5379894,-0.55225706,-0.62909114,-0.5019469,-0.49635828,3.9070835,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.1742404,-0.5869089,-0.4316876,3.0575728,-0.5101228,0.16784984,-0.5218647,2.238918,-0.4855901
TCGA-4H-AAAK-01,-0.45546025,-0.44093683,0.38559902,-0.766852,1.2425939,-0.54081684,-0.36540648,0.13750592,3.113196,-0.6373291,-0.5226119,4.2863526,2.6283126,-0.53480923,3.0521863,-0.49858898,-0.56100243,-0.53863335,-0.5209988,-0.015829623,0.45736194,-0.10573003,-0.44060612,-0.32364762,0.72053677,-0.41792333,-0.5575005,-0.36109278,1.2396479,-0.171458,-0.5379894,0.08579987,-0.62909114,-0.5019469,-0.49635828,2.674842,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.4701636,-0.5869089,-0.4316876,2.8868692,-0.5101228,-0.5248044,-0.5218647,1.6388338,-0.4855901
TCGA-5L-AAT0-01,-0.45546025,-0.44093683,-0.4707798,-0.766852,0.84752405,-0.54081684,-0.36540648,1.4195969,3.576881,-0.6373291,-0.5226119,4.7439423,2.4402406,-0.53480923,4.5578113,-0.49858898,-0.56100243,-0.53863335,-0.5209988,1.1871958,0.9824306,-0.24282807,-0.17136651,-0.5362559,1.4117241,-0.41792333,-0.30577382,-0.5223826,-0.15838307,-0.05329472,-0.5379894,-0.58383465,-0.62909114,-0.5019469,-0.49635828,3.5580382,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.3503406,-0.5869089,-0.4316876,3.6197238,-0.5101228,-0.3965907,-0.5218647,2.010719,-0.4855901
TCGA-5T-A9QA-01,6.4652843,3.3258379,-0.50109667,1.8736452,-0.4307368,5.436296,0.23990998,-0.47461203,-0.80320215,-0.26497117,4.958441,0.53798395,-0.7034998,-0.53480923,-0.6785245,5.6923127,1.3173921,-0.53863335,-0.5209988,3.7321913,-0.39960742,-0.6052943,4.985057,5.0203075,-0.55480665,-0.41792333,-0.5575005,-0.5223826,-0.7660108,-0.7635741,-0.5379894,-0.6105234,2.0395188,4.5692434,3.269711,-0.60694826,-0.3065452,0.7582537,-0.63530564,-0.50121826,-0.5101471,-0.5875638,-0.5869089,0.07377952,-0.6411148,4.374908,-0.5248044,1.3934128,-0.5610892,4.745001
TCGA-A1-A0SB-01,-0.45546025,-0.44093683,1.039604,0.14144826,5.8167644,-0.54081684,0.43495306,-0.47461203,-0.80320215,4.6044545,3.8843486,0.2222144,-0.7034998,1.5156547,-0.6785245,-0.49858898,-0.56100243,5.353411,-0.5209988,-0.54953843,-0.39960742,0.48231906,-0.5723691,-0.5362559,4.451776,7.9428363,-0.5575005,3.422132,-0.7660108,-0.7635741,3.2848725,-0.6105234,-0.62909114,-0.5019469,-0.49635828,-0.60694826,2.51093,2.557952,2.3243933,-0.50121826,0.78837824,-0.5875638,-0.5869089,-0.3150062,-0.6411148,-0.19767982,3.1666284,3.1933932,5.5906315,-0.4855901
TCGA-A1-A0SD-01,-0.45546025,-0.44093683,-0.16372657,-0.766852,-0.4307368,-0.54081684,-0.36540648,-0.37172654,2.0122752,-0.6373291,0.63777596,5.888576,2.0311298,-0.53480923,4.4081564,-0.49858898,-0.56100243,-0.53863335,-0.5209988,1.1205337,-0.39960742,-0.6052943,2.9585195,-0.5362559,-0.55480665,-0.41792333,3.1754255,-0.5223826,-0.2821939,1.8574705,-0.5379894,-0.6105234,-0.62909114,-0.5019469,-0.49635828,1.7850085,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.5721831,-0.5869089,-0.4316876,3.7363677,-0.5101228,-0.5248044,-0.5218647,-0.5610892,-0.4855901
TCGA-A1-A0SE-01,-0.45546025,-0.44093683,0.4098785,-0.766852,0.43485758,-0.54081684,-0.36540648,-0.47461203,2.2451134,-0.6373291,-0.5226119,5.4134793,2.5674233,-0.53480923,3.420177,-0.49858898,-0.56100243,-0.53863335,-0.5209988,-0.36791122,-0.39960742,-0.6052943,1.5824418,-0.5362559,-0.55480665,-0.41792333,1.1712999,-0.19275805,0.7815668,0.6194682,-0.5379894,-0.6105234,-0.62909114,-0.5019469,-0.49635828,2.284009,-0.49923384,-0.7073668,-0.63530564,-0.50121826,-0.5101471,2.050264,-0.5869089,-0.4316876,3.4621654,-0.5101228,-0.5248044,-0.5218647,-0.5610892,-0.4855901
