,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
TCGA-3C-AAAU-01,0.0,0.0,51.352325,36.67342,6.4617662,34.122894,0.0,57.654793,21.175703,0.0,0.0,73.84747,0.0,0.0,0.0,1.5528711,82.57868,113.57349,29.894526,84.64704,19.763836,21.806261,0.0,30.65964,22.811302,18.51842,0.0,0.0,0.0,0.0,0.0,1.0191698,29.820356,4.089968,61.011948,0.0,0.0,0.0,23.032227,6.103064,28.805916,0.0,28.844835,50.40566,0.0,0.0,0.0,49.075348,5.8870664,0.0,14.375546,87.677864,50.552834,67.92642,0.0,0.0,21.714163,0.90722245,0.0,18.766933,0.0,59.312572,0.0,31.365711,0.0,26.695791,0.0,0.0,0.0,0.0,0.0,60.961422,0.0,29.877201,0.0,1.1449106,6.902247,11.189942,11.726338,26.297165,13.622958,0.0,104.9368,102.83937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.348421,0.0,0.0,0.0,90.42098,0.0,0.0,3.041516,0.0,14.663041,0.0,0.0,39.919666,82.56341,0.0,25.646643,22.09743,79.56092,10.062368,61.99178,39.00894,10.24807,0.0,0.0,28.509178,0.0,62.73236,0.0,10.705465,3.536212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.771666,0.0,10.848266,0.0,0.0,31.9516,29.63164,0.0,0.0,0.0,53.664185,0.0,0.0,14.957746,56.53506,0.0,1.4392943
TCGA-3C-AALI-01,31.524158,0.0,25.135809,15.931536,25.10885,0.0,0.0,36.202175,20.905096,0.0,0.0,51.258034,0.0,0.0,0.0,8.126525,87.977264,108.39138,16.149178,95.81959,3.8800359,20.518793,0.0,31.064138,58.543762,68.8342,8.469366,0.0,0.0,0.0,2.9857972,0.0,12.206796,17.351551,62.95833,0.0,0.0,35.97806,17.993582,40.761314,27.551067,0.0,20.904856,75.19138,0.0,0.0,0.0,0.0,0.0,0.0,49.680283,104.1397,52.92912,45.978374,0.0,0.0,37.256832,0.0,0.0,52.74381,0.0,30.569016,0.0,63.30768,0.0,19.353882,10.951715,0.0,0.0,0.0,12.977078,10.0550785,0.0,12.0419655,0.0,0.0,0.57845134,7.7298098,0.0,52.637638,24.492971,0.0,84.87899,72.53786,0.0,0.0,40.347343,35.90675,0.78706115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6668,0.0,0.0,13.397623,2.2305958,8.283617,0.0,0.0,72.6144,80.600624,0.0,0.0,0.0,58.18679,34.65063,59.964787,9.747154,12.455186,0.0,0.0,5.0841665,6.243847,28.177588,0.0,0.0,18.009354,0.0,0.0,0.0,20.089283,0.0,0.0,0.0,0.0,0.0,0.0,19.457838,0.0,3.8843174,0.0,0.0,55.65338,29.459387,0.0,0.0,0.0,46.236347,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-3C-AALJ-01,10.1135025,0.0,12.747931,0.0,17.568274,0.0,0.0,57.197453,6.362994,0.0,0.0,26.805754,0.0,0.0,0.0,0.0,102.7581,124.85154,10.254573,115.67277,19.503532,13.809682,0.0,45.790966,67.835945,69.9044,0.0,0.0,0.0,0.0,24.191193,0.0,16.053514,0.0,31.587631,0.0,0.0,34.482628,43.148422,37.017326,14.836875,0.0,30.236076,77.42642,0.0,6.648386,0.0,0.0,0.0,0.0,43.46199,98.121315,36.674164,50.648216,0.0,0.0,49.723114,0.0,0.0,52.896763,0.0,47.695946,0.0,41.39339,21.930122,9.1258135,0.0,0.0,0.0,0.0,30.258907,0.0,0.0,0.0,0.0,0.0,5.4643044,0.0,0.0,23.644936,16.336569,0.0,88.02718,64.20964,0.0,0.0,22.035975,51.124645,34.110092,0.0,0.0,16.132864,0.0,0.0,0.28037912,0.0,0.0,75.65649,0.0,0.0,3.3444486,20.293982,6.51552,0.0,0.0,37.427074,39.490856,0.0,0.21019837,0.0,33.34578,58.03633,58.04998,9.58967,3.4183135,0.0,7.7110553,0.6861921,11.952906,25.462776,0.0,0.0,0.0,0.0,0.0,0.0,18.290747,0.0,0.0,0.0,0.0,0.0,0.0,1.4203681,0.0,11.544713,0.0,0.0,30.507696,16.806097,0.0,0.0,0.0,52.731834,0.0,0.0,16.412004,0.0,0.0,0.0
TCGA-3C-AALK-01,15.231375,0.0,36.94272,32.41668,15.029426,6.4662995,0.0,19.463522,2.2226427,0.0,0.0,40.759663,0.0,11.344429,0.0,13.68928,67.3741,70.05007,13.712999,67.309044,0.0,1.6548386,0.0,16.940722,27.763954,36.778934,29.510181,0.0,0.0,0.0,0.0,0.0,6.872159,15.330668,37.001198,0.0,0.0,27.029161,6.8699365,13.95301,28.771107,0.0,21.474195,18.481737,0.0,0.0,0.0,8.373679,0.0,0.0,11.510872,60.5618,32.487595,18.609055,0.0,0.0,23.431044,0.85922307,0.0,14.634669,0.0,14.970888,0.0,27.261759,0.0,27.027052,0.074070655,0.0,0.0,0.0,19.28714,3.077,0.0,23.976854,0.0,22.421305,0.0,27.186108,4.785647,30.811062,13.794365,0.0,29.31168,63.755608,0.0,0.0,6.440117,0.0,9.79868,0.0,0.0,23.582718,0.0,0.0,0.0,0.0,0.0,49.905033,0.0,0.0,0.0,8.40642,0.0,0.0,0.0,40.448925,58.233162,0.0,23.856976,0.0,50.90388,22.719149,56.051464,10.332735,0.52631706,0.0,0.0,7.1422105,0.0,49.481247,0.0,5.931999,14.761011,0.0,0.0,0.0,18.055958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.26911,14.041423,0.0,0.0,0.0,50.53576,0.0,4.0580897,0.0,0.0,0.0,0.0
TCGA-4H-AAAK-01,12.374541,0.0,40.423824,39.836357,4.2984853,1.4912506,0.0,33.757137,0.0,0.0,0.0,41.175175,0.0,13.542229,0.13104701,7.753159,69.91127,73.7756,9.285559,60.35751,0.0,12.420636,0.0,20.893803,31.66116,25.892271,21.69894,0.0,0.0,0.0,0.0,1.4315362,16.668802,12.744917,39.491848,0.0,0.0,23.320616,15.759487,20.614979,25.162258,0.0,35.46253,15.988738,0.0,12.904308,0.0,23.332537,4.580893,0.0,0.0,59.12684,37.120964,26.510302,0.0,0.0,21.613876,10.617705,0.0,11.354754,0.0,24.367617,0.0,26.325132,3.0795107,22.292835,0.0,0.0,0.0,0.0,38.13806,0.0,0.0,20.056318,0.0,18.541399,0.0,26.105034,3.674431,27.17701,15.372209,0.0,36.654305,65.25821,0.0,0.0,0.0,0.0,14.992073,0.0,0.0,30.071554,0.08923325,0.0,0.0,0.0,0.0,37.220608,0.0,0.0,0.0,6.8717823,0.0,5.08386,0.0,30.539545,52.295624,0.0,19.721899,0.0,50.91136,21.190535,41.34628,9.738334,8.460113,0.0,0.0,20.183828,0.0,60.735653,0.0,17.658482,10.936022,0.0,0.0,0.0,7.3981686,0.0,0.0,0.0,0.0,0.0,8.277555,0.0,0.0,0.0,0.0,0.0,10.165359,10.551251,0.0,0.0,0.0,49.365807,0.0,6.695269,0.0,4.540703,0.0,15.2673235
TCGA-5L-AAT0-01,13.485079,0.0,25.134054,33.494736,21.28785,2.384622,0.0,20.140074,1.4125165,0.0,0.0,31.187815,0.0,3.6503117,0.0,19.238724,76.14845,65.05794,7.73659,73.484436,5.6276374,0.2168833,0.0,22.064707,31.159817,27.649149,25.177374,0.0,0.0,0.0,0.0,0.0,13.329795,4.9354696,29.805077,0.0,0.0,29.860832,12.704683,10.532887,24.329304,0.0,37.244717,20.200903,0.0,0.0,0.0,7.8955073,0.0,0.0,15.26104,60.32418,25.972422,12.02385,0.0,0.0,27.123764,1.1316024,0.0,13.940528,0.0,21.390568,0.0,27.39803,7.5507703,26.58253,0.0,0.0,0.0,0.0,21.144814,0.0,0.0,18.028858,0.0,18.700367,0.0,15.26285,7.227058,24.12817,10.163143,0.0,31.500969,70.67296,0.0,0.0,0.0,4.652849,21.785536,0.0,0.0,36.392323,0.21556458,0.0,0.0,0.0,0.0,50.327015,0.0,0.0,0.0,18.978832,0.0,3.502482,0.0,24.600082,49.792484,0.0,32.263386,0.0,43.02803,23.430935,44.662624,12.386308,0.0,0.0,0.0,4.175495,0.0,50.062958,0.0,0.88458985,0.5796649,0.0,0.0,0.0,19.506353,0.0,0.0,0.0,0.0,0.9393934,0.0,0.0,0.0,0.0,0.0,0.0,18.549517,0.0,0.0,0.0,0.0,59.233772,0.0,4.129551,2.3816898,3.3735101,0.0,7.130932
TCGA-5T-A9QA-01,0.0,0.0,60.005478,0.0,0.0,0.0,2.1299791,95.38722,0.0,0.0,0.4370505,83.15567,0.0,0.0,12.578435,3.509103,140.78398,190.65677,32.841175,148.67838,41.274494,40.43439,0.0,81.893814,53.729366,58.35446,0.0,0.0,0.0,0.0,3.8573506,0.0,46.35155,21.752718,46.822227,0.0,0.0,0.0,64.54726,24.402351,25.977991,0.0,23.933466,71.165596,0.0,13.219156,0.0,36.93137,0.0,0.0,27.72595,112.63851,48.746178,68.41005,0.0,0.0,42.99568,0.0,0.0,69.75921,0.0,95.3298,0.0,41.600704,0.0,39.79732,14.571333,0.0,5.494273,0.0,11.77546,36.22308,0.0,0.0,0.0,0.0,38.630306,0.8105203,19.859594,45.502327,13.43091,0.0,113.68524,120.64878,0.0,0.0,0.19603482,16.413445,26.969213,0.0,0.0,35.186653,0.6532439,0.0,0.0,0.0,0.0,130.74098,0.0,0.0,0.0,0.0,16.44026,0.0,0.0,47.643284,45.410385,0.0,26.433657,0.0,79.854294,64.39177,77.27997,23.187634,34.085484,0.0,0.0,2.4545865,0.0,67.20104,0.0,0.0,15.1987915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.248796,0.0,44.154972,0.0,0.0,20.791859,37.65022,0.0,0.0,0.0,66.72765,0.0,0.0,9.888479,27.731743,0.0,0.0
TCGA-A1-A0SB-01,0.0,0.0,70.93887,0.0,0.0,8.230102,0.0,56.353138,0.0,0.0,2.116186,33.248993,0.0,0.0,64.78952,0.0,54.26667,96.99464,0.0,40.771027,20.370897,39.23454,0.0,30.390793,32.00336,29.235716,0.0,0.0,0.0,29.26908,0.0,0.0,21.936686,14.62919,10.399092,0.0,0.0,0.0,70.63715,32.425644,5.9242344,0.0,0.0,0.0,0.0,32.144505,0.0,65.58003,0.0,0.0,0.0,34.573853,5.8882055,25.43771,0.0,1.4895741,33.728817,0.0,0.0,5.580992,0.0,42.525013,0.0,20.703295,0.0,0.0,0.7241258,0.0,5.784126,24.225985,15.492774,41.430313,0.0,24.313602,0.0,0.0,37.732277,0.0,34.23141,0.0,44.527462,0.0,65.50892,32.24543,0.0,0.0,1.2771958,0.0,19.006495,8.534641,0.0,8.32777,0.0,5.045457,0.0,12.809287,0.0,27.28587,0.0,0.0,0.0,0.0,32.00481,0.0,0.0,28.340534,5.475581,0.0,3.6539395,0.0,52.74572,31.128935,16.598183,0.0,11.417851,0.0,0.0,5.455905,0.0,57.67061,0.0,6.0053883,25.702223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.073092,0.0,0.0,50.46935,0.0,0.0,1.5996116,21.458368,0.0,0.0,0.0,2.124353,0.0,1.770315,0.0,3.3858545,0.0,0.0
TCGA-A1-A0SD-01,0.0,0.0,30.370037,19.441181,0.0,5.872219,14.882506,24.315762,0.0,0.0,0.0,45.91779,0.0,10.190538,10.784207,14.053912,44.32006,58.964687,32.13779,37.58113,10.8284645,14.776994,0.0,12.179741,17.147018,5.0742235,29.160017,0.0,0.0,0.0,0.0,0.0,25.216806,26.052938,11.448422,0.0,0.0,0.0,0.0,23.641233,49.272182,10.122331,19.8997,27.583612,2.029906,1.2411507,0.0,32.707848,3.4443126,0.0,0.0,52.116966,58.43953,26.540705,0.0,0.0,0.0,12.217918,0.0,28.273083,0.0,28.121796,0.0,6.004513,0.0,35.056572,0.971518,0.0,2.2288816,0.0,10.401683,22.413275,0.0,14.081158,0.0,11.405602,19.211348,50.39879,0.0,35.913967,0.0,0.0,6.083865,51.179047,0.0,0.0,1.3431524,0.0,0.0,1.8634062,0.0,3.9263873,0.0,18.288004,0.0,0.0,0.0,35.4675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.32396,43.07657,0.0,8.53369,24.896921,57.97873,12.523035,26.111732,20.490633,22.946701,0.0,0.0,26.00693,5.567391,27.544899,14.263551,22.29807,27.513903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.807816,10.678779,0.0,10.236109,0.0,0.0,14.315169,28.060652,0.0,0.0,0.0,30.227074,0.0,5.3736887,0.0,10.526682,0.0,0.0
TCGA-A1-A0SE-01,0.0,0.0,54.686485,24.539953,0.0,14.130118,4.9851856,26.761538,0.0,0.0,0.0,50.566547,0.0,11.215752,15.747695,18.775398,51.309048,71.79066,25.921768,43.195953,8.772428,12.714431,0.0,11.049749,18.21198,16.745901,35.45911,0.0,0.0,0.0,0.0,12.160538,20.451824,23.405962,16.912441,0.0,0.0,0.0,1.1054586,17.590279,48.541695,0.36278802,12.184822,9.780983,0.0,3.105511,0.0,40.242966,1.9462445,0.0,0.0,48.718407,41.553513,22.577522,0.0,0.0,2.6020672,15.165408,0.0,19.277056,0.0,30.782621,0.0,7.9402037,0.0,33.59709,0.0,0.0,2.1568034,0.0,16.208282,27.066992,0.0,32.630905,0.0,11.183663,13.326023,42.699306,10.094502,27.712975,6.952386,0.0,15.2623625,57.67034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.727047,0.0,21.84969,0.0,0.0,0.0,40.02001,0.0,0.0,0.0,0.0,2.16877,0.0,0.0,24.778755,44.244343,0.0,19.209684,3.8232281,57.377018,17.134094,38.64935,15.199245,20.994368,0.0,0.0,22.436684,0.0,46.239872,8.020558,22.583206,28.698793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4118,0.0,0.0,11.241183,0.0,0.0,9.362442,21.918402,0.0,0.0,0.0,30.460592,0.0,10.040563,0.0,7.45944,0.0,0.0
