,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-3C-AAAU-01,-0.64452845,-0.6418208,9.382872,9.484809,2.1076345,0.73265195,26.448746,-0.5838861,2.6940708,-0.63140726,-0.6167229,-0.6268365,-0.59475434,9.229516,10.749824,-0.5641753,19.616575,12.071831,21.53474,2.8369977,-0.63570625,8.067299,31.610128,-0.5787852,-0.45279777,6.225511,10.0975485,23.741146,-0.5484471,35.539402,-0.72061735,-0.48883814,40.464245,-0.6344595,-0.6042092,-0.52245396,-0.5923545,-0.56104046,-0.60073316,-0.49092978,-0.65795094,7.435083,-0.09996784,-0.5374882,-0.6080945,4.657701,2.6052713,-0.56010306,3.4814856,-0.5471312
TCGA-3C-AALI-01,-0.64452845,-0.6418208,12.56678,-0.6532113,-0.6157402,13.258234,35.71368,-0.5838861,2.9677048,1.9891374,-0.6167229,-0.6268365,-0.59475434,-0.5235241,17.384453,2.8036165,24.011309,1.8633944,27.383663,-0.5941203,8.618103,-0.673306,21.513597,-0.5787852,-0.45279777,-0.6554647,10.064365,25.97953,-0.5484471,19.778322,-0.72061735,2.0452337,42.96496,-0.6344595,-0.6042092,-0.52245396,-0.5923545,-0.56104046,3.7313938,9.556281,-0.65795094,-0.53275824,-0.6765645,-0.5374882,-0.6080945,9.213499,-0.53107536,-0.56010306,25.87118,-0.5471312
TCGA-3C-AALJ-01,-0.64452845,-0.6418208,18.35396,-0.6532113,-0.6157402,10.089379,37.472107,-0.5838861,2.7054322,-0.63140726,-0.6167229,0.8720525,-0.59475434,-0.5235241,23.55982,1.6135993,23.696259,-0.56823885,30.54199,-0.5941203,1.6436203,-0.673306,25.868904,-0.5787852,-0.45279777,4.1571507,2.919877,21.533873,-0.5484471,25.672293,-0.72061735,-0.48883814,42.929092,-0.6344595,-0.6042092,-0.52245396,-0.5923545,-0.56104046,0.82912517,8.401655,-0.65795094,-0.53275824,-0.6765645,-0.5374882,-0.6080945,6.4377866,-0.53107536,-0.56010306,31.796984,-0.5471312
TCGA-3C-AALK-01,-0.64452845,-0.6418208,16.485502,3.354194,-0.6157402,10.479732,20.845999,-0.5838861,4.9811397,4.5183854,-0.6167229,7.625013,-0.59475434,-0.5235241,12.412109,-0.5641753,21.234781,7.0356865,25.92916,-0.5941203,0.6108162,-0.673306,19.965065,-0.5787852,-0.45279777,1.4656281,-0.55670685,15.189261,-0.5484471,19.130543,-0.72061735,-0.48883814,30.1564,-0.6344595,-0.6042092,-0.52245396,13.112287,-0.56104046,-0.60073316,1.906811,-0.65795094,-0.53275824,-0.6765645,-0.5374882,-0.6080945,0.9149814,-0.53107536,-0.56010306,17.758593,0.6419289
TCGA-4H-AAAK-01,-0.64452845,-0.6418208,12.577359,4.2051907,-0.6157402,7.788909,18.440756,-0.5838861,5.8855834,5.0794477,-0.6167229,5.875305,-0.59475434,-0.5235241,13.114206,-0.5641753,17.069586,6.753997,20.669744,-0.5941203,-0.63570625,-0.673306,16.99187,-0.5787852,-0.45279777,0.7654858,-0.55670685,10.232841,-0.5484471,17.887012,-0.72061735,-0.48883814,26.41974,-0.6344595,-0.6042092,-0.52245396,8.787661,-0.56104046,0.031374812,4.085197,-0.65795094,2.7398455,-0.6765645,-0.5374882,-0.6080945,0.6899082,-0.53107536,-0.56010306,13.382893,0.025399745
TCGA-5L-AAT0-01,-0.64452845,-0.6418208,20.904287,0.20494998,-0.6157402,5.6888084,18.976797,-0.5838861,2.7570255,1.2906696,-0.6167229,12.019346,-0.59475434,-0.5235241,18.65439,-0.5641753,20.749763,1.8573765,25.71182,-0.5941203,-0.63570625,-0.673306,19.369318,-0.5787852,-0.45279777,6.8067665,-0.55670685,16.260769,-0.5484471,19.061195,-0.72061735,-0.48883814,27.384518,-0.6344595,-0.6042092,-0.52245396,14.155425,-0.56104046,-0.60073316,-0.49092978,-0.65795094,-0.53275824,-0.6765645,-0.5374882,-0.6080945,1.0437269,-0.53107536,-0.56010306,18.516542,0.93146
TCGA-5T-A9QA-01,-0.64452845,-0.6418208,11.980601,1.0866072,-0.6157402,9.295288,52.49246,4.156548,10.173081,5.389961,-0.6167229,-0.6268365,-0.59475434,-0.5235241,20.96649,-0.5641753,42.787422,20.320576,38.11556,4.493267,0.45615608,-0.673306,39.952347,-0.5787852,2.0001864,-0.6554647,9.468931,8.081149,-0.5484471,32.815014,-0.72061735,-0.48883814,58.670956,-0.6344595,-0.6042092,-0.52245396,-0.5923545,-0.56104046,6.224339,22.30704,-0.65795094,-0.53275824,-0.6765645,-0.5374882,-0.6080945,-0.46553725,2.23587,-0.56010306,31.506266,-0.5471312
TCGA-A1-A0SB-01,-0.64452845,-0.6418208,-0.52722543,-0.6532113,-0.6157402,9.440809,22.852283,1.443259,7.020734,14.942131,-0.59931034,-0.6268365,-0.59475434,-0.5235241,9.067435,-0.5641753,26.33668,20.022049,5.9977956,11.781828,-0.63570625,-0.673306,18.416956,-0.5787852,9.511802,-0.6554647,10.784663,-0.6235268,-0.5484471,7.872222,-0.72061735,0.80759674,17.639101,-0.6344595,-0.6042092,3.6890137,-0.5923545,-0.56104046,11.154427,24.88565,-0.65795094,6.4736032,6.4776263,-0.5374882,-0.6080945,3.1429613,13.405491,-0.56010306,4.7339926,2.4898577
TCGA-A1-A0SD-01,-0.64452845,-0.6418208,3.2750585,8.305836,5.959938,3.948777,6.9955735,1.401284,9.356621,8.075933,-0.6167229,0.40373605,-0.59475434,-0.093467295,-0.50419134,-0.5641753,16.778193,15.219971,4.5818768,8.2528515,0.0021498203,5.456328,13.115474,-0.5787852,-0.45279777,1.340414,6.444337,22.8533,-0.5484471,13.651959,-0.72061735,-0.48883814,18.108698,-0.6344595,-0.6042092,-0.52245396,8.561823,-0.56104046,3.8150382,3.179287,-0.65795094,14.265301,-0.6765645,-0.5374882,-0.6080945,-0.46553725,-0.53107536,-0.56010306,-0.5375459,-0.5471312
TCGA-A1-A0SE-01,-0.64452845,-0.6418208,4.405642,9.84922,0.022387922,8.660707,10.665626,2.025896,9.833131,12.591248,-0.6167229,1.1034029,-0.59475434,-0.5235241,-0.50419134,-0.5641753,19.538498,15.770906,11.913067,10.182599,-0.63570625,1.8128588,18.412926,-0.5787852,-0.45279777,-0.6554647,5.506971,11.880144,-0.5484471,16.003569,-0.72061735,-0.48883814,23.857943,-0.6344595,-0.6042092,0.448498,9.406384,-0.56104046,3.0507274,8.660218,-0.65795094,12.621088,-0.17110515,-0.5374882,-0.6080945,-0.46553725,-0.53107536,-0.56010306,0.59047794,1.1904868
