,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TCGA-3C-AAAU-01,-0.6811026,-0.71249205,9.322866,-0.60924554,28.975504,-0.6523531,2.9248703,26.327932,7.9436626,-0.79211897,20.321436,30.356247,13.51802,-0.6340868,-0.65516937,14.29685,-0.6279819,-0.7011989,-0.7151694,1.9464555,35.201332,-0.55984384,32.17048,-0.5933696,-0.6126934
TCGA-3C-AALI-01,-0.6811026,-0.71249205,-0.54240113,-0.60924554,13.241189,-0.6523531,-0.5992833,3.7566702,3.831692,-0.79211897,-0.4629865,35.45,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,-0.576307,12.114691,-0.55984384,33.804115,-0.5933696,8.100595
TCGA-3C-AALJ-01,-0.6811026,-0.71249205,-0.54240113,3.3405354,12.109492,-0.6523531,-0.5992833,1.4944683,0.77080667,-0.79211897,2.066411,36.003586,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,4.0960674,5.9456215,-0.55984384,37.339382,-0.5933696,-0.6126934
TCGA-3C-AALK-01,-0.6811026,-0.71249205,11.524698,-0.60924554,14.188273,-0.6523531,-0.5992833,-0.42621005,10.905912,-0.79211897,-0.4629865,28.650663,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,6.922802,10.904196,-0.55984384,23.165474,-0.5933696,6.9582973
TCGA-4H-AAAK-01,-0.6811026,-0.71249205,11.260279,-0.60924554,14.071487,-0.6523531,-0.5992833,3.1132948,7.8615303,-0.79211897,-0.4629865,22.332209,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,3.983669,11.005184,-0.55984384,19.52799,-0.5933696,1.610026
TCGA-5L-AAT0-01,-0.6811026,-0.71249205,14.327083,-0.60924554,12.579307,-0.6523531,-0.5992833,0.18485084,12.486005,-0.79211897,-0.4629865,27.416649,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,0.35413897,11.536212,8.328816,-0.55984384,21.887096,0.4563589,1.3012128
TCGA-5T-A9QA-01,-0.6811026,-0.71249205,-0.54240113,-0.60924554,36.506428,-0.6523531,-0.5992833,10.270495,-0.5345323,-0.79211897,18.16387,52.113144,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,3.9582121,19.862583,-0.55984384,65.39301,-0.5933696,-0.6126934
TCGA-A1-A0SB-01,-0.6811026,-0.71249205,-0.54240113,-0.60924554,31.306616,-0.6523531,-0.5992833,9.678933,-0.5345323,-0.79211897,12.519737,9.907439,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,-0.576307,9.970861,-0.55984384,30.544653,-0.5933696,-0.6126934
TCGA-A1-A0SD-01,-0.6811026,-0.71249205,14.556973,-0.60924554,20.515411,-0.6523531,5.5888586,10.204805,4.5495996,-0.79211897,1.2179555,16.236322,1.5219511,3.7476518,-0.65516937,10.773383,-0.6279819,-0.7011989,-0.7151694,-0.576307,19.542742,11.615286,11.788906,-0.5933696,3.5723138
TCGA-A1-A0SE-01,-0.6811026,-0.71249205,19.291431,-0.60924554,22.212296,-0.6523531,1.8203037,7.4970813,2.778672,-0.79211897,-0.4629865,19.234264,3.2916694,-0.6340868,-0.65516937,9.221564,-0.6279819,-0.7011989,-0.7151694,-0.576307,17.522278,11.115707,15.7134905,-0.5933696,3.3551903
TCGA-A1-A0SF-01,-0.6811026,-0.71249205,16.508324,-0.60924554,19.891401,-0.6523531,-0.5992833,1.6690861,8.829163,-0.79211897,-0.4629865,27.69317,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,3.9300687,15.350123,1.9178851,23.634176,-0.5933696,7.474052
TCGA-A1-A0SG-01,-0.6811026,-0.71249205,17.970673,-0.60924554,19.388908,-0.6523531,-0.55355704,7.1672745,8.277168,-0.79211897,-0.4629865,25.858078,2.6087708,-0.6340868,-0.65516937,2.483578,-0.6279819,-0.7011989,-0.7151694,2.4970903,18.32437,4.159096,21.65031,-0.5933696,1.4617757
TCGA-A1-A0SH-01,-0.6811026,-0.71249205,13.505755,-0.60924554,15.714918,-0.6523531,-0.5992833,6.488637,-0.5345323,-0.79211897,-0.4629865,12.404337,-0.5487219,-0.5562234,-0.65516937,-0.49203852,-0.6279819,-0.7011989,-0.7151694,-0.576307,7.756918,11.002479,15.289419,-0.5933696,10.556371
TCGA-A1-A0SI-01,-0.6811026,-0.71249205,14.164505,-0.60924554,16.109013,-0.6523531,-0.5992833,2.4020293,-0.099803716,-0.79211897,-0.4629865,17.157698,-0.5487219,-0.6340868,-0.65516937,-0.49203852,-0.6279819,2.176444,-0.7151694,-0.576307,6.7811036,2.1407192,18.176487,-0.5933696,19.603926
TCGA-A1-A0SJ-01,-0.6811026,-0.71249205,9.274304,-0.60924554,25.717052,-0.6523531,-0.11611521,13.72295,4.1793747,-0.79211897,4.0220547,20.109913,-0.5487219,-0.6340868,-0.65516937,10.349115,-0.6279819,-0.7011989,-0.7151694,-0.576307,24.712034,3.298901,22.139093,-0.5933696,10.571946
