,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
TCGA-3C-AAAU-01,65.91702,-0.4607069,10.107251,-0.61306036,-0.52978075,-0.7300392,16.258183,-0.59586316,-0.5569714,60.80256,13.680809,-0.58333266,-0.6878737,40.429962,-0.5934839,4.7583666,-0.6352589,-0.5235095,12.761703,40.65632,-0.57185227,-0.5202316,37.687,19.19945,28.081972,-0.6667443,-0.58266807,-0.51886296,32.18326,54.01521,-0.50615406,-0.53937316,5.3374147,-0.5747334,-0.61771524,23.487623,-0.42574346,-0.6273056,-0.4984209,60.97712,35.382835,54.470905,86.40918,-0.665839,-0.60208577,28.481289,-0.66380703,-0.6327082,-0.5594584,21.020927,-0.4630452,4.1895423,9.455803,-0.63376534,-0.52323264,-0.6805439,69.50435,-0.5779294,-0.6437328,29.534292,-0.42007318,-0.76732385,-0.67092353,-0.73972124,2.536069,-0.68984133,-0.6581455,8.172688,-0.5661992,-0.6314129,-0.4881958,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,18.659458,26.950352,18.361372,3.2881656,36.58195,-0.639099,22.88388,-0.5538932,18.42911,54.89702,-0.5704077,-0.52977437,-0.5262982,84.280495,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,22.667381,-0.50126,-0.7616323,15.077074,0.92704743,6.2428255,49.99665,-0.7093843,-0.6702717,27.606333,36.71325,26.750229,-0.77353156,-0.5984457,-0.73906326,98.81609,17.556057,-0.65493697,-0.5309704,-0.5236571,4.7205424,-0.44720638,-0.6033113,22.93145,-0.5636235,51.20798,36.999123,-0.7275166,73.688225,-0.73901975,-0.6544408,18.50635,53.469128,-0.5666647,-0.63259333,64.02225,-0.7632791,-0.72508377,-0.66989124,21.558865,-0.46834266,-0.71914726,33.873196,-0.6539053,-0.53080714,-0.598967,-0.5856482,25.079369,46.8131,-0.63427556,-0.4933241,33.81631,22.32331,-0.48056886,-0.4513567
TCGA-3C-AALI-01,56.91275,-0.4607069,-0.49564913,-0.61306036,-0.52978075,-0.7300392,7.0612803,3.4591072,-0.5569714,59.540237,25.040583,-0.58333266,-0.6878737,14.379052,-0.5934839,10.898188,-0.6352589,3.456944,25.063383,54.790062,5.7477326,-0.5202316,37.224903,5.5769763,38.067543,-0.6667443,7.3174944,-0.51886296,38.3878,50.12248,9.455639,-0.53937316,-0.48242372,2.8758307,-0.61771524,8.147893,-0.42574346,-0.6273056,-0.4984209,35.28464,70.78872,56.080738,93.981674,-0.665839,-0.60208577,3.9353356,-0.66380703,-0.6327082,-0.5594584,34.814808,-0.4630452,-0.57268345,-0.6420691,-0.63376534,-0.52323264,-0.6805439,44.40524,-0.5779294,-0.6437328,16.388992,-0.42007318,-0.76732385,-0.67092353,-0.73972124,11.747869,-0.68984133,-0.6581455,3.3464608,-0.5661992,-0.6314129,-0.4881958,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,9.57324,16.808426,8.488267,47.11092,-0.639099,33.087627,18.46543,6.3808208,24.411867,36.554806,16.309689,-0.5262982,75.15789,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,44.210644,-0.50126,-0.7616323,-0.43630597,-0.5604784,20.529583,62.772743,-0.7093843,-0.05750054,42.414124,21.852524,37.421505,-0.77353156,-0.5984457,-0.73906326,75.03929,25.471231,-0.65493697,0.28367293,-0.5236571,27.637403,7.0572004,-0.6033113,-0.79949754,-0.5636235,46.758823,27.875431,-0.7275166,62.381332,-0.73901975,-0.6544408,-0.55375373,52.116196,-0.5666647,-0.63259333,45.767662,-0.7632791,-0.72508377,-0.66989124,-0.58509284,-0.46834266,-0.71914726,35.054817,-0.6539053,2.8845782,-0.598967,-0.5856482,11.025903,46.262257,-0.63427556,-0.4933241,54.604874,7.3533106,-0.48056886,21.033777
TCGA-3C-AALJ-01,58.354538,-0.4607069,-0.49564913,-0.61306036,0.95944834,-0.7300392,15.770695,9.519134,-0.5569714,49.955845,21.307484,-0.58333266,-0.6878737,17.228876,-0.5934839,13.123581,-0.6352589,2.6239858,17.987785,61.15728,7.2975097,-0.5202316,32.855335,3.5308442,35.537052,-0.6667443,9.292792,-0.51886296,52.0042,39.329468,12.159804,-0.53937316,-0.48242372,-0.5747334,-0.61771524,16.374268,-0.42574346,-0.6273056,-0.4984209,40.24628,62.734947,46.544983,101.55173,-0.665839,-0.60208577,2.2898576,-0.66380703,-0.6327082,-0.5594584,33.699364,-0.4630452,-0.57268345,-0.6420691,-0.63376534,-0.52323264,-0.6805439,42.120102,-0.5779294,-0.6437328,29.943565,-0.42007318,-0.76732385,-0.67092353,-0.73972124,-0.5827361,-0.68984133,-0.6581455,14.357555,-0.5661992,-0.6314129,-0.4881958,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,6.660341,9.730118,19.562874,45.47699,-0.639099,14.420084,-0.5538932,24.404896,26.812334,14.489697,5.620177,-0.5262982,78.11828,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,33.25952,-0.50126,-0.7616323,1.4022739,-0.5604784,5.6947126,41.815952,-0.7093843,-0.6702717,28.719719,20.044243,35.746574,-0.77353156,-0.5984457,-0.73906326,90.60749,4.9286637,-0.65493697,-0.5309704,-0.5236571,19.041946,4.308368,-0.6033113,4.336726,-0.5636235,37.24367,22.640741,-0.7275166,66.93892,-0.73901975,-0.6544408,10.053477,51.27866,-0.5666647,-0.63259333,54.552784,-0.7632791,-0.72508377,-0.66989124,-0.58509284,6.9709783,-0.71914726,24.246338,-0.6539053,-0.53080714,-0.598967,-0.5856482,18.05646,48.530956,-0.63427556,-0.4933241,41.066936,20.33205,-0.48056886,10.286489
TCGA-3C-AALK-01,36.39651,-0.4607069,-0.49564913,-0.61306036,11.4999695,-0.7300392,21.104557,9.904975,-0.5569714,43.246807,12.131973,-0.58333266,-0.6878737,17.226974,3.794157,16.812826,-0.6352589,5.2437873,20.920902,36.67366,11.071303,-0.5202316,15.614925,-0.54246724,32.681885,-0.6667443,1.5142305,-0.51886296,50.879425,38.309788,6.258038,-0.53937316,10.419245,11.494712,3.0240245,33.914394,-0.42574346,-0.6273056,-0.4984209,36.33684,54.47067,27.738565,78.15922,-0.665839,-0.60208577,-0.49097404,-0.66380703,-0.6327082,-0.5594584,10.374584,-0.4630452,8.877331,-0.6420691,-0.63376534,1.6310296,-0.6805439,31.276031,-0.5779294,-0.6437328,33.47859,-0.42007318,-0.76732385,-0.67092353,-0.73972124,15.855937,-0.68984133,-0.6581455,12.634779,-0.5661992,-0.6314129,4.5159965,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,19.495983,-0.22508428,14.610047,42.533092,-0.639099,42.05058,-0.5538932,21.320919,15.085382,3.403657,5.095546,-0.5262982,59.935387,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,11.987905,-0.50126,-0.7616323,16.168777,-0.5604784,12.437138,31.45638,-0.7093843,-0.6702717,12.736688,4.640912,22.023825,-0.77353156,-0.5984457,-0.73906326,58.517445,16.152122,-0.65493697,-0.5309704,-0.5236571,13.338468,2.313074,-0.6033113,-0.79949754,-0.5636235,29.393621,25.579521,-0.7275166,51.11916,-0.73901975,-0.6544408,10.748488,50.02108,-0.5666647,-0.63259333,53.26,-0.7632791,-0.72508377,-0.66989124,-0.58509284,11.50926,-0.71914726,14.287281,-0.6539053,-0.53080714,-0.598967,-0.5856482,29.580576,48.48768,-0.63427556,-0.4933241,30.976694,-0.5459671,-0.48056886,7.761693
TCGA-4H-AAAK-01,43.008396,-0.4607069,-0.49564913,-0.61306036,9.213979,-0.7300392,23.969702,11.568126,-0.5569714,43.445988,11.551466,-0.58333266,-0.6878737,23.128181,1.5433171,17.883,-0.6352589,3.364895,19.496077,32.48194,8.465647,-0.5202316,13.173485,-0.54246724,33.12644,-0.6667443,-0.58266807,-0.51886296,51.81949,38.273525,4.0299335,-0.53937316,11.85274,4.3283033,1.777403,35.988438,-0.42574346,-0.6273056,-0.4984209,41.497658,51.12931,26.940342,80.602875,-0.665839,-0.60208577,5.9380927,-0.66380703,-0.6327082,-0.5594584,8.92723,-0.4630452,13.199415,-0.6420691,-0.63376534,-0.035282463,-0.6805439,38.904915,-0.5779294,-0.6437328,37.298935,-0.42007318,-0.76732385,-0.67092353,-0.73972124,13.092938,-0.68984133,-0.6581455,15.9144,-0.5661992,-0.6314129,2.2938962,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,23.903694,0.071717024,12.534069,42.171158,-0.639099,37.904156,-0.5538932,24.727144,21.782398,-0.5704077,1.2887182,-0.5262982,64.325325,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,10.145946,-0.50126,-0.7616323,22.228045,-0.5604784,10.090573,27.89942,-0.7093843,-0.1772224,11.124116,4.3097367,20.135523,-0.77353156,-0.5984457,-0.73906326,63.591812,10.959659,-0.65493697,-0.5309704,-0.5236571,11.33558,-0.16858074,-0.6033113,-0.7925747,-0.5636235,30.593948,24.897455,-0.7275166,54.433872,-0.73901975,-0.6544408,16.422846,51.8429,-0.5666647,-0.63259333,54.41581,-0.7632791,-0.72508377,-0.66989124,2.9493535,10.067455,-0.71914726,16.557472,-0.6539053,-0.53080714,-0.598967,-0.5856482,30.546818,52.36685,-0.63427556,-0.4933241,25.902601,-0.18159604,-0.48056886,3.4744337
TCGA-5L-AAT0-01,32.009956,-0.4607069,-0.49564913,-0.61306036,15.319167,-0.7300392,23.772003,6.991025,-0.5569714,36.4448,9.23519,-0.58333266,-0.6878737,19.118206,5.3516374,14.444918,-0.6352589,2.957182,14.720432,35.16936,8.616257,-0.5202316,13.215308,-0.54246724,29.391197,-0.6667443,1.0083392,-0.51886296,53.72639,30.294018,5.4428177,-0.53937316,14.242325,6.9167576,6.1265078,38.835392,-0.42574346,-0.6273056,-0.4984209,37.40617,45.23933,23.423632,71.613594,-0.665839,-0.60208577,-0.49097404,-0.66380703,-0.6327082,-0.5594584,6.299922,-0.4630452,9.783453,-0.6420691,-0.63376534,1.5080228,-0.6805439,26.971132,-0.5779294,-0.6437328,38.03361,-0.42007318,-0.76732385,-0.67092353,-0.73972124,8.324506,-0.68984133,-0.6581455,15.97504,-0.5661992,-0.6314129,1.4472942,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,16.316336,-0.60847247,16.424541,36.72947,-0.639099,34.53154,-0.5538932,25.071367,15.743572,-0.5704077,0.2741949,-0.5262982,55.645634,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,4.8028984,-0.50126,-0.7616323,22.646381,-0.5604784,5.5009522,21.579308,-0.7093843,-0.6702717,5.165628,2.6911473,16.21626,-0.77353156,-0.5984457,-0.73906326,58.570923,7.625579,-0.65493697,-0.5309704,-0.5236571,6.7925644,-0.44720638,1.7436457,-0.79949754,-0.5636235,22.70037,23.473894,-0.7275166,49.923115,-0.73901975,-0.6544408,20.68054,45.23662,-0.5666647,-0.63259333,53.30202,-0.7632791,-0.72508377,-0.66989124,0.87692815,16.261585,-0.71914726,11.861864,-0.6539053,-0.53080714,-0.598967,-0.5856482,32.65362,46.36249,-0.63427556,-0.4933241,22.402056,5.8273506,-0.48056886,1.1399801
TCGA-5T-A9QA-01,81.829865,-0.4607069,-0.49564913,-0.61306036,43.050293,-0.7300392,45.920086,38.00406,-0.5569714,38.64244,44.440918,-0.58333266,-0.6878737,9.457312,7.5134983,43.792374,-0.6352589,18.072235,50.4583,93.40902,29.769148,16.529888,23.068853,-0.54246724,63.767307,-0.6667443,35.65698,5.2267027,92.03087,54.46525,52.730225,-0.53937316,2.5210686,-0.5747334,2.4075537,11.256632,28.736412,-0.6273056,-0.4984209,35.588043,103.71174,46.59518,157.19089,-0.665839,-0.60208577,-0.49097404,-0.66380703,-0.6327082,-0.5594584,55.67288,-0.4630452,7.197718,-0.6420691,-0.63376534,10.911102,-0.6805439,40.231747,-0.5779294,-0.6437328,49.789566,-0.42007318,-0.76732385,-0.67092353,-0.73972124,31.767075,-0.68984133,-0.6581455,55.25837,-0.5661992,-0.6314129,-0.4881958,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,-0.45300102,15.28741,43.624847,65.44467,-0.639099,4.3274736,10.548006,57.117554,5.7898917,24.5035,19.4607,-0.5262982,111.68817,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,39.54568,-0.50126,-0.7616323,15.11345,-0.5604784,15.88999,55.165592,-0.7093843,33.79792,28.760265,13.062735,49.13816,-0.77353156,-0.5984457,-0.73906326,128.2951,-0.5224219,-0.65493697,0.1037333,-0.5236571,50.223244,32.29368,-0.6033113,-0.79949754,4.394473,34.797714,5.8393598,-0.7275166,76.728546,-0.73901975,-0.6544408,21.742634,71.17717,-0.5666647,-0.63259333,63.560665,-0.7632791,-0.72508377,-0.66989124,-0.58509284,-0.46834266,-0.71914726,14.670685,-0.6539053,2.7810555,-0.598967,-0.5856482,19.803083,90.72174,-0.63427556,-0.4933241,57.63223,17.193724,-0.48056886,38.927917
TCGA-A1-A0SD-01,49.619476,-0.4607069,10.305812,-0.61306036,-0.52978075,-0.7300392,21.512608,2.6313612,-0.5569714,49.514774,5.9049816,-0.58333266,-0.6878737,33.100906,-0.5934839,13.618059,-0.6352589,-0.23725796,17.62725,12.4897785,-0.57185227,-0.5202316,15.6917305,0.763512,26.781404,-0.6667443,-0.58266807,-0.51886296,32.026176,46.537373,-0.50615406,-0.53937316,16.918594,4.523268,-0.61771524,27.584364,-0.42574346,-0.6273056,-0.4984209,47.092968,35.300877,33.012196,67.43296,-0.665839,-0.60208577,21.965874,-0.66380703,-0.6327082,-0.5594584,0.6151197,-0.4630452,16.34414,7.630086,-0.63376534,-0.52323264,-0.6805439,58.31785,-0.5779294,-0.6437328,29.28363,-0.42007318,-0.76732385,-0.67092353,-0.73972124,20.516884,-0.68984133,-0.6581455,11.652214,-0.5661992,1.711931,17.368355,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,4.227276,41.320953,6.333156,-0.41823822,39.404633,-0.639099,39.8972,-0.5538932,15.474154,36.211926,-0.5704077,-0.52977437,-0.5262982,66.3059,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,9.309978,-0.50126,-0.7616323,23.815948,5.255347,13.773654,31.161978,-0.7093843,-0.6702717,19.757952,14.919565,15.360693,-0.77353156,-0.5984457,-0.73906326,58.96825,16.02318,-0.65493697,-0.5309704,-0.5236571,3.6427455,-0.44720638,-0.6033113,6.007265,-0.5636235,43.15573,30.222902,-0.7275166,55.221176,-0.73901975,-0.6544408,13.348045,52.230583,-0.5666647,-0.63259333,55.63712,-0.7632791,-0.72508377,-0.66989124,15.994087,-0.46834266,7.285622,24.532867,-0.6539053,-0.53080714,-0.598967,-0.5856482,27.520554,50.266777,-0.63427556,-0.4933241,16.568756,-0.5459671,-0.48056886,-0.17128375
TCGA-A1-A0SE-01,48.893566,-0.4607069,4.639284,-0.61306036,1.316757,-0.7300392,24.946838,8.16393,-0.5569714,48.84545,10.380225,-0.58333266,-0.6878737,30.539612,-0.5934839,16.96687,-0.6352589,2.3217824,20.548443,20.696089,0.11222398,-0.5202316,13.663383,-0.54246724,31.75326,-0.6667443,-0.58266807,-0.51886296,41.070957,46.38112,-0.50615406,-0.53937316,16.251102,3.344894,-0.61771524,32.21152,-0.42574346,-0.6273056,-0.4984209,46.269474,43.226685,30.968094,76.114655,-0.665839,-0.60208577,16.96864,-0.66380703,-0.6327082,-0.5594584,4.429365,-0.4630452,17.575785,-0.3044781,-0.63376534,-0.52323264,-0.6805439,53.258972,-0.5779294,-0.6437328,34.712055,-0.42007318,-0.76732385,-0.67092353,-0.73972124,20.226606,-0.68984133,-0.6581455,15.226635,-0.5661992,0.12322086,12.363388,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,35.39068,4.094841,1.087256,42.349483,-0.639099,43.43271,-0.5538932,19.996855,31.210485,-0.5704077,-0.52977437,-0.5262982,67.57129,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,9.824955,-0.50126,-0.7616323,25.658754,-0.5604784,13.596579,32.25619,-0.7093843,-0.6702717,16.228409,9.532982,16.750671,-0.77353156,-0.5984457,-0.73906326,63.652596,15.340639,-0.65493697,-0.5309704,-0.5236571,8.076875,-0.44720638,-0.6033113,2.3865829,-0.5636235,39.79278,26.535501,-0.7275166,56.34231,-0.73901975,-0.6544408,16.0425,55.68986,-0.5666647,-0.63259333,56.750053,-0.7632791,-0.72508377,-0.66989124,11.7397585,0.8604939,-0.71914726,21.622463,-0.6539053,-0.53080714,-0.598967,-0.5856482,29.355938,53.748802,-0.63427556,-0.4933241,20.874285,-0.5459671,-0.48056886,1.6882966
TCGA-A1-A0SF-01,40.691193,-0.4607069,-0.49564913,-0.61306036,8.110004,-0.7300392,24.457966,8.476359,-0.5569714,46.0572,11.013328,-0.58333266,-0.6878737,23.0694,-0.5934839,14.592943,-0.6352589,1.9981661,17.272238,33.395485,6.7499514,-0.5202316,16.389336,-0.54246724,32.715168,-0.6667443,-0.58266807,-0.51886296,49.139343,41.493195,1.984787,-0.53937316,13.404288,6.4862657,-0.61771524,35.478233,-0.42574346,-0.6273056,-0.4984209,41.730164,48.411564,30.346857,77.86317,-0.665839,-0.60208577,6.370853,-0.66380703,-0.6327082,-0.5594584,9.368626,-0.4630452,13.458739,-0.6420691,-0.63376534,-0.16602239,-0.6805439,40.469612,-0.5779294,-0.6437328,35.832314,-0.42007318,-0.76732385,-0.67092353,-0.73972124,12.794031,-0.68984133,-0.6581455,14.0802,-0.5661992,-0.6314129,5.872402,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,23.267939,1.0883067,12.430773,41.0108,-0.639099,39.42786,-0.5538932,23.13957,24.746572,-0.5704077,-0.52977437,-0.5262982,64.25884,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,12.022933,-0.50126,-0.7616323,21.567854,-0.5604784,10.042653,30.426624,-0.7093843,-0.6702717,13.135791,6.1095757,19.572205,-0.77353156,-0.5984457,-0.73906326,65.28024,13.56648,-0.65493697,-0.5309704,-0.5236571,9.503902,-0.44720638,-0.6033113,2.294046,-0.5636235,32.981407,26.130054,-0.7275166,55.197212,-0.73901975,-0.6544408,17.891489,51.325695,-0.5666647,-0.63259333,55.107727,-0.7632791,-0.72508377,-0.66989124,4.1171846,9.888163,-0.71914726,18.575434,-0.6539053,-0.53080714,-0.598967,-0.5856482,30.696672,49.590504,-0.63427556,-0.4933241,27.99132,3.379665,-0.48056886,3.891277
TCGA-A1-A0SG-01,42.431072,-0.4607069,-0.49564913,-0.61306036,15.679263,-0.7300392,30.205177,10.657509,-0.5569714,43.75057,13.39401,-0.58333266,-0.6878737,26.812166,-0.030468762,16.165287,-0.6352589,3.123854,19.462444,32.127975,6.6175966,-0.5202316,13.737611,-0.54246724,34.525467,-0.6667443,-0.58266807,-0.51886296,56.372246,41.499878,1.9409461,-0.53937316,19.453716,0.8657994,1.3362384,40.004047,-0.42574346,-0.6273056,-0.4984209,48.58262,44.79299,28.856064,80.52292,-0.665839,-0.60208577,8.219917,-0.66380703,-0.6327082,-0.5594584,7.6997013,-0.4630452,16.63468,-0.6420691,-0.63376534,1.3815696,-0.6805439,43.747433,-0.5779294,-0.6437328,42.72878,-0.42007318,-0.76732385,-0.67092353,-0.73972124,15.6881,-0.68984133,-0.6581455,23.455828,-0.5661992,-0.6314129,1.1714946,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.7425393,26.322943,-0.4022184,17.037212,41.278305,-0.639099,35.36223,-0.5538932,28.57991,24.46789,-0.5704077,-0.52977437,-0.5262982,67.952614,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,6.9477234,-0.50126,-0.7616323,28.772257,-0.5604784,6.4043236,24.004135,-0.7093843,-0.6702717,9.94063,7.328359,15.119842,-0.77353156,-0.5984457,-0.73906326,71.91249,8.635428,-0.65493697,-0.5309704,-0.5236571,6.1528893,-0.44720638,3.1315105,0.3365479,-0.5636235,32.388638,24.487135,-0.7275166,56.494686,-0.73901975,-0.6544408,27.197317,55.0277,-0.5666647,-0.63259333,60.612362,-0.7632791,-0.72508377,-0.66989124,10.742456,10.090121,-0.71914726,17.660103,-0.6539053,-0.53080714,-0.598967,-0.5856482,34.898296,54.939365,-0.63427556,-0.4933241,25.544416,1.2503324,-0.48056886,0.86065227
TCGA-A1-A0SH-01,45.704872,-0.4607069,-0.49564913,-0.61306036,14.421382,-0.7300392,26.744446,16.68314,-0.5569714,37.78955,18.373186,-0.58333266,-0.6878737,14.597959,13.562496,32.629845,-0.6352589,14.117537,35.445248,23.004105,15.016991,-0.5202316,2.0960503,-0.54246724,39.93838,-0.6667443,-0.58266807,-0.51886296,52.807064,37.00149,12.903528,-0.53937316,15.249629,-0.5747334,10.772073,29.387804,7.865483,-0.6273056,-0.4984209,32.177204,62.986317,17.870918,85.71261,-0.665839,-0.60208577,5.2369127,-0.66380703,-0.6327082,-0.5594584,11.651659,-0.4630452,22.852215,-0.6420691,-0.63376534,3.5255115,-0.6805439,39.716652,-0.5779294,-0.6437328,34.281147,-0.42007318,-0.76732385,-0.67092353,-0.73972124,35.24692,-0.68984133,-0.6581455,24.096249,-0.5661992,0.92407984,5.4104214,-0.524033,-0.7867313,-0.58352834,0.82182604,-0.61203355,-0.7425393,33.97577,3.2835622,8.060752,51.373367,-0.639099,46.78544,4.0173564,21.871021,7.6101317,-0.55510235,12.102527,-0.5262982,62.445778,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,13.97874,-0.50126,-0.7616323,20.657299,-0.5604784,23.019083,27.614946,-0.7093843,27.61716,13.881285,-0.55562055,21.658659,-0.77353156,-0.5984457,-0.73906326,46.399933,11.581281,-0.65493697,2.99491,-0.5236571,22.418398,10.643466,-0.6033113,-0.79949754,-0.5636235,29.602755,14.941455,-0.7275166,46.30611,-0.73901975,-0.6544408,4.966855,58.356686,-0.5666647,-0.63259333,44.841232,-0.7632791,-0.72508377,-0.66989124,-0.58509284,-0.46834266,-0.71914726,11.073116,-0.6539053,13.041724,-0.598967,-0.5856482,23.915226,63.36261,-0.63427556,-0.4933241,22.811394,-0.5459671,-0.48056886,17.368994
TCGA-A1-A0SI-01,63.219517,-0.4607069,-0.49564913,-0.61306036,-0.52978075,-0.7300392,6.346036,-0.20386982,-0.5569714,64.05808,17.7786,-0.58333266,-0.6878737,24.566341,-0.5934839,15.980649,-0.6352589,-0.18571377,25.355364,33.671825,-0.57185227,-0.5202316,29.951254,12.893745,39.89989,-0.6667443,-0.58266807,-0.51886296,25.907413,53.974716,-0.50615406,-0.53937316,-0.48242372,5.958779,-0.61771524,12.349276,-0.42574346,-0.6273056,-0.4984209,44.124115,63.04469,51.26015,84.516685,-0.665839,-0.60208577,27.530275,-0.66380703,-0.6327082,-0.5594584,24.230946,-0.4630452,6.15655,0.7316774,-0.63376534,-0.52323264,-0.6805439,63.37561,-0.5779294,-0.6437328,17.476076,-0.42007318,-0.76732385,-0.67092353,-0.73972124,25.53262,-0.68984133,-0.6581455,-0.574986,-0.5661992,0.6156853,6.490581,-0.524033,-0.7867313,-0.58352834,2.4448562,-0.61203355,-0.7425393,31.217894,20.300915,-0.41823822,45.858067,-0.639099,48.33853,14.5484,3.8160942,33.974342,11.69045,9.308697,-0.5262982,74.84319,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,41.547153,-0.50126,-0.7616323,-0.43630597,-0.5604784,26.641367,58.291946,-0.7093843,0.65493196,41.750362,19.500984,31.484507,-0.77353156,-0.5984457,-0.73906326,69.482475,29.654316,-0.65493697,1.9556458,-0.5236571,22.324217,-0.44720638,-0.6033113,6.3022,-0.5636235,53.161583,31.259747,-0.7275166,61.538834,-0.73901975,-0.6544408,-0.55375373,58.457222,-0.5666647,-0.63259333,45.878242,-0.7632791,-0.72508377,-0.66989124,3.8510845,-0.46834266,-0.71914726,36.135883,-0.6539053,6.234059,-0.598967,-0.5856482,11.686139,51.547268,-0.63427556,-0.4933241,40.39539,-0.5459671,-0.48056886,18.521265
TCGA-A1-A0SJ-01,61.528576,-0.4607069,4.263354,-0.61306036,-0.52978075,-0.7300392,16.857977,4.8188753,-0.5569714,56.155,11.929936,-0.58333266,-0.6878737,33.560593,-0.5934839,16.338013,-0.6352589,0.27921134,21.848501,26.022133,-0.57185227,-0.5202316,22.823002,8.14332,33.691467,-0.6667443,-0.58266807,-0.51886296,35.302876,51.90443,-0.50615406,-0.53937316,7.7125845,-0.5747334,-0.61771524,22.627888,-0.42574346,-0.6273056,-0.4984209,50.385006,47.177757,42.05238,85.98988,-0.665839,-0.60208577,25.332691,-0.66380703,-0.6327082,-0.5594584,15.153104,-0.4630452,11.998607,2.756285,-0.63376534,-0.52323264,-0.6805439,65.181404,-0.5779294,-0.6437328,27.72933,-0.42007318,-0.76732385,-0.67092353,-0.73972124,18.149265,-0.68984133,-0.6581455,10.284395,-0.5661992,3.9781241,3.8017116,-0.524033,-0.7867313,-0.58352834,-0.57254165,-0.61203355,-0.3740782,35.669243,12.318212,0.1592381,44.046555,-0.639099,37.42084,-0.5538932,16.673872,39.95242,-0.5704077,-0.52977437,-0.5262982,77.128716,-0.63833815,-0.584037,-0.67291814,-0.5722371,-0.5166895,22.285427,-0.50126,-0.7616323,15.162518,-0.5604784,15.942205,42.923256,-0.7093843,-0.6702717,27.175661,21.782135,22.666723,-0.77353156,-0.5984457,-0.73906326,76.03259,18.634947,-0.65493697,-0.5309704,-0.5236571,10.623873,-0.44720638,-0.6033113,9.981601,-0.5636235,47.138954,31.54451,-0.7275166,63.917545,-0.73901975,-0.6544408,9.076168,56.865414,-0.5666647,-0.63259333,56.11729,-0.7632791,-0.72508377,-0.66989124,13.021408,-0.46834266,-0.71914726,27.163614,-0.6539053,-0.53080714,-0.598967,-0.5856482,22.336994,54.12814,-0.63427556,-0.4933241,29.040367,-0.5459671,-0.48056886,5.1266003
