,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TCGA-3C-AAAU-01,19.395502,-0.5112096,6.0509872,-0.77930146,-0.69887406,-0.59290457,52.90972,-0.49605873,-0.6261185,8.685949,-0.46127832,-0.61131144,73.85429,5.2550325,-0.6809978,-0.7792931,12.812201,40.26912,-0.807012,-0.0549258,2.0287848,38.579525,-0.78870595,63.24501,-0.6002618
TCGA-3C-AALI-01,19.936434,21.585337,28.139162,-0.77930146,-0.69887406,19.714544,38.470585,-0.49605873,8.9998,33.229557,0.44070584,-0.61131144,70.057396,-0.70691365,-0.6809978,-0.7792931,-0.48057985,-0.40427342,-0.807012,-0.6226563,40.94956,33.078465,-0.78870595,75.42155,-0.6002618
TCGA-3C-AALJ-01,16.754084,-0.5112096,15.207262,-0.77930146,-0.69887406,-0.59290457,35.930664,-0.49605873,-0.6261185,12.284447,-0.46127832,-0.61131144,71.48531,3.286129,-0.6809978,-0.7792931,7.652064,2.8071227,-0.807012,-0.6226563,4.911853,31.975197,-0.78870595,52.365967,-0.6002618
TCGA-3C-AALK-01,23.571033,-0.5112096,16.438614,-0.77930146,-0.69887406,1.035767,18.853485,-0.49605873,4.631435,20.866268,-0.46127832,-0.61131144,42.594963,12.828652,-0.6809978,-0.7792931,3.9278603,-0.40427342,-0.807012,-0.6226563,11.924331,18.023878,-0.78870595,28.589832,-0.6002618
TCGA-4H-AAAK-01,26.43899,-0.5112096,15.427356,-0.77930146,-0.69887406,-0.59290457,26.173742,2.5374525,-0.6261185,18.640236,-0.46127832,-0.61131144,45.617825,12.206022,-0.6809978,-0.7792931,3.6050115,-0.40427342,-0.807012,-0.6226563,0.2161378,14.889936,-0.78870595,27.865393,-0.6002618
TCGA-5L-AAT0-01,25.131523,-0.5112096,13.415402,-0.77930146,-0.69887406,-0.59290457,16.509504,4.233811,-0.6261185,16.115473,-0.46127832,-0.61131144,35.876656,12.050075,-0.6809978,-0.7792931,5.7493315,-0.40427342,-0.807012,-0.6226563,-0.4235632,9.340942,-0.78870595,19.958164,-0.6002618
TCGA-5T-A9QA-01,63.74241,-0.5112096,13.200138,-0.77930146,-0.69887406,9.565468,25.284718,26.842434,3.868739,32.898396,-0.46127832,-0.61131144,87.075005,13.760536,-0.6809978,-0.7792931,-0.48057985,-0.40427342,-0.807012,-0.6226563,-0.4235632,39.507317,-0.78870595,70.99541,-0.6002618
TCGA-A1-A0SD-01,16.653236,-0.5112096,13.613928,-0.77930146,-0.69887406,-0.077432096,44.20249,-0.49605873,-0.6261185,18.221594,-0.46127832,-0.61131144,50.02989,14.013015,-0.6809978,-0.7792931,9.320456,7.6777825,-0.807012,-0.6226563,6.137071,25.19622,-0.78870595,36.280064,-0.09996122
TCGA-A1-A0SE-01,22.282927,-0.5112096,14.494363,-0.77930146,-0.69887406,1.0161321,36.319492,2.4974391,-0.6261185,18.797173,-0.46127832,-0.61131144,48.60698,13.516315,-0.6809978,-0.7792931,6.8296695,-0.40427342,-0.807012,-0.6226563,5.676953,21.194462,-0.78870595,33.788567,-0.6002618
TCGA-A1-A0SF-01,23.808228,-0.5112096,15.243947,-0.77930146,-0.69887406,-0.59290457,26.855646,0.7431624,-0.6261185,16.914495,-0.46127832,-0.61131144,46.045612,13.98246,-0.6809978,-0.7792931,6.23256,-0.40427342,-0.807012,-0.6226563,3.7060168,17.778471,-0.78870595,31.841887,-0.6002618
TCGA-A1-A0SG-01,30.88752,-0.5112096,14.813445,-0.77930146,-0.69887406,-0.59290457,31.097641,4.875408,-0.6261185,17.776548,-0.46127832,-0.61131144,45.489594,13.679879,-0.6809978,-0.7792931,4.1684966,-0.40427342,-0.807012,-0.6226563,-0.4235632,13.634333,-0.78870595,28.529484,0.7226082
TCGA-A1-A0SH-01,42.692974,-0.5112096,6.66543,-0.77930146,-0.69887406,5.0316586,13.502666,9.478974,9.350542,29.022923,-0.46127832,-0.61131144,26.658815,0.5510201,-0.6809978,-0.7792931,-0.48057985,-0.40427342,-0.807012,-0.6226563,4.2267,14.782343,-0.78870595,33.801296,-0.6002618
TCGA-A1-A0SI-01,16.499527,13.273971,21.499975,-0.77930146,-0.69887406,13.348011,40.239227,-0.49605873,8.407252,33.98506,-0.46127832,-0.61131144,61.307632,-0.70691365,-0.6809978,-0.7792931,-0.48057985,4.0107374,-0.807012,5.289585,35.072437,37.245396,-0.78870595,78.63044,-0.6002618
TCGA-A1-A0SJ-01,18.934647,-0.5112096,16.015352,-0.77930146,-0.69887406,-0.59290457,45.07784,-0.49605873,-0.6261185,20.002035,-0.46127832,-0.61131144,59.530697,9.169567,-0.6809978,-0.7792931,9.26383,12.551649,-0.807012,-0.6226563,6.7953157,27.7254,-0.78870595,53.7515,-0.6002618
TCGA-A1-A0SK-01,86.75099,-0.5112096,-0.5418961,-0.77930146,-0.69887406,12.878807,15.114702,28.185041,42.04026,53.417446,-0.46127832,-0.61131144,42.148785,-0.70691365,-0.6809978,-0.7792931,-0.48057985,-0.40427342,-0.807012,25.283554,1.3020611,-0.5683255,-0.78870595,81.4048,-0.6002618
TCGA-A1-A0SN-01,17.046057,5.1692166,21.027826,-0.77930146,-0.69887406,1.8369803,41.40992,-0.49605873,-0.6261185,23.875217,-0.46127832,-0.61131144,63.671154,2.8334975,-0.6809978,-0.7792931,5.538296,8.0552,-0.807012,-0.3643797,21.664837,31.957058,-0.78870595,69.37341,-0.6002618
TCGA-A1-A0SO-01,106.65272,-0.5112096,-0.5418961,-0.77930146,-0.69887406,19.228882,18.156492,33.556625,48.870155,60.18916,-0.46127832,-0.61131144,52.255146,-0.70691365,-0.6809978,-0.7792931,-0.48057985,-0.40427342,-0.807012,25.017895,2.4508054,9.500454,-0.78870595,104.185486,-0.6002618
TCGA-A1-A0SP-01,98.00711,-0.5112096,-0.5418961,-0.77930146,-0.69887406,14.763409,2.0129528,56.874023,47.749508,48.995857,-0.46127832,-0.61131144,22.428524,-0.70691365,-0.6809978,-0.7792931,-0.48057985,-0.40427342,-0.807012,34.214397,-0.4235632,4.571555,-0.78870595,84.48821,-0.6002618
TCGA-A1-A0SQ-01,27.783907,-0.5112096,20.761347,-0.77930146,-0.69887406,-0.59290457,42.60395,2.112175,-0.6261185,22.11782,-0.46127832,-0.61131144,65.60538,11.304807,-0.6809978,-0.7792931,7.026796,0.86215115,-0.807012,-0.6226563,-0.4235632,26.189356,-0.78870595,52.06231,-0.6002618
TCGA-A2-A04N-01,24.614124,-0.5112096,14.854592,-0.77930146,3.3254256,-0.59290457,44.33694,-0.49605873,-0.6261185,12.741909,-0.46127832,-0.61131144,46.443672,14.243919,-0.6809978,-0.7792931,6.0952063,13.127573,-0.807012,-0.6226563,-0.4235632,20.010687,-0.78870595,35.113945,9.401796
