,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-3C-AAAU-01,32.41699,-0.49979904,-0.48711014,-0.7348619,28.974174,23.452732,19.006687,-0.53598326,-0.52700484,1.7404718,23.157045,4.331514,-0.5294101,-0.57340914,2.2933745,41.40926,63.269753,37.981403,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,0.4473604,-0.7159829,-0.5158955,-0.5570169,-0.53703034,18.82248,-0.5145609,57.00303,38.192635,-0.6955659,-0.68609464,37.57595,-0.5605513,-0.52053374,-0.55429924,33.781204,9.411664,49.55048,-0.4536293,-0.6714369,-0.6222923,36.650143,-0.55128455,-0.8023232,-0.54812026,19.47307,-0.42262715
TCGA-3C-AALI-01,31.556831,-0.49979904,-0.48711014,-0.7348619,49.11137,31.806189,2.9608645,10.815838,3.6814237,-0.6187542,47.12718,32.018864,-0.5294101,-0.57340914,4.3871126,15.280012,71.48493,21.144773,-0.40620157,23.050032,-0.5229588,-0.582885,-0.6014418,37.07002,-0.7159829,-0.5158955,-0.5570169,2.7865658,6.6781216,-0.5145609,28.683056,35.347576,-0.6955659,14.2445,45.735233,-0.5605513,-0.52053374,14.207508,42.342922,43.73194,44.86643,-0.4536293,18.666178,32.940804,33.7954,-0.55128455,-0.8023232,-0.54812026,5.9633236,-0.42262715
TCGA-3C-AALJ-01,28.981407,-0.49979904,-0.48711014,-0.7348619,30.410173,31.885286,16.64466,8.190723,3.9974694,0.3359356,34.12822,19.971966,-0.5294101,-0.57340914,-0.55919445,20.76947,53.18955,28.525404,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,7.346917,-0.7159829,-0.5158955,-0.5570169,-0.53703034,15.202874,-0.5145609,44.340126,30.039654,5.8167224,-0.68609464,49.257236,-0.5605513,-0.52053374,2.0123253,37.73026,17.316656,47.679745,-0.4536293,4.117291,2.9256768,25.704945,-0.55128455,-0.8023232,-0.54812026,23.159088,-0.42262715
TCGA-3C-AALK-01,32.42486,-0.49979904,-0.48711014,-0.7348619,28.359875,38.318596,9.519106,17.943487,3.4283419,-0.6187542,14.671713,22.645779,-0.5294101,-0.57340914,-0.55919445,15.866852,28.69921,9.576299,-0.40620157,6.3487606,0.10157865,-0.582885,-0.6014418,9.433762,-0.7159829,-0.5158955,-0.5570169,2.7767224,10.578947,-0.5145609,27.13219,15.047105,19.826252,2.12085,41.676754,-0.5605513,-0.52053374,3.2948442,47.674442,14.948447,36.96701,-0.4536293,-0.6714369,28.025812,10.272499,-0.55128455,-0.8023232,-0.54812026,5.007199,1.488739
TCGA-4H-AAAK-01,34.121822,-0.49979904,-0.48711014,-0.7348619,25.535738,32.013496,15.155947,13.637904,4.115853,-0.6187542,9.756469,18.732677,-0.5294101,-0.57340914,-0.55919445,17.297447,31.631842,15.291771,-0.40620157,-0.33708152,0.9722679,-0.582885,-0.6014418,4.5412025,-0.7159829,-0.5158955,-0.5570169,0.7536092,10.591096,-0.5145609,30.842342,16.513199,19.281273,-0.68609464,44.201466,-0.5605513,-0.52053374,2.2287931,50.260006,7.645482,35.068077,-0.4536293,-0.6714369,20.874306,11.384504,-0.55128455,-0.8023232,5.3320007,8.201589,2.6728616
TCGA-5L-AAT0-01,31.393467,-0.49979904,-0.48711014,-0.7348619,19.40786,31.762873,15.673601,16.253733,4.9149227,-0.6187542,4.320429,17.723627,-0.5294101,-0.57340914,-0.55919445,14.247044,21.064892,12.158572,-0.40620157,-0.33708152,0.028415263,-0.582885,-0.6014418,-0.45912558,-0.7159829,-0.5158955,-0.5570169,-0.53703034,11.206806,-0.5145609,29.477959,14.567804,18.97549,-0.68609464,38.23598,-0.5605513,-0.52053374,1.6855067,43.32466,3.6125245,28.602123,-0.4536293,-0.6714369,13.94775,2.4203494,-0.55128455,-0.8023232,4.584573,6.3612504,2.1675527
TCGA-5T-A9QA-01,33.239433,-0.49979904,-0.48711014,-0.7348619,44.42357,50.487057,40.18062,37.296494,19.838387,-0.6187542,50.19102,47.98563,-0.5294101,2.0209928,-0.55919445,12.756336,50.89787,41.68676,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,-0.3211189,-0.7159829,-0.5158955,-0.5570169,6.077837,0.7182793,-0.5145609,18.943062,45.216442,1.8162091,4.0486207,97.797,-0.5605513,-0.52053374,23.400469,68.58887,16.734247,64.94699,-0.4536293,4.7988954,-0.6222923,26.518148,-0.55128455,-0.8023232,-0.54812026,56.186035,-0.42262715
TCGA-A1-A0SD-01,31.827477,-0.49979904,-0.48711014,-0.7348619,28.304934,22.106993,12.250123,-0.34344947,-0.52700484,-0.6187542,9.663939,13.774083,-0.5294101,-0.57340914,-0.55919445,26.892878,40.7708,18.472757,-0.40620157,-0.33708152,8.819664,-0.582885,-0.6014418,9.907446,-0.7159829,-0.5158955,-0.5570169,-0.53703034,7.0485606,-0.5145609,34.63307,11.939548,10.363522,-0.68609464,34.355766,-0.5605513,-0.52053374,1.0711681,45.594425,10.192295,38.204647,-0.4536293,-0.6714369,11.75601,22.30882,-0.55128455,-0.8023232,3.2237465,14.741198,2.1317005
TCGA-A1-A0SE-01,34.13796,-0.49979904,-0.48711014,-0.7348619,29.34939,27.82699,14.213303,6.146351,1.6425408,-0.6187542,10.663398,17.498955,-0.5294101,-0.57340914,-0.55919445,22.441914,37.480003,16.903105,-0.40620157,-0.33708152,5.569806,-0.582885,-0.6014418,9.346118,-0.7159829,-0.5158955,-0.5570169,-0.050968796,9.271871,-0.5145609,31.758263,11.018983,13.248105,0.119841695,44.295033,-0.5605513,-0.52053374,2.4514236,51.045635,8.57559,38.86025,-0.4536293,-0.6714369,20.065334,21.26205,-0.55128455,-0.8023232,7.1411743,10.693185,4.0195045
TCGA-A1-A0SF-01,32.71649,-0.49979904,-0.48711014,-0.7348619,27.179195,31.343689,15.280027,11.390284,2.2556028,-0.6187542,11.376758,18.409548,-0.5294101,-0.57340914,-0.55919445,18.084406,32.26961,15.30881,-0.40620157,-0.33708152,2.1023214,-0.582885,-0.6014418,5.911029,-0.7159829,-0.5158955,-0.5570169,0.13833743,12.136118,-0.5145609,32.29957,15.803603,16.890667,-0.035691142,43.149048,-0.5605513,-0.52053374,1.3929893,47.63946,10.5339575,37.946373,-0.4536293,-0.6714369,19.459435,12.455788,-0.55128455,-0.8023232,2.5341618,6.687598,2.6722088
TCGA-A1-A0SG-01,35.997406,-0.49979904,-0.48711014,-0.7348619,22.117584,31.72753,24.149057,13.356612,3.4249983,-0.6187542,2.8609996,14.806124,-0.5294101,-0.57340914,-0.55919445,19.403086,31.26087,19.824755,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,0.122499466,-0.7159829,-0.5158955,-0.5570169,-0.53703034,10.952858,-0.5145609,34.6728,17.685112,16.777557,-0.68609464,44.17986,-0.5605513,-0.52053374,1.9525391,50.506107,2.72506,35.163857,-0.4536293,-0.6714369,10.990149,9.579601,-0.55128455,-0.8023232,9.79189,10.395186,2.3260376
TCGA-A1-A0SH-01,29.136005,-0.49979904,-0.48711014,-0.7348619,32.369244,37.65322,13.67408,26.527025,8.132844,-0.6187542,14.226629,34.184547,-0.5294101,-0.57340914,-0.55919445,12.291911,28.62026,9.267958,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,0.37430727,-0.7159829,-0.5158955,-0.5570169,8.557733,-0.5228471,-0.5145609,6.3035717,18.985,17.911959,7.2319417,49.73755,-0.5605513,-0.52053374,15.353844,52.31102,4.26023,38.127625,-0.4536293,-0.6714369,31.809845,17.431921,-0.55128455,-0.8023232,11.747595,7.6773148,-0.019634485
TCGA-A1-A0SI-01,26.970314,-0.49979904,-0.48711014,-0.7348619,50.17292,27.273966,-0.36650467,6.2928047,-0.52700484,-0.6187542,44.44393,31.394144,-0.5294101,-0.57340914,5.9134464,30.75065,73.43034,23.856066,-0.40620157,14.340201,3.3809323,-0.582885,-0.6014418,32.684597,-0.7159829,-0.5158955,-0.5570169,6.18873,3.67281,-0.5145609,25.059956,33.109562,0.5950094,16.672249,39.850765,-0.5605513,-0.52053374,14.276129,39.786686,35.820724,42.670185,-0.4536293,16.4382,29.235636,35.72158,-0.55128455,-0.8023232,-0.54812026,0.74914527,-0.42262715
TCGA-A1-A0SJ-01,30.993244,-0.49979904,-0.48711014,-0.7348619,36.374996,23.3703,11.081607,-0.53598326,-0.52700484,-0.6187542,21.296143,17.153067,-0.5294101,-0.57340914,-0.55919445,30.73628,55.990047,26.133034,-0.40620157,-0.33708152,-0.027995348,-0.582885,-0.6014418,10.73127,-0.7159829,-0.5158955,-0.5570169,-0.53703034,10.54439,-0.5145609,39.59588,23.837109,6.44454,2.369093,42.48379,-0.5605513,-0.52053374,2.4707003,44.36088,12.6682205,43.354397,-0.4536293,1.99852,14.521998,30.057804,-0.55128455,-0.8023232,-0.54812026,13.694363,-0.42262715
TCGA-A1-A0SK-01,53.35648,-0.49979904,-0.48711014,-0.7348619,52.646816,11.726512,6.6564155,49.41086,22.083729,-0.6187542,27.276482,65.97757,-0.5294101,1.0021374,-0.55919445,7.9161634,55.49843,41.963924,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,-0.19627717,-0.7159829,-0.5158955,-0.5570169,33.263676,-0.5228471,-0.5145609,-0.5803728,66.01743,-0.6955659,21.631569,82.143425,-0.5605513,29.701498,47.634254,38.373814,-0.41912085,52.48159,-0.4536293,31.874557,46.07136,42.05848,-0.55128455,-0.8023232,15.451584,2.3025947,-0.42262715
TCGA-A1-A0SN-01,27.793617,-0.49979904,-0.48711014,-0.7348619,46.289783,25.107351,0.6409582,1.7018659,-0.52700484,-0.6187542,36.404133,24.660711,-0.5294101,-0.57340914,0.39581364,30.282114,71.11608,29.203064,-0.40620157,2.6878736,-0.5229588,-0.582885,-0.6014418,21.995914,-0.7159829,-0.5158955,-0.5570169,1.9457968,9.042794,-0.5145609,33.11161,32.582256,0.7862347,9.631884,46.26352,-0.5605513,-0.52053374,8.739975,41.22451,26.62601,43.93627,-0.4536293,10.959449,20.514246,33.61206,-0.55128455,-0.8023232,-0.54812026,8.176517,-0.42262715
TCGA-A1-A0SO-01,51.759716,-0.49979904,-0.48711014,-0.7348619,64.54277,22.992508,16.6886,58.947166,27.781963,-0.6187542,36.572636,74.60122,-0.5294101,6.4900494,-0.55919445,0.28151104,53.18965,48.54787,-0.40620157,-0.33708152,-0.5229588,-0.582885,-0.6014418,-0.49706626,-0.7159829,-0.5158955,-0.5570169,42.01074,-0.5228471,-0.5145609,-0.5803728,77.29211,-0.6955659,24.331375,101.30614,-0.5605513,34.15424,58.430565,57.45464,-0.41912085,71.70899,-0.4536293,34.770683,37.90609,53.878662,-0.55128455,-0.8023232,15.633692,11.612789,-0.42262715
