,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
TCGA-3C-AAAU-01,0.0,80.101494,0.0,10.367438,60.930813,0.0,35.782227,49.127037,0.0,31.314194,73.82289,50.666073,51.38138,23.722057,0.0,6.041903,0.07796404,0.0,0.0,4.4522347,16.30949,24.829868,0.0,0.0,0.0,0.0,75.254486,40.669476,0.0,0.0,45.672215,60.70573,0.0,33.27433,84.65821,0.0,1.9383129,0.0,0.0,0.0,0.0,58.66108,20.647125,19.008276,3.927489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.278965,65.97867,0.8942684,21.857412,9.375054,10.619545,32.65958,0.0,0.0,0.0,0.0,72.6396,0.0,0.0,0.0,57.03097,0.0,0.0,7.0210886,32.824074,0.0,0.0,13.863159,3.639875,4.8255925,0.0,0.0,35.228554,0.0,46.403515,81.32588,0.0,0.0,19.137327,0.0,0.0,0.0,12.139179,11.023061,10.018338,0.0,9.865868,0.0,0.0,0.0,0.0,6.2633576,67.47373,17.056816,64.30877,0.0,0.0,0.0,0.0,0.0,32.497234,0.0,62.55009,0.0,0.0,53.51139,0.0,0.0,0.0,0.0,46.017754,0.0,0.0,5.7965384,3.1248546,0.0,39.619823,8.37554,30.986137,55.399208,0.0,5.9200087,0.0,0.0,47.965332,25.899332,18.883514,0.0,12.551309,9.256542,2.623011,13.188254,0.0,17.325592,51.470673,0.2137906,27.634666,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-3C-AALI-01,0.0,48.24415,0.0,0.0,46.56424,0.0,6.3512173,82.49654,0.0,82.164925,37.367855,30.239767,0.0,32.6803,0.0,0.0,24.89628,29.715792,0.0,0.0,0.0,70.12024,0.0,0.0,0.0,0.0,83.98085,89.04475,0.0,0.0,12.971006,71.59874,0.0,67.33983,95.84153,0.0,0.0,0.0,0.0,0.0,0.0,95.740524,35.193203,19.569584,31.095985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.803764,95.05087,24.041195,0.0,18.24773,52.589924,20.496586,0.0,0.0,0.0,0.0,76.41577,0.0,22.690428,0.0,26.8368,34.382145,0.0,73.352486,9.859114,0.0,0.0,42.810318,0.0,0.0,0.0,0.0,27.794674,0.0,53.969944,35.792797,0.0,42.28387,50.194004,12.047844,8.172572,0.0,35.03327,53.563576,54.24553,0.0,54.03388,0.0,0.0,0.0,16.660656,61.921158,0.0,0.0,34.310036,0.0,0.0,0.0,0.0,0.0,49.26936,0.0,20.169357,0.0,0.0,0.0,0.0,0.0,0.0,15.759635,79.583664,0.0,0.0,32.129875,0.0,0.0,0.0,1.8416038,0.0,73.90408,0.0,0.0,0.0,0.0,1.2084424,0.0,32.084766,0.0,38.79491,0.0,3.3375802,7.351919,0.0,4.3119283,44.08094,0.0,24.68848,0.0,0.0,0.0,0.0,0.0,9.914306
TCGA-3C-AALJ-01,0.0,34.45512,0.0,0.0,42.01915,0.0,0.0,89.71736,0.0,78.17885,40.234722,19.095345,0.0,50.96593,0.0,0.0,36.079407,32.046047,0.0,0.0,0.0,85.70457,0.0,0.0,0.0,0.0,72.1472,81.00234,0.0,0.0,0.0,87.48607,0.0,91.26325,96.7275,0.0,0.0,0.0,3.3378112,0.0,0.0,111.75499,19.16663,11.363586,41.832558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.30184,85.35671,20.829115,0.0,28.696733,58.91337,14.14729,0.0,0.0,0.0,0.0,72.74205,0.0,32.038647,3.590216,20.76868,40.30463,0.0,82.09696,17.770456,0.0,0.0,43.535965,0.0,0.0,0.0,0.0,19.571629,0.0,67.13197,46.782505,0.0,47.800755,70.17001,16.219038,0.0,0.0,46.65636,38.945942,73.341034,0.0,52.42452,0.0,0.0,0.0,24.840887,55.98723,0.0,0.0,34.63626,0.0,0.0,0.0,0.0,0.0,49.57355,0.0,9.09957,0.0,0.0,0.0,11.581025,5.9330044,0.0,15.835206,83.02485,0.0,0.0,40.996483,0.0,0.0,0.0,14.045213,0.0,75.24811,0.0,0.0,0.0,0.0,0.0,0.0,36.293724,0.0,24.963013,0.0,11.731672,5.7766767,0.0,4.8041043,43.60795,0.0,30.710926,0.0,0.0,0.0,3.7635229,0.0,23.559614
TCGA-3C-AALK-01,0.0,49.81991,0.0,10.118071,62.658443,0.0,20.388578,63.830875,0.0,49.183014,53.54696,48.866444,0.0,37.811512,0.0,0.0,10.849453,9.198399,0.0,2.7860432,18.813675,61.94896,0.0,0.0,0.0,0.0,72.188416,66.885414,0.0,0.0,15.2039385,50.271088,0.0,33.099083,76.84579,0.0,0.0,0.0,0.0,0.0,0.0,77.00092,30.837975,0.324807,18.700544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.585358,61.739464,0.0,0.0,19.623837,19.967506,26.735926,0.0,0.0,0.0,0.0,51.734398,0.0,0.0,0.0,12.808969,12.22886,0.0,53.87565,0.0,0.0,6.336412,38.291576,0.0,0.0,0.0,0.0,28.17923,0.0,46.955032,40.97807,0.0,25.30749,35.036922,1.0592989,0.0,0.0,16.352556,46.08272,45.715786,0.0,34.0077,0.0,0.0,0.0,20.671124,29.34649,17.292465,3.2779484,50.947685,0.0,0.0,0.0,0.0,0.0,17.399353,0.0,31.440372,2.8932128,0.0,0.0,0.0,0.0,0.0,0.0,45.788883,0.0,0.0,11.639864,0.0,0.0,1.8708447,9.52206,0.0,35.23302,0.0,0.0,0.0,0.0,18.18743,0.0,31.919857,0.0,14.670819,0.0,0.0,6.4456215,0.0,5.9271135,25.10561,0.0,28.492836,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-4H-AAAK-01,0.0,49.718193,0.0,16.702976,58.344566,0.0,25.003088,49.49657,0.0,34.45277,47.973263,45.478424,4.32409,27.593643,0.0,0.0,3.8691537,1.7515296,0.0,1.9123583,10.057134,44.332874,0.0,0.0,0.0,0.0,62.352432,53.62775,0.0,0.0,20.845558,39.638973,0.0,17.4881,63.2304,0.0,3.7937434,0.0,0.0,0.0,0.0,58.908382,31.924759,2.600726,18.221836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.77394,48.85384,0.0,0.0,7.5213666,11.204326,17.359995,0.0,0.0,0.0,0.0,46.758816,0.0,0.0,0.0,12.5801115,9.097878,0.0,37.84498,2.5107799,0.0,0.41425622,31.77962,0.0,0.0,0.0,0.0,26.16042,0.0,36.966946,40.017365,0.0,19.560392,28.417917,1.380587,0.0,0.0,14.592491,33.151432,26.142849,0.0,18.488815,0.0,0.0,0.0,5.300031,20.485678,19.76277,9.88748,48.519306,0.0,0.0,0.0,0.0,0.0,17.666498,0.0,36.38201,7.540304,0.0,9.659932,0.0,0.0,0.0,0.0,37.663994,0.0,0.0,6.727609,0.0,0.0,7.9352627,4.365197,4.282566,32.803974,0.0,0.89313394,0.0,0.0,18.66846,0.0,16.63583,6.520638,13.142936,0.0,0.0,8.355035,0.0,7.715766,18.341425,0.0,21.903395,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-5L-AAT0-01,0.0,41.059,0.0,0.0,62.244297,0.0,8.207103,68.03949,0.0,45.179543,59.933266,42.647514,0.0,51.14626,0.0,0.0,12.728716,9.838382,0.0,7.4916697,23.208654,72.847565,0.0,0.0,0.0,0.0,61.795757,58.054585,0.0,0.0,3.1499481,57.81705,0.0,44.40399,81.03713,0.0,0.0,0.0,0.0,0.0,0.0,85.57997,17.111206,0.0,18.95135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.098755,52.10085,0.0,0.0,34.24856,21.470684,26.75706,0.0,0.0,0.81705606,0.0,39.036575,0.0,0.0,0.62250304,7.1179647,8.310852,0.0,56.22474,1.6324359,2.3478925,7.6366663,41.721085,0.0,0.0,0.0,0.0,20.026287,0.0,50.83591,49.902138,0.0,29.896257,44.04331,0.0,0.0,0.0,19.239794,37.911316,67.16558,0.0,35.95725,0.0,0.0,0.0,35.395893,19.247654,24.72037,1.3379599,49.933975,0.0,0.0,4.497163,0.0,0.0,9.159277,0.0,26.478958,0.0017073499,0.0,0.0,0.0,20.334362,0.0,0.0,41.30148,0.0,0.0,9.260529,0.0,0.0,0.0,22.8559,0.0,22.91711,0.0,0.0,0.0,0.0,23.668573,0.0,42.553623,0.0,3.0695732,0.0,4.6345716,3.6788805,0.0,6.9337916,20.436937,0.0,38.645622,0.0,0.0,0.0,7.7567534,0.0,0.0
TCGA-5T-A9QA-01,0.0,68.44501,0.0,0.0,80.06711,0.0,8.9965515,94.926575,0.0,91.95177,67.85242,33.04276,5.648859,43.418316,0.0,0.0,45.224743,18.060799,0.0,0.0,0.0,68.60558,0.0,0.0,0.0,0.0,111.76135,85.79337,0.0,0.0,28.951843,108.89737,0.0,97.307236,116.05203,0.0,7.7678504,0.0,0.0,0.0,0.0,109.14791,43.190952,36.29336,46.617245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.416824,118.85075,54.40465,0.0,20.206593,71.072586,37.34954,0.0,0.0,0.0,6.3934608,120.79402,0.0,3.608213,5.1451755,45.919266,48.833862,0.0,67.45155,58.51568,0.0,0.0,66.10071,0.0,0.0,0.0,0.0,34.23827,0.0,67.11039,80.913795,0.0,51.247448,73.33552,16.65024,0.0,0.0,53.946938,30.06856,52.516724,0.0,57.960464,0.0,0.0,0.0,7.148199,62.27201,18.777369,0.0,63.431137,1.2568023,0.0,0.0,0.0,0.0,85.31095,0.0,42.76373,0.0,0.0,12.45835,0.0,0.0,4.346506,4.2673235,114.686905,0.0,0.0,41.385735,0.0,0.0,10.812538,22.217976,0.0,119.17935,0.0,0.0,0.0,0.0,12.113028,16.16958,23.387232,0.0,55.809254,0.0,6.6417737,0.0111543685,0.0,18.725323,67.73525,0.0,33.02561,0.0,0.0,0.0,0.0,0.0,27.91848
TCGA-A1-A0SD-01,0.0,59.8096,0.0,30.96598,44.027046,0.0,51.718227,16.257822,0.0,0.0,37.501232,28.817898,31.337439,0.0,3.6417491,0.0,0.0,0.0,25.850206,0.0,0.0,0.0,12.89981,0.0,0.0,0.0,29.377272,6.690996,12.573853,0.0,23.66574,13.395541,0.0,0.0,41.995323,4.766854,37.290054,0.0,0.0,0.0,0.0,15.453922,38.067703,19.53506,11.311695,0.0,0.0,0.0,3.6014416,0.0,0.0,0.0,46.353962,26.0119,0.0,0.0,0.0,0.0,2.939092,0.0,2.5154305,0.0,0.0,33.34779,0.0,0.0,0.0,26.8202,0.0,23.690155,2.0761578,6.979393,0.0,0.0,1.283151,20.902092,31.699123,0.0,0.0,19.053421,0.0,17.163063,31.913652,0.0,0.0,5.6389217,11.76018,0.0,0.0,9.2636795,41.683468,0.0,8.397135,0.0,0.0,11.224965,0.0,0.0,9.978015,29.97457,29.889051,35.525913,0.22352391,0.0,0.0,0.0,0.0,18.047363,0.0,59.395676,20.344677,14.999227,31.41699,0.0,0.0,33.56955,6.7802234,15.882353,26.533049,0.030480318,3.0099463,2.5239508,0.0,32.717705,5.2041698,41.101864,22.176464,0.0,36.106598,0.0,0.0,12.664372,10.57751,0.0,11.55418,3.8930013,0.0,0.0,16.027824,0.0,18.94976,10.121045,0.0,0.0,6.4916763,4.12457,17.822803,0.0,0.0,0.0
TCGA-A1-A0SE-01,0.0,66.78748,0.0,29.433064,56.083378,0.0,48.23849,26.300097,0.0,3.9214354,46.295055,38.986504,34.806705,8.977044,3.2950366,0.0,0.0,0.0,12.124172,0.0,2.8945377,2.6798773,3.320291,0.0,0.0,0.0,46.266163,23.216635,8.246582,0.0,33.32316,24.652224,0.0,0.9522057,54.007423,0.0,28.67164,0.0,0.0,0.0,0.0,28.013865,39.36496,17.70382,12.909281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.95763,33.859123,0.0,1.2980363,0.0,0.0,12.517169,0.0,0.0,0.0,0.0,44.773113,0.0,0.0,0.0,29.362019,0.0,22.539728,5.9657784,14.14701,0.0,0.0,11.660235,14.735228,25.444706,0.0,0.0,24.981827,0.0,25.6541,44.606976,0.0,0.0,12.334775,8.812115,0.0,0.0,14.628847,37.60215,0.0,1.2957586,0.0,0.0,0.5493826,0.0,0.0,10.80287,36.788174,29.687592,45.77101,0.0,0.0,0.0,0.0,0.0,21.314203,0.0,63.167774,16.799332,4.015035,30.376417,0.0,0.0,20.922161,0.0,24.074297,16.060408,0.0,2.9216604,0.0,0.0,29.938839,3.632656,35.98957,31.116013,0.0,29.082794,0.0,0.0,19.429314,7.1798325,0.0,10.721792,4.9516525,0.0,0.0,14.767123,0.0,18.705376,17.54364,0.0,10.130712,3.8443344,0.0,9.569581,0.0,0.0,0.0
TCGA-A1-A0SF-01,0.0,57.723976,0.0,14.330256,65.20455,0.0,27.440645,56.81725,0.0,43.562454,53.090427,51.437,2.3483655,29.508804,0.0,0.0,7.7865744,3.4208581,0.0,0.9445099,14.124558,50.087406,0.0,0.0,0.0,0.0,70.61316,60.324974,0.0,0.0,24.973577,47.799988,0.0,28.071833,73.326195,0.0,0.0,0.0,0.0,0.0,0.0,67.33191,32.98831,4.0891533,18.230412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.751865,60.01454,0.0,0.0,12.624832,14.976511,26.38083,0.0,0.0,0.0,0.0,53.18021,0.0,0.0,0.0,17.723417,12.1267,0.0,40.314537,5.5747223,0.0,0.0,35.526505,0.0,0.0,0.0,0.0,28.68631,0.0,42.887817,48.211178,0.0,21.997355,31.329948,1.349451,0.0,0.0,15.27396,37.467888,31.870869,0.0,27.006796,0.0,0.0,0.0,8.428672,23.90669,25.41014,7.838984,54.40476,0.0,0.0,0.0,0.0,0.0,18.110577,0.0,37.714523,5.794252,0.0,9.097833,0.0,0.0,0.0,0.0,44.911022,0.0,0.0,11.529675,0.0,0.0,8.98251,7.067863,4.0559406,37.1957,0.0,0.0,0.0,0.0,20.156904,0.0,22.538708,4.4197197,15.744759,0.0,0.0,6.2889647,0.0,9.007607,24.896324,0.0,26.246468,0.0,0.0,0.0,0.0,0.0,0.0
