,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
TCGA-3C-AAAU-01,0.0,21.291973,0.0,8.382637,9.52537,0.0,0.0,8.148779,0.0,10.413166,0.0,21.283518,14.33858,0.0,53.188225,56.45248,0.0,19.881958,0.0,0.0,16.215902,1.8546882,0.0,0.0,36.621296
TCGA-3C-AALI-01,10.436008,50.32398,0.0,0.0,4.898859,0.0,0.0,5.042162,16.16272,0.0,0.0,13.189514,0.0,0.0,43.123413,52.599163,0.0,0.0,0.0,0.0,3.365481,0.0,0.0,0.0,36.03989
TCGA-3C-AALJ-01,3.640442,53.728996,0.0,0.0,0.025105508,0.0,0.0,1.2801276,14.44668,0.0,0.0,9.635655,1.1700963,0.0,38.126545,52.215527,0.0,1.2640772,0.0,0.0,6.752384,0.0,0.0,0.0,45.58286
TCGA-3C-AALK-01,2.3040075,37.84592,0.0,1.2513263,10.254942,0.0,0.0,6.529206,8.063846,2.70498,0.0,10.132445,2.519758,0.0,38.538834,49.674484,0.0,7.86519,0.0,0.0,11.055143,0.0,0.0,0.0,34.77232
TCGA-4H-AAAK-01,3.331166,27.874756,0.0,4.920454,10.407562,0.0,0.0,7.159375,3.1248395,6.028806,0.0,10.375086,1.655533,0.0,35.20429,42.58493,0.0,7.7653832,0.0,0.0,12.135195,0.0,0.0,0.0,29.439651
TCGA-5L-AAT0-01,0.0,36.65859,0.0,0.0,8.298245,0.0,0.0,6.4489794,8.095544,1.2029254,0.0,5.1015453,6.946753,0.0,33.351,49.109383,0.0,20.575178,0.0,0.0,14.1016655,0.0,0.0,0.0,42.59491
TCGA-5T-A9QA-01,6.3962345,64.22926,0.0,0.0,7.5377765,0.0,0.0,5.125627,5.644323,1.7726518,0.0,20.871952,1.1506071,0.0,59.42308,72.381546,0.0,0.0,0.0,0.0,9.471936,0.0,0.0,0.0,47.02153
TCGA-A1-A0SD-01,3.967216,2.6989777,1.1088308,12.797372,23.203691,0.0,0.0,0.0,0.0,9.8688345,0.0,21.26119,1.2203431,0.0,19.822746,14.712516,0.0,7.6090527,0.0,0.0,20.980387,1.9154582,0.0,9.285112,16.564718
TCGA-A1-A0SE-01,2.408823,7.5275645,0.0,10.573347,19.150629,0.0,0.0,0.0,0.0,7.968012,0.0,19.471582,4.546447,0.0,30.758896,29.167221,0.0,10.620649,0.0,0.0,21.321405,3.0848906,0.0,4.2950363,22.638618
TCGA-A1-A0SF-01,2.7914314,33.42475,0.0,5.5260563,11.513408,0.0,0.0,7.902768,3.0279338,7.333161,0.0,12.696976,2.7189562,0.0,40.697163,49.348717,0.0,8.569866,0.0,0.0,12.328428,0.0,0.0,0.0,32.78526
TCGA-A1-A0SG-01,0.5316817,25.426086,0.0,7.285241,13.820108,0.0,0.0,8.747889,0.0,9.787987,0.0,13.912408,5.385321,0.0,41.837254,47.176792,0.0,12.123267,0.0,0.0,17.71248,0.0,0.0,0.0,33.58519
TCGA-A1-A0SH-01,10.954973,5.883403,0.0,7.8857427,21.901953,0.0,0.0,0.0,0.0,6.080015,0.0,15.026534,0.0,0.0,10.92241,7.7760596,0.0,0.0,0.0,0.0,13.453468,0.0,6.354835,0.0,9.889425
TCGA-A1-A0SI-01,20.192043,8.0553055,0.0,14.953227,24.845676,0.0,0.0,0.0,0.0,0.0,4.999955,17.516268,0.0,0.0,20.85439,20.51552,0.0,0.0,0.0,0.0,11.855068,0.0,9.720645,0.0,0.23036854
TCGA-A1-A0SJ-01,9.986782,5.851317,0.0,14.514873,20.18404,0.0,0.0,0.6176679,0.0,1.3364916,0.0,24.263063,0.0,0.0,29.51551,30.624086,0.0,0.0,0.0,0.0,14.720544,0.0,2.3077374,0.0,11.059711
TCGA-A1-A0SK-01,34.57494,24.20655,0.0,0.0,19.748325,20.175888,0.0,0.0,0.0,0.0,0.0,15.325836,0.0,14.654364,36.791515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A1-A0SN-01,17.180546,6.0765514,0.0,15.791617,23.550917,0.0,0.0,0.0,0.0,0.0,0.9383248,22.961334,0.0,0.0,25.413338,24.960106,0.0,0.0,0.0,0.0,11.421868,0.0,8.616822,0.0,1.5977952
TCGA-A1-A0SO-01,33.853943,20.483934,0.0,0.0,23.98438,15.822277,0.0,0.0,0.0,0.0,0.0,15.880771,0.0,12.340985,34.659107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A1-A0SP-01,33.232258,37.203323,0.0,0.0,16.427635,7.759231,0.0,0.0,0.0,0.0,0.0,4.8212557,0.0,0.0,31.843052,3.6431088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48010552
TCGA-A1-A0SQ-01,0.0,15.692906,0.0,10.187274,11.708492,0.0,0.0,5.4724708,0.0,6.255408,0.0,22.79219,6.7531753,0.0,43.79116,46.67211,0.0,17.641895,0.0,0.0,19.171242,4.372317,0.0,0.0,31.464943
TCGA-A2-A04N-01,0.71205074,20.721327,0.0,7.424842,15.629443,0.0,0.0,8.1670065,0.0,12.686855,0.0,10.998945,7.9668736,0.0,38.075916,42.162746,0.0,11.14345,0.0,0.0,17.533827,0.0,0.0,0.0,30.338108
TCGA-A2-A04P-01,29.262787,57.96672,0.0,0.0,2.850903,0.0,0.0,0.0,5.676379,0.0,0.0,1.3361633,0.0,0.0,33.99671,42.643566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.857891
TCGA-A2-A04Q-01,22.613428,33.92998,0.0,0.0,10.359397,0.0,0.0,0.0,5.525794,0.0,0.0,0.3351648,0.0,0.0,19.649567,15.33939,0.0,0.0,0.0,0.0,0.0,0.0,3.3673048,0.0,10.117592
TCGA-A2-A04R-01,3.4109905,17.945568,0.0,11.832587,13.534359,0.0,0.0,4.0131836,0.0,2.7991385,0.0,26.041243,3.5420203,0.0,45.097527,48.80859,0.0,9.682114,0.0,0.0,15.232938,0.0,0.0,0.0,24.623802
TCGA-A2-A04T-01,33.744125,36.303608,0.0,0.0,18.802658,11.152077,0.0,0.0,0.0,0.0,0.0,6.6476507,0.0,0.0,32.716717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A2-A04U-01,42.59481,63.746685,0.0,0.0,7.1487193,2.590929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.361988,40.810326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.10034
TCGA-A2-A04V-01,1.8627551,29.025692,0.0,9.407515,11.520294,0.0,0.0,9.59683,0.0,7.642173,0.0,18.276848,5.1527896,0.0,46.447105,51.359756,0.0,7.427073,0.0,0.0,14.095557,0.0,0.0,0.0,31.479242
TCGA-A2-A04W-01,20.560717,32.396164,0.0,7.171588,15.045171,0.0,0.0,1.527307,11.589888,0.0,0.0,12.802518,0.0,0.0,37.20884,36.213776,0.0,0.0,0.0,0.0,6.796519,0.0,0.9208896,0.0,14.408566
TCGA-A2-A04X-01,14.074409,36.837166,0.0,8.601578,13.64615,0.0,0.0,8.634497,12.051122,0.0,0.0,18.651636,0.0,0.0,40.96149,44.521236,0.0,0.0,0.0,0.0,7.949803,0.0,0.0,0.0,22.153454
TCGA-A2-A04Y-01,11.823577,32.404343,0.0,12.447778,12.12941,0.0,0.0,10.307225,4.6804657,5.5238495,0.0,18.461067,0.56190366,0.0,42.23187,46.672104,0.0,0.0,0.0,0.0,4.697536,0.0,0.0,0.0,17.400753
TCGA-A2-A0CK-01,0.0,47.35712,0.0,0.0,7.4733915,0.0,0.0,6.061224,7.0098476,2.7222166,0.0,10.551628,6.9819303,0.0,43.456078,61.613773,0.0,26.808678,0.0,0.0,15.2199955,0.0,0.0,0.0,52.167805
TCGA-A2-A0CM-01,29.417137,30.408724,0.0,0.0,19.825024,7.097796,0.0,0.0,0.0,0.0,0.0,4.599177,0.0,0.0,25.57955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.80356,0.0,0.0
TCGA-A2-A0CP-01,0.31797156,41.27218,0.0,0.0,9.086275,0.0,0.0,6.736154,10.14628,1.6935375,0.0,9.1102085,3.3745584,0.0,37.647594,52.66969,0.0,15.523801,0.0,0.0,13.670992,0.0,0.0,0.0,41.490246
TCGA-A2-A0CQ-01,0.0,42.236942,0.0,0.28145522,14.491043,0.0,0.0,8.164983,0.0,10.085743,0.0,13.331585,14.371894,0.0,55.773212,69.13472,0.0,27.3909,0.0,0.0,20.430609,0.0,0.0,0.0,53.46745
TCGA-A2-A0CR-01,0.0,92.11691,0.0,0.0,0.0,0.0,0.0,0.0,21.8653,0.0,0.6854724,10.979035,1.4438345,0.0,52.36842,82.243454,0.0,37.290565,0.0,0.0,25.148022,0.0,0.0,0.0,91.52153
TCGA-A2-A0CS-01,1.4084117,36.21647,0.0,8.124448,15.128558,0.0,0.0,8.988136,0.0,9.740323,0.0,16.815014,4.960251,0.0,49.265495,56.866596,0.0,11.012893,0.0,0.0,17.756964,0.0,0.0,0.0,38.45904
TCGA-A2-A0CT-01,6.256034,12.325931,0.0,15.606294,18.081144,0.0,0.0,3.697446,0.0,3.0054097,0.0,29.334898,2.4339192,0.0,43.10514,45.691433,0.0,4.046171,0.0,0.0,15.531706,0.38819358,0.0,0.0,18.591082
TCGA-A2-A0CU-01,0.0,12.582893,0.0,10.3886595,13.039838,0.0,0.0,5.3010755,0.0,7.9892397,0.0,21.53227,9.411327,0.0,41.893387,44.387535,0.0,16.166939,0.0,0.0,18.915443,6.296241,0.0,2.212991,29.806047
TCGA-A2-A0CV-01,1.4841496,20.302988,0.0,4.7361407,12.631897,0.0,0.0,6.4509406,0.0,9.079036,0.0,7.318237,3.9120476,0.0,31.18437,36.640015,0.0,10.041687,0.0,0.0,14.670638,0.0,0.0,0.0,27.676334
TCGA-A2-A0CW-01,20.178457,29.979153,0.0,15.67767,19.050938,0.0,0.0,3.3812435,0.0,0.0,0.0,25.108019,0.0,0.0,45.69029,44.379566,0.0,0.0,0.0,0.0,5.0664134,0.0,0.0,0.0,8.954798
TCGA-A2-A0CX-01,22.961279,17.464718,0.0,13.682888,23.36848,0.0,0.0,0.0,3.2832453,0.0,0.0,18.37114,0.0,0.0,32.2865,24.562334,0.0,0.0,0.0,0.0,7.2717323,0.0,7.667211,0.0,0.0
TCGA-A2-A0D0-01,40.94083,60.988754,0.0,0.0,9.363444,5.8350835,0.0,0.0,0.0,0.0,0.0,1.537509,0.0,0.0,45.14952,29.283047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.59834
TCGA-A2-A0D1-01,20.81405,43.02816,0.0,6.5034213,12.374142,0.0,0.0,0.03548808,3.4161673,0.0,0.0,15.148868,0.0,0.0,46.76771,47.721054,0.0,0.0,0.0,0.0,1.8225503,0.0,0.0,0.0,20.81698
TCGA-A2-A0D2-01,33.019657,40.360992,0.0,0.0,13.668386,6.9261656,0.0,0.0,0.0,0.0,0.0,2.6029813,0.0,0.0,33.69561,11.131749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5019674
TCGA-A2-A0D3-01,0.0,9.391551,1.4949843,6.9969344,11.032814,0.0,0.0,3.1408708,0.0,8.755946,0.0,19.01604,10.659248,0.0,36.683613,37.761776,0.0,23.779211,0.0,0.0,20.120132,9.039232,0.0,5.373224,32.278156
TCGA-A2-A0D4-01,4.7338357,30.55375,0.0,11.018245,12.522096,0.0,0.0,6.692109,0.0,2.3002098,0.0,26.836683,2.0711205,0.0,51.319,56.249935,0.0,2.047902,0.0,0.0,12.225894,0.0,0.0,0.0,25.531143
TCGA-A2-A0EM-01,0.0,6.1785893,3.2181706,9.31854,19.208916,0.0,0.0,0.0,0.0,9.288042,0.0,21.623558,7.0491147,0.0,32.020176,29.439772,0.0,19.500051,0.0,0.0,25.120792,7.0053306,0.0,8.023104,29.35416
TCGA-A2-A0EN-01,8.718941,10.320246,0.0,3.97191,13.947202,0.0,0.0,0.0,0.0,2.2709446,3.8165126,5.2935667,0.0,0.0,12.691377,17.536854,0.0,0.0,0.0,0.0,10.709461,0.0,3.250069,0.0,10.7014475
TCGA-A2-A0EO-01,6.8783703,7.9933286,0.0,9.501252,20.586447,0.0,0.0,0.0,0.0,5.1276054,1.4458162,16.065351,0.0,0.0,23.229546,22.39055,0.0,2.6835988,0.0,0.0,19.323719,0.0,0.5010381,0.0,16.16448
TCGA-A2-A0EP-01,0.0,36.447628,0.0,0.0,0.0,0.0,0.0,0.0,14.9571905,0.0,3.114034,2.7347593,0.0,0.0,18.909657,31.99594,0.0,10.771622,0.0,0.0,9.542003,0.0,2.8762648,0.0,36.00139
TCGA-A2-A0EQ-01,22.232616,24.641987,0.0,2.9618495,14.622622,0.0,0.0,0.0,4.2624245,0.0,0.0,9.074568,0.0,0.0,30.272398,23.967253,0.0,0.0,0.0,0.0,1.7008371,0.0,0.0,0.0,6.4276514
TCGA-A2-A0ER-01,0.0,0.0,5.1181717,8.191504,11.6819105,0.0,0.0,0.0,0.0,9.339837,0.0,31.910751,0.6540582,0.0,27.258726,28.659668,0.0,20.323486,0.0,0.0,16.492634,18.678665,0.0,15.5337,21.444773
TCGA-A2-A0ES-01,0.19413297,2.913544,11.171355,3.6177435,12.769142,0.0,0.0,0.0,0.0,12.765156,0.0,8.325981,1.1605699,0.0,10.995756,5.8460484,0.0,8.563613,0.0,0.0,9.398957,3.5986037,0.0,5.530832,14.810679
TCGA-A2-A0ET-01,0.0,1.9820979,8.141989,3.5906384,4.4180574,0.0,0.0,0.0,0.0,6.6721377,0.0,30.792255,6.0145154,0.0,35.76995,38.474262,0.0,26.513887,0.0,0.0,17.408155,22.376257,0.0,11.643339,26.622091
TCGA-A2-A0EU-01,2.7682967,8.693869,0.0,13.535999,15.392387,0.0,0.0,3.480472,0.0,2.8251143,0.0,26.332134,3.9983985,0.0,37.59827,40.771572,0.0,7.796406,0.0,0.0,16.057062,4.421465,0.0,1.0710028,18.948215
TCGA-A2-A0EV-01,9.49454,5.94276,0.0,13.445602,21.97418,0.0,0.0,0.0,0.0,3.4090166,0.0,22.510872,0.0,0.0,26.840588,25.913223,0.0,0.0,0.0,0.0,17.28596,0.0,2.21751,0.20910802,11.782623
TCGA-A2-A0EW-01,0.0,4.180956,10.465287,3.3054478,13.01275,0.0,0.0,0.0,0.0,11.018913,0.0,6.378418,4.304894,0.0,12.745199,8.672744,0.0,10.2795,0.0,0.0,12.468736,1.2750508,0.0,3.9770548,16.826893
TCGA-A2-A0EX-01,6.081622,13.699983,0.0,8.678644,16.442743,0.0,0.0,2.2575364,0.0,4.1608305,0.0,16.468493,0.0,0.0,30.61742,33.212826,0.0,3.8001728,0.0,0.0,16.799656,0.0,0.0,0.0,19.75686
TCGA-A2-A0EY-01,15.836978,19.405645,0.0,15.8616085,17.122168,0.0,0.0,5.3700523,1.1015683,0.0,0.0,19.783083,0.0,0.0,34.767384,35.55947,0.0,0.0,0.0,0.0,7.1353736,0.0,3.1140866,0.0,6.118372
TCGA-A2-A0ST-01,16.813286,28.22778,0.0,0.0,9.282105,0.23606727,0.0,0.0,0.0,0.0,0.0,1.729872,0.0,0.0,13.389424,4.047598,0.0,0.0,0.0,0.0,1.3547724,0.0,7.793508,0.0,5.699674
TCGA-A2-A0SU-01,2.4945846,12.207736,0.0,10.346448,16.30736,0.0,0.0,4.451211,0.0,8.474316,0.0,18.822718,5.1552477,0.0,37.340054,40.07187,0.0,10.373408,0.0,0.0,19.739597,2.636055,0.0,0.0,26.208824
TCGA-A2-A0SV-01,20.534979,38.32426,0.0,8.738464,14.614971,0.0,0.0,5.4851413,12.887841,0.0,0.0,16.91997,0.0,0.0,43.70259,44.801937,0.0,0.0,0.0,0.0,3.067957,0.0,0.0,0.0,18.768602
