,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
TCGA-3C-AAAU-01,18.471838,16.405857,0.0,41.05683,41.05493,0.0,3.6659944,30.627825,0.0,19.391802,18.815594,0.0,0.0,0.0,0.0,0.0,0.0,52.431458,0.0,0.0,19.608847,0.0,0.0,37.765835,16.58216,0.0,6.7482862,0.0,16.848742,0.0,0.0,31.222805,8.287277,0.0,0.0,15.729582,0.0,35.441345,0.0,0.0,0.0,22.62764,16.125328,21.455513,31.380686,0.0,43.204285,0.0,0.0,0.0
TCGA-3C-AALI-01,0.33679494,43.07307,0.0,46.45878,30.009422,0.0,50.099236,0.0,0.0,22.813791,0.0,0.0,0.0,0.0,0.0,0.38657358,0.0,37.606125,0.0,0.0,34.90318,0.0,3.0368268,0.0,54.9007,0.0,0.8416947,0.0,0.0,0.0,0.0,12.463728,0.0,0.0,0.0,48.131424,0.0,8.105682,4.8426757,0.0,0.0,0.0,1.6991879,58.419388,41.538166,0.0,12.701131,0.0,0.0,0.0
TCGA-3C-AALJ-01,0.0,36.81126,0.0,47.73363,31.622932,0.0,65.77099,0.0,0.0,9.269675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.836567,0.0,0.0,38.64212,0.0,12.80035,0.0,48.314156,0.0,0.0,0.0,0.0,0.0,0.0,9.04961,3.548818,0.0,0.0,47.822914,0.0,3.4306438,0.0,0.0,0.0,0.0,2.5974913,60.097748,46.858932,0.0,13.829886,0.0,0.0,0.0
TCGA-3C-AALK-01,2.9195013,28.61399,0.0,37.24473,37.539757,0.0,27.357908,0.0,0.0,17.19245,0.09982282,0.0,0.0,0.0,0.0,0.0,0.0,50.25615,0.0,0.0,20.519146,0.0,16.899733,18.602163,26.982897,0.0,0.0,0.0,0.0,0.0,0.0,7.712488,4.4060464,0.0,0.0,28.912807,0.0,19.27689,0.0,0.0,0.0,3.5235999,0.0,42.696953,38.35396,0.0,24.777512,6.6754375,0.0,0.0
TCGA-4H-AAAK-01,4.7912564,23.689974,0.0,31.397068,35.97343,0.0,17.06352,3.3419755,0.0,16.95856,6.8462253,0.0,0.0,0.0,0.0,0.0,0.0,43.246265,0.0,0.0,16.863567,0.0,9.442527,20.181143,21.923326,0.0,3.3248216e-05,0.0,0.0,3.5657148,0.0,7.9263096,6.255832,0.0,0.0,23.247303,0.0,19.942139,0.0,0.0,0.0,7.6617265,0.0,30.819355,28.408667,0.0,23.559347,6.7392187,0.0,0.0
TCGA-5L-AAT0-01,0.0,23.449348,0.0,38.579422,37.779106,0.0,32.986023,4.2157493,0.0,4.4685183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.681683,0.0,7.3768744,22.072739,0.0,25.594051,19.335812,17.363363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8092136,0.0,0.0,24.623575,0.0,14.812369,0.0,0.0,0.0,0.29720372,0.0,41.79861,45.198166,0.0,32.46224,5.7071986,0.0,0.0
TCGA-5T-A9QA-01,0.0,53.597446,0.0,66.22723,51.39171,0.0,59.088562,6.0489354,0.0,27.732904,3.8034081,0.0,0.0,0.0,0.0,0.0,0.0,47.247906,0.0,0.0,58.47223,0.0,0.0,0.0,55.73693,0.0,3.7378783,0.0,4.957307,0.0,0.0,27.211554,0.0,0.0,0.0,55.653778,0.0,19.09748,0.0,0.0,0.0,0.0,15.871105,59.07952,53.082355,0.0,25.999144,0.0,0.0,0.0
TCGA-A1-A0SD-01,8.005271,0.82382166,0.24130823,20.086563,22.06894,0.0,0.0,17.405704,0.0,9.419968,33.67661,0.0,4.5923495,0.0,5.1688895,14.790717,0.0,27.700214,0.0,0.0,0.0,0.0,0.0,19.118303,0.0,0.0,13.354044,0.0,6.92443,2.000109,0.0,5.1563563,21.536682,0.0,0.0,1.6972443,0.0,33.92396,16.804886,14.874102,7.449207,16.467165,1.5410217,6.9180164,13.230664,0.0,16.309134,12.84392,0.0,6.143224
TCGA-A1-A0SE-01,11.693765,6.615723,0.0,25.644236,32.018623,0.0,0.0,19.788628,0.0,14.377862,27.958513,0.0,2.2808475,0.0,0.0,11.583494,0.0,36.5775,0.0,0.0,0.42703706,0.0,0.0,27.568056,5.3383303,0.0,10.416591,0.0,7.5279164,4.990741,0.0,12.639234,18.492708,0.0,0.0,8.015814,0.0,33.147865,8.501431,8.852331,1.54901,20.068972,3.7094982,11.794152,19.148983,0.0,26.082253,9.996131,0.0,0.9919907
TCGA-A1-A0SF-01,5.509301,26.006693,0.0,35.632805,39.624687,0.0,20.487452,3.4703658,0.0,19.583788,6.064406,0.0,0.0,0.0,0.0,0.0,0.0,50.14487,0.0,0.0,21.92627,0.0,10.858647,21.597498,25.703299,0.0,1.5161085,0.0,0.0,2.8631139,0.0,10.596668,5.603392,0.0,0.0,25.049902,0.0,22.51456,0.0,0.0,0.0,6.799081,0.0,35.983253,34.467804,0.0,25.713625,6.349975,0.0,0.0
TCGA-A1-A0SG-01,11.537214,21.34567,0.0,36.409527,40.934673,0.0,12.498317,12.505303,0.0,18.35651,14.296355,0.0,0.0,0.0,0.0,0.0,0.0,50.637302,0.0,0.0,16.617981,0.0,4.565058,30.264746,17.754686,0.0,2.0884085,0.0,0.0,5.243565,0.0,13.58348,11.984643,0.0,0.0,19.829105,0.0,28.699759,0.0,0.0,0.0,15.910259,0.0,30.003098,30.55121,0.0,29.935207,7.638056,0.0,0.0
TCGA-A1-A0SH-01,0.0,6.9440975,1.054505,22.1865,16.325962,0.0,0.0,4.5043535,0.0,10.328126,28.719639,0.0,1.5097169,0.0,11.736798,17.345776,0.0,24.431528,0.0,0.0,0.0,0.0,0.0,9.293226,0.0,0.0,9.467009,0.0,11.109652,0.65743524,0.0,1.9815185,18.209286,0.0,0.0,8.44859,0.0,31.662306,26.249876,8.827022,10.818804,8.872313,0.0,7.543404,13.840732,0.0,4.6069574,11.639433,0.0,0.0
TCGA-A1-A0SI-01,0.0,25.57002,0.0,28.666262,19.515667,0.0,2.9505143,0.0,0.0,24.321674,25.331652,0.0,3.5807,0.0,0.008576206,23.676142,0.0,26.968826,0.0,0.0,0.0,0.0,0.0,6.828123,10.276573,0.0,14.07415,0.0,0.0,10.452203,0.0,6.191331,11.506447,0.0,0.0,16.912447,0.0,27.525932,22.315805,3.30582,3.4796152,0.0,0.0,23.79414,8.610027,0.0,2.9061387,10.68131,0.0,0.0
TCGA-A1-A0SJ-01,7.4092402,18.932192,0.0,34.671772,24.445871,0.0,0.0,17.448172,0.0,19.611414,32.03371,0.0,7.9023857,0.0,0.0,17.667171,0.0,32.50738,0.0,0.0,0.5029408,0.0,0.0,14.469196,6.1454277,0.0,17.133684,0.0,7.3580523,4.8666477,0.0,18.070984,10.815844,0.0,0.0,13.872345,0.0,33.178097,19.748194,0.0,3.6027403,9.902604,7.288984,18.45008,14.916685,0.0,16.746016,4.4272304,0.0,0.0
TCGA-A1-A0SK-01,0.0,36.78128,0.0,59.910946,0.0,0.0,29.412664,0.0,0.624497,29.915628,16.02459,0.0,0.5436348,34.38867,0.0,28.834314,0.0,0.0,0.0,0.0,39.238266,0.0,0.0,0.0,6.9281707,0.0,11.966721,0.0,37.545303,0.0,53.44385,30.568367,0.0,66.58982,0.0,25.543041,0.0,26.197502,43.098682,0.0,0.0,0.0,44.788097,12.802505,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-A1-A0SN-01,1.0043701,26.065805,0.0,35.320312,19.956211,0.0,0.0,8.517874,0.0,23.685707,28.940392,0.0,5.5137205,0.0,0.0,22.07467,0.0,30.077961,0.0,0.0,0.0,0.0,0.0,8.34462,8.433259,0.0,17.59636,0.0,2.525776,6.907025,0.0,13.414704,10.86606,0.0,0.0,15.507354,0.0,30.17209,24.721077,1.3232886,3.702098,1.0865408,2.434694,22.781115,12.200719,0.0,8.342132,4.990604,0.0,0.0
TCGA-A1-A0SO-01,0.0,45.042747,0.0,63.95018,0.0,0.0,29.812256,0.0,0.0,31.09539,19.60932,0.0,3.1310465,30.147757,0.0,31.153992,0.0,0.0,0.0,0.0,32.546078,0.0,0.0,0.0,4.749899,0.0,13.812628,0.0,37.709133,0.0,43.33607,25.880833,0.0,58.9795,0.0,27.846668,0.0,30.22473,46.691357,0.0,0.0,0.0,40.361546,18.075459,0.92831904,0.0,0.0,0.0,0.0,0.0
TCGA-A1-A0SP-01,0.0,53.80098,0.0,71.87908,0.0,0.0,68.44543,0.0,4.339059,43.172607,2.3282979,0.0,0.0,13.353159,0.0,27.676298,0.0,0.0,0.0,0.0,32.862453,0.0,0.0,0.0,28.680326,0.0,0.0,0.0,13.488356,0.0,44.729538,17.514069,0.0,46.227787,0.69811946,38.49846,0.0,4.992764,46.110554,0.0,0.0,0.0,24.700346,41.87852,15.691054,0.0,0.0,0.0,0.0,0.0
